evaluation_year,origin_date,target_date,actual_up,meta_y,p_down,down_call,neighbor_distance,neighbors
2022,2022-02-24,2022-02-28,0,1,0.6696548510215831,1,0.1532420550618904,"[{""distance"":0.14468996555139993,""down_label"":1,""target_date"":""2020-08-10"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""},{""distance"":0.15433981705360786,""down_label"":0,""target_date"":""2020-10-14"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""},{""distance"":0.1606963825806634,""down_label"":1,""target_date"":""2020-03-16"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""}]"
2022,2022-03-02,2022-03-03,1,0,0.3244901400576406,0,0.11263982185136794,"[{""distance"":0.10993761552071497,""down_label"":0,""target_date"":""2020-08-17"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""},{""distance"":0.11232232702786724,""down_label"":0,""target_date"":""2020-09-28"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""},{""distance"":0.11565952300552157,""down_label"":1,""target_date"":""2020-09-07"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""}]"
2022,2022-03-03,2022-03-07,1,0,0.6636131366831651,1,0.10604553501228464,"[{""distance"":0.09838264666042329,""down_label"":1,""target_date"":""2020-09-18"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""},{""distance"":0.10464572817116737,""down_label"":0,""target_date"":""2020-12-01"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""},{""distance"":0.11510823020526327,""down_label"":1,""target_date"":""2020-08-07"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""}]"
2022,2022-03-07,2022-03-08,1,0,0.32830106361746725,0,0.08054009654950177,"[{""distance"":0.07639569857352942,""down_label"":0,""target_date"":""2020-06-26"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""},{""distance"":0.08165641220322113,""down_label"":1,""target_date"":""2020-06-02"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""},{""distance"":0.08356817887175476,""down_label"":0,""target_date"":""2020-06-18"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""}]"
2022,2022-03-08,2022-03-09,0,1,0.6617846991544948,1,0.09871171748252554,"[{""distance"":0.09219318657942427,""down_label"":1,""target_date"":""2020-06-24"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""},{""distance"":0.09691362269301458,""down_label"":0,""target_date"":""2020-07-24"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""},{""distance"":0.10702834317513774,""down_label"":1,""target_date"":""2020-12-18"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""}]"
2022,2022-03-09,2022-03-10,1,0,0.6255088037660076,1,0.12490022128860963,"[{""distance"":0.11037388588527379,""down_label"":0,""target_date"":""2020-05-27"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""},{""distance"":0.13164639703227818,""down_label"":1,""target_date"":""2020-10-29"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""},{""distance"":0.13268038094827697,""down_label"":1,""target_date"":""2020-01-09"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""}]"
2022,2022-03-10,2022-03-14,0,1,0.3379359704300387,0,0.09349435383341297,"[{""distance"":0.08631966893386805,""down_label"":0,""target_date"":""2020-05-25"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""},{""distance"":0.09176169405190907,""down_label"":1,""target_date"":""2020-06-05"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""},{""distance"":0.10240169851446176,""down_label"":0,""target_date"":""2020-04-29"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""}]"
2022,2022-03-14,2022-03-15,0,1,0.288522702726224,0,0.08942391044946636,"[{""distance"":0.0699450577228456,""down_label"":0,""target_date"":""2020-03-19"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""},{""distance"":0.09777635831904417,""down_label"":0,""target_date"":""2020-09-24"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""},{""distance"":0.10055031530650929,""down_label"":1,""target_date"":""2021-02-26"",""evaluation_year"":2021,""source"":""EXTERNAL_DUKASCOPY_V2""}]"
2022,2022-03-15,2022-03-16,1,0,0.6678732807487954,1,0.09761612740210161,"[{""distance"":0.08692470857854892,""down_label"":1,""target_date"":""2021-03-04"",""evaluation_year"":2021,""source"":""EXTERNAL_DUKASCOPY_V2""},{""distance"":0.09715436496143595,""down_label"":0,""target_date"":""2020-03-19"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""},{""distance"":0.10876930866631997,""down_label"":1,""target_date"":""2021-02-26"",""evaluation_year"":2021,""source"":""EXTERNAL_DUKASCOPY_V2""}]"
2022,2022-03-16,2022-03-17,0,1,0.3621658577094702,0,0.10893223570319777,"[{""distance"":0.09962170116523136,""down_label"":1,""target_date"":""2020-12-04"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""},{""distance"":0.10639085521009173,""down_label"":0,""target_date"":""2020-12-17"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""},{""distance"":0.1207841507342702,""down_label"":0,""target_date"":""2020-12-30"",""evaluation_year"":2020,""source"":""EXTERNAL_DUKASCOPY_V2""}]"
