evaluation_year,origin_date,target_date,actual_up,actual_high_risk,sqrt_score,CROSSDOMAIN_STATIC_LOGIT_DOWN_available,CROSSDOMAIN_STATIC_LOGIT_DOWN_down,CROSSDOMAIN_STATIC_LOGIT_DOWN_score,CROSSDOMAIN_DYNAMIC_LOGIT_D99_DOWN_available,CROSSDOMAIN_DYNAMIC_LOGIT_D99_DOWN_down,CROSSDOMAIN_DYNAMIC_LOGIT_D99_DOWN_score,CROSSDOMAIN_COMPETING_RISK_DOWN_available,CROSSDOMAIN_COMPETING_RISK_DOWN_down,CROSSDOMAIN_COMPETING_RISK_DOWN_score,CROSSDOMAIN_EXPLICIT_DURATION_DOWN_available,CROSSDOMAIN_EXPLICIT_DURATION_DOWN_down,CROSSDOMAIN_EXPLICIT_DURATION_DOWN_score,CBR_STRICT_P050_DOWN_available,CBR_STRICT_P050_DOWN_down,CBR_STRICT_P050_DOWN_score,CBR_STRICT_RECALL75_DOWN_available,CBR_STRICT_RECALL75_DOWN_down,CBR_STRICT_RECALL75_DOWN_score,CBR_CONTEXT_P050_DOWN_available,CBR_CONTEXT_P050_DOWN_down,CBR_CONTEXT_P050_DOWN_score,CBR_CONTEXT_RECALL75_DOWN_available,CBR_CONTEXT_RECALL75_DOWN_down,CBR_CONTEXT_RECALL75_DOWN_score,SP500_Q10_CONFIRM_DOWN_available,SP500_Q10_CONFIRM_DOWN_down,SP500_Q10_CONFIRM_DOWN_score,SP500_LOGIT_P050_DOWN_available,SP500_LOGIT_P050_DOWN_down,SP500_LOGIT_P050_DOWN_score,SP500_LOGIT_RECALL75_DOWN_available,SP500_LOGIT_RECALL75_DOWN_down,SP500_LOGIT_RECALL75_DOWN_score,HETERO_CONSENSUS_DOWN_available,HETERO_CONSENSUS_DOWN_down,HETERO_CONSENSUS_DOWN_score
2022,2022-02-24,2022-02-28,0,1,1.3886254071917998,1,0,0.41442304241859035,1,0,0.37274811532054425,1,0,0.4637585734025774,1,1,0.5714285714285714,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2022,2022-03-02,2022-03-03,1,1,1.2551675651079088,1,0,0.38517119469989286,1,0,0.38885748418605404,1,0,0.3910115592439319,1,1,0.5714285714285714,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2022,2022-03-03,2022-03-07,1,1,1.0650787300437408,1,0,0.3446740049444719,1,0,0.34812200336984084,1,0,0.33994201873274155,1,0,0.3793103448275862,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2022,2022-03-07,2022-03-08,1,1,1.2998887589614305,1,0,0.29164431910216077,1,0,0.32388863718234623,1,0,0.30588866995618347,1,0,0.391304347826087,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2022,2022-03-08,2022-03-09,0,1,2.118256830499105,1,0,0.25610324400420603,1,0,0.2662413739511409,1,0,0.30990037531552916,1,0,0.391304347826087,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2022,2022-03-09,2022-03-10,1,1,2.1834485029706134,1,0,0.4833264314831635,1,0,0.417283973584329,1,1,0.5025645646879763,1,1,0.5434782608695652,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2022,2022-03-10,2022-03-14,0,1,1.7090214649110764,1,0,0.35054361087626024,1,0,0.34738413986886624,1,0,0.34986987558558424,1,0,0.391304347826087,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2022,2022-03-14,2022-03-15,0,1,1.5572377918497973,1,0,0.4663287329033215,1,0,0.39408787661157574,1,0,0.4608614957434811,1,1,0.5434782608695652,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2022,2022-03-15,2022-03-16,1,1,1.5268817129504901,1,0,0.43912884431522164,1,0,0.44549666906446544,1,0,0.4337738118241753,1,1,0.5434782608695652,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2022,2022-03-16,2022-03-17,0,0,1.4822032803405054,1,0,0.38949113971734406,1,0,0.4397415162430661,1,0,0.38715270743473634,1,0,0.391304347826087,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2022,2022-10-13,2022-10-17,0,0,1.168096977641481,1,0,0.4472536639437053,1,0,0.3894764419983348,1,0,0.45532572352089873,1,1,0.5714285714285714,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2023,2023-03-20,2023-03-21,0,1,1.146032878619783,1,0,0.31910726131783707,1,0,0.349050561864049,1,0,0.34700828456996946,1,1,0.5,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2023,2023-03-21,2023-03-23,1,0,1.058716904340701,1,0,0.4864498539024436,1,0,0.46928346779815294,1,0,0.4817619728970597,1,1,0.5714285714285714,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
2024,2024-04-10,2024-04-11,1,0,1.4657424170034918,1,0,0.40538720302934933,1,0,0.4071151942210269,1,0,0.4223011764802719,1,1,0.5483870967741935,1,0,0.275905758778255,1,0,0.275905758778255,1,0,0.3562736312464832,1,1,0.3562736312464832,1,1,-0.009501978333887355,1,1,0.6679553769169936,1,1,0.6679553769169936,1,1,0.6679553769169936
2024,2024-04-11,2024-04-15,1,1,1.0202846608764795,1,0,0.4176417756766519,1,0,0.40722013102885973,1,0,0.4146842144020579,1,0,0.359375,1,1,0.6793159493403057,1,1,0.6793159493403057,1,1,0.6593750907340172,1,1,0.6593750907340172,1,1,0.007417237205872028,1,0,0.3580132135202608,1,0,0.3580132135202608,1,1,0.6793159493403057
2024,2024-04-15,2024-04-16,0,1,1.3537407758846487,1,0,0.4108632861300392,1,0,0.39959017484781406,1,0,0.42074213417043527,1,0,0.38095238095238093,1,0,0.4865190605668336,1,1,0.4865190605668336,1,1,0.713839350288804,1,1,0.713839350288804,1,1,-0.012094130563305876,1,1,0.6987734593199431,1,1,0.6987734593199431,1,1,0.6987734593199431
2024,2024-04-16,2024-04-17,0,1,1.269918036192459,1,0,0.42938935943819545,1,0,0.43100802876361655,1,0,0.4283799137880524,1,1,0.5,1,0,0.2299031172206382,1,0,0.2299031172206382,1,0,0.3665119275342643,1,1,0.3665119275342643,1,1,-0.002058690186348507,1,1,0.630052213997235,1,1,0.630052213997235,1,1,0.630052213997235
2024,2024-04-17,2024-04-18,1,1,1.2223221218895908,1,0,0.43788969372901715,1,0,0.44862800126552066,1,0,0.43365603634745814,1,1,0.5483870967741935,1,1,0.6634626850471851,1,1,0.6634626850471851,1,1,0.6835278674564224,1,1,0.6835278674564224,1,1,-0.005797336366096615,1,1,0.6280982645765646,1,1,0.6280982645765646,1,1,0.6634626850471851
2024,2024-04-18,2024-04-22,0,1,1.210143654969699,1,0,0.42069881606478277,1,0,0.4193556880408141,1,0,0.42384695928963045,1,1,0.5909090909090909,1,1,0.6082252423635948,1,1,0.6082252423635948,1,0,0.273761025367253,1,1,0.273761025367253,1,1,-0.002210632863926085,1,1,0.6318114075324807,1,1,0.6318114075324807,1,1,0.6318114075324807
2024,2024-04-22,2024-04-23,1,0,1.538317545702139,1,0,0.4766367831946851,1,1,0.5048923973838451,1,0,0.4751766216859501,1,1,0.5483870967741935,1,0,0.37306187557503695,1,1,0.37306187557503695,1,0,0.304896694102146,1,1,0.304896694102146,1,1,0.008693327734887766,1,1,0.5706530766980855,1,1,0.5706530766980855,1,1,0.5706530766980855
2024,2024-04-23,2024-04-24,0,1,1.0504016635972275,1,0,0.4406583122957535,1,0,0.44285292529066617,1,0,0.43356858881588467,1,0,0.359375,1,1,0.7136846383529712,1,1,0.7136846383529712,1,1,0.74589748738784,1,1,0.74589748738784,1,1,0.011893624576650831,1,0,0.36600382257411995,1,0,0.36600382257411995,1,1,0.7136846383529712
2024,2024-04-24,2024-04-25,1,0,1.1439783895481928,1,0,0.4584167656813088,1,0,0.46727770127257146,1,0,0.45254832754342267,1,1,0.5,1,0,0.0,1,0,0.0,1,0,0.0,1,1,0.0,1,1,0.00021297196541228134,1,0,0.44896561152131587,1,1,0.44896561152131587,1,0,0.44896561152131587
