event_date,tier,z,event_direction,target_week,k_transformed,k_raw,p_ext_up,forecast_direction,event_direction_match
2025-02-10,MAJOR,2.3407,UP,2025-02-10,0.525525938902,0.525693872710,0.534919127239,UP,TRUE
2025-02-14,MAJOR,-2.2468,DOWN,2025-02-10,0.525525938902,0.525693872710,0.534919127239,UP,FALSE
2025-02-18,MAJOR,2.1885,UP,2025-02-17,0.517017849161,0.517129076933,0.523201466463,UP,TRUE
2025-03-13,MAJOR,2.1237,UP,2025-03-10,0.536701519652,0.536936785803,0.550908977358,UP,TRUE
2025-04-04,EXTREME,-3.3930,DOWN,2025-03-31,0.592315210205,0.592895809011,0.632907888294,UP,FALSE
2025-04-09,EXTREME,3.2185,UP,2025-04-07,0.585405311091,0.585939094286,0.622701760270,UP,TRUE
2025-04-10,MAJOR,2.3440,UP,2025-04-07,0.585405311091,0.585939094286,0.622701760270,UP,TRUE
2025-07-21,MAJOR,2.0611,UP,2025-07-21,0.565138224372,0.565510442797,0.592385149028,UP,TRUE
2025-08-01,MAJOR,2.5481,UP,2025-07-28,0.563756364474,0.564118616545,0.590497939971,UP,TRUE
2025-09-02,MAJOR,2.6673,UP,2025-09-01,0.578808309490,0.579243714515,0.611825628213,UP,TRUE
2025-09-22,MAJOR,2.6254,UP,2025-09-22,0.596832009356,0.597358270276,0.638675997271,UP,TRUE
2025-09-29,MAJOR,2.3040,UP,2025-09-29,0.603122598618,0.603680018070,0.648219308798,UP,TRUE
2025-10-06,MAJOR,2.7911,UP,2025-10-06,0.611928985356,0.612530754095,0.661487795275,UP,TRUE
2025-10-13,MAJOR,2.5043,UP,2025-10-13,0.617775186353,0.618405000184,0.670498561047,UP,TRUE
2025-10-16,MAJOR,2.9074,UP,2025-10-13,0.617775186353,0.618405000184,0.670498561047,UP,TRUE
2025-10-17,MAJOR,-2.0589,DOWN,2025-10-13,0.617775186353,0.618405000184,0.670498561047,UP,FALSE
2025-10-21,EXTREME,-4.1054,DOWN,2025-10-20,0.619810402163,0.620447691536,0.673822069438,UP,FALSE
2025-12-22,EXTREME,4.0174,UP,2025-12-22,0.598887355072,0.599389321341,0.642908161620,UP,TRUE
2025-12-29,EXTREME,-6.6415,DOWN,2025-12-29,0.607764669486,0.608308935494,0.656199925997,UP,FALSE
