origin_week,target_week,n_train,omega,gamma,tau,beta,k_transformed,k_raw,p_ext_up,forecast_direction,actual_direction,previous_week_direction
2024-12-30,2025-01-06,148,0.49205593698,2.92633290917e-06,0.0316664344318,0.911538576034,0.511907443883,0.511988446903,0.516166807665,UP,UP,UP
2025-01-06,2025-01-13,149,0.493007486262,2.90927172293e-06,0.0334916920199,0.906629094075,0.522528320676,0.522680539059,0.530723455853,UP,UP,UP
2025-01-13,2025-01-20,150,0.491621511487,2.89724578924e-06,0.0368349571498,0.910694701631,0.514171788396,0.51426690107,0.519260891353,UP,UP,UP
2025-01-20,2025-01-27,151,0.492457981491,3.21899009963e-06,0.0382769352611,0.907959789795,0.524927380836,0.525093563375,0.534056198363,UP,UP,UP
2025-01-27,2025-02-03,152,0.491175111282,2.86699049946e-06,0.0422056248107,0.910298270757,0.52118892451,0.521329248513,0.5289096962,UP,UP,UP
2025-02-03,2025-02-10,153,0.490910546075,2.85282084533e-06,0.0447763394664,0.910868520663,0.525525938902,0.52569387271,0.534919127239,UP,UP,UP
2025-02-10,2025-02-17,154,0.490084053823,3.60534579042e-06,0.0466972173715,0.915297111,0.517017849161,0.517129076933,0.523201466463,UP,UP,UP
2025-02-17,2025-02-24,155,4.897770557e-06,0.975407064696,0.0245820444252,0.966946216956,0.573521636086,0.573999049308,0.605152798035,UP,DOWN,UP
2025-02-24,2025-03-03,156,0.488102025001,0.00678050410123,0.0427999654598,0.917516614623,0.498934150234,0.498927273784,0.498560999062,DOWN,UP,DOWN
2025-03-03,2025-03-10,157,0.00921371119893,0.967981973216,0.0137683732703,0.93403199526,0.536701519652,0.536936785803,0.550908977358,UP,UP,UP
2025-03-10,2025-03-17,158,4.9099520289e-06,0.975842639561,0.0241464547021,0.9682667278,0.574374568676,0.574848292043,0.606465194134,UP,UP,UP
2025-03-17,2025-03-24,159,4.85423873452e-06,0.975018968183,0.0249701868543,0.972767805976,0.578552796747,0.579049966347,0.61285108098,UP,UP,UP
2025-03-24,2025-03-31,160,4.82193104951e-06,0.973191979517,0.0267972190533,0.958776258009,0.592315210205,0.592895809011,0.632907888294,UP,DOWN,UP
2025-03-31,2025-04-07,161,4.84186141193e-06,0.973980080546,0.0260090932521,0.962541529249,0.585405311091,0.585939094286,0.62270176027,UP,UP,DOWN
2025-04-07,2025-04-14,162,4.80292520932e-06,0.972206408006,0.0277828156262,0.951659157165,0.598999469465,0.599614373002,0.642642893516,UP,UP,UP
2025-04-14,2025-04-21,163,4.73601668273e-06,0.970698870488,0.0292904293157,0.952179512156,0.609165171891,0.609839030977,0.658040462848,UP,DOWN,UP
2025-04-21,2025-04-28,164,4.73117394057e-06,0.971017936076,0.0289713666102,0.956730024663,0.604935998513,0.605579777645,0.651861106768,UP,DOWN,DOWN
2025-04-28,2025-05-05,165,4.8077868756e-06,0.972914774396,0.027074440022,0.957637608537,0.59221160091,0.59277386677,0.632702222378,UP,UP,DOWN
2025-05-05,2025-05-12,166,4.77171553259e-06,0.972521268227,0.0274679846806,0.962458443316,0.593486195866,0.594052778872,0.634832443168,UP,DOWN,UP
2025-05-12,2025-05-19,167,5.01812498933e-06,0.976958713814,0.023030265419,0.950903324494,0.573375298321,0.573817318191,0.6043827194,UP,UP,DOWN
2025-05-19,2025-05-26,168,4.98251685348e-06,0.975759585051,0.0242294371578,0.944878022172,0.583952713158,0.584455424015,0.619825864759,UP,DOWN,UP
2025-05-26,2025-06-02,169,0.0114919641131,0.963335207049,0.014193333742,0.906695601581,0.538226951691,0.538454493071,0.552592767361,UP,UP,DOWN
2025-06-02,2025-06-09,170,0.00981535575844,0.96574315505,0.0149817716485,0.913616825226,0.539769149155,0.540004469564,0.554887167558,UP,UP,UP
2025-06-09,2025-06-16,171,5.0978012357e-06,0.977797933573,0.0221909608271,0.940170847976,0.576657335843,0.577108261348,0.60884510426,UP,DOWN,UP
2025-06-16,2025-06-23,172,0.00964731645007,0.966293106524,0.0147800453759,0.911706798702,0.53945795045,0.539688698698,0.554413803249,UP,DOWN,DOWN
2025-06-23,2025-06-30,173,0.0103269752596,0.965352657091,0.0143764268479,0.914436598844,0.533711771638,0.533907770311,0.54638387065,UP,UP,DOWN
2025-06-30,2025-07-07,174,5.15306600399e-06,0.979343869979,0.020644959658,0.945623255173,0.564949456751,0.565324887137,0.591833391861,UP,UP,UP
2025-07-07,2025-07-14,175,5.11527950692e-06,0.978961517796,0.0210273519768,0.950096631845,0.566923730447,0.567308349587,0.594862776122,UP,DOWN,UP
2025-07-14,2025-07-21,176,5.09625926378e-06,0.978950919104,0.0210379697548,0.954680035709,0.565138224372,0.565510442797,0.592385149028,UP,DOWN,DOWN
2025-07-21,2025-07-28,177,5.0754824171e-06,0.978907013741,0.0210818961644,0.959337453113,0.563756364474,0.564118616545,0.590497939971,UP,UP,DOWN
2025-07-28,2025-08-04,178,5.10069065588e-06,0.977947618927,0.0220412716649,0.939759958434,0.574261856022,0.57468141453,0.605301448163,UP,UP,UP
2025-08-04,2025-08-11,179,5.05871834484e-06,0.977336137442,0.022652798879,0.942404616247,0.579552306521,0.579999229592,0.613204259066,UP,DOWN,UP
2025-08-11,2025-08-18,180,5.21491916281e-06,0.979835727027,0.0201530377353,0.935358093189,0.565670329205,0.566037202553,0.592571723658,UP,UP,DOWN
