origin_week,target_week,pred_return,actual_return,forecast_up,actual_up,previous_up,pred_z,state,state_depth,state_support,tree_leaves,tree_max_depth,map_log_score
2024-12-30,2025-01-06,0.0017806656264742642,0.01907190468567299,1,1,1,0.05534443217912203,1,1,96,7,3,-200.72025107309634
2025-01-06,2025-01-13,0.0008232873975708573,0.004832232762852051,1,1,1,0.0067923290666534325,1,1,97,7,3,-202.01455243873454
2025-01-13,2025-01-20,0.0022806091281131705,0.02513363728464668,1,1,1,0.08069837037111931,1,1,98,7,3,-202.80896080666662
2025-01-20,2025-01-27,0.008231834678401946,0.00996642051373775,1,1,1,0.38250648323591574,2,1,22,7,3,-204.51068634674272
2025-01-27,2025-02-03,0.00211835143762349,0.02214780342629152,1,1,1,0.07246969764637029,1,1,99,7,3,-205.61321874630778
2025-02-03,2025-02-10,0.008804593001889292,0.007847815945625447,1,1,1,0.4115531236763763,2,1,23,7,3,-207.09109605652623
2025-02-10,2025-02-17,0.002604125614998617,0.01857227378354021,1,1,1,0.09710505829824843,1,1,100,7,3,-208.1743180623949
2025-02-17,2025-02-24,0.0022595523658394843,-0.02693307778763376,1,0,1,0.07963050600752525,1,1,101,7,3,-209.38888951693042
2025-02-24,2025-03-03,-0.015026746443096565,0.01814883583028715,0,1,0,-0.7970200557727809,011,3,10,7,3,-211.6453467944866
2025-03-03,2025-03-10,0.003708415109020057,0.02591410312032116,1,1,1,0.15310756155253352,ROOT,0,147,1,0,-213.7118936279922
2025-03-10,2025-03-17,0.004148403058671788,0.01302557456660081,1,1,1,0.1754209374522583,ROOT,0,148,1,0,-215.27113594770893
2025-03-17,2025-03-24,0.003903340070068048,0.02024192533815838,1,1,1,0.1629929093934137,ROOT,0,149,1,0,-216.28793174711254
2025-03-24,2025-03-31,0.0042719192124761355,-0.01496229807952343,1,0,1,0.18168488711657563,ROOT,0,150,1,0,-217.54919326964745
2025-03-31,2025-04-07,0.0031058983337761176,0.06512172155571805,1,1,0,0.12255176268906542,ROOT,0,151,1,0,-218.946688199462
2025-04-07,2025-04-14,0.004470416736214096,0.02719974587495022,1,1,1,0.191751412497181,ROOT,0,152,1,0,-224.79743615535153
2025-04-14,2025-04-21,0.004855242720668282,-0.001999944109683072,1,0,1,0.21126732618050956,ROOT,0,153,1,0,-226.37177755767723
2025-04-21,2025-04-28,0.00395304391977891,-0.01844635494336067,1,0,0,0.1655135708868472,ROOT,0,154,1,0,-227.36932145704594
2025-04-28,2025-05-05,0.0033132846695622556,0.02198950364165464,1,1,0,0.13306907178929306,ROOT,0,155,1,0,-228.93339430488717
2025-05-05,2025-05-12,0.004503359197825828,-0.03404367727825841,1,0,1,0.19342204354420547,ROOT,0,156,1,0,-230.30588065371376
2025-05-12,2025-05-19,0.0033898288554782283,0.04494152821837538,1,1,0,0.1369509035408977,ROOT,0,157,1,0,-233.0880861895124
2025-05-19,2025-05-26,0.003606243533175868,-0.02010430076825931,1,0,1,0.14792607242338082,ROOT,0,158,1,0,-236.11234620234617
2025-05-26,2025-06-02,0.004584538076234679,0.007073982993914707,1,1,0,0.19753891726878936,ROOT,0,159,1,0,-237.74072382392745
2025-06-02,2025-06-09,0.0038766068643762727,0.03642048076336613,1,1,1,0.16163717210997808,ROOT,0,160,1,0,-238.70370963896832
2025-06-09,2025-06-16,0.00332687868493274,-0.0185312177045206,1,0,1,0.13375847334037724,ROOT,0,161,1,0,-240.93802101059404
2025-06-16,2025-06-23,0.004840750086730734,-0.02710690376957414,1,0,0,0.21053235244070242,ROOT,0,162,1,0,-242.46710720053096
2025-06-23,2025-06-30,0.004637545099005508,0.01791231615173183,1,1,0,0.2002270945821612,ROOT,0,163,1,0,-244.64251706585148
2025-06-30,2025-07-07,0.0034727632131142973,0.004018842260954614,1,1,1,0.14115680394885344,ROOT,0,164,1,0,-245.81550189141905
2025-07-07,2025-07-14,0.003915422220361864,-0.0005552588288930682,1,0,1,0.1636056388133814,ROOT,0,165,1,0,-246.7732006154144
2025-07-14,2025-07-21,0.004032878140686277,2.924421209260508e-05,1,1,0,0.16956225217954576,ROOT,0,166,1,0,-247.75028987423372
2025-07-21,2025-07-28,0.003989750136576845,0.004683875117428848,1,1,1,0.16737507553468456,ROOT,0,167,1,0,-248.7199454271842
