origin_week,target_week,pred_return,actual_return,forecast_up,actual_up,previous_up,pred_z,state,state_depth,state_support,tree_leaves,tree_max_depth,map_log_score
2023-12-25,2024-01-01,0.002587017650203711,-0.01070071993748423,1,0,1,0.09623745169754457,ROOT,0,85,1,0,-125.2633405930985
2024-01-01,2024-01-08,0.00038359913759785275,-0.007189356378776823,1,0,0,-0.015505848488525827,ROOT,0,86,1,0,-126.40520911567887
2024-01-08,2024-01-15,0.0006245176433900373,-0.002674097393545627,1,0,0,-0.003288002101605146,ROOT,0,87,1,0,-127.3854934681359
2024-01-15,2024-01-22,0.0010450246285238973,-0.001054366689610342,1,0,0,0.018037423822397515,ROOT,0,88,1,0,-128.29729716151633
2024-01-22,2024-01-29,0.0011877260407833121,0.0167433581176204,1,1,0,0.025274327141423202,ROOT,0,89,1,0,-129.19401141338315
2024-01-29,2024-02-05,0.003177526529032372,-0.01470842095271863,1,0,1,0.1261842868230486,ROOT,0,90,1,0,-130.4162846049752
2024-02-05,2024-02-12,-9.886222902714362e-05,-0.005486032845862687,0,0,0,-0.039973204558435706,ROOT,0,91,1,0,-131.7468107550746
2024-02-12,2024-02-19,0.0006938815868425144,0.01102151731004775,1,1,0,0.00022969365657977622,ROOT,0,92,1,0,-132.67317721932457
2024-02-19,2024-02-26,0.002375668621518972,0.02322147542577058,1,1,1,0.08551918014756887,ROOT,0,93,1,0,-133.70207950642046
2024-02-26,2024-03-04,0.003881697362772252,0.04537181699912485,1,1,1,0.1618953296443295,ROOT,0,94,1,0,-135.19293026474776
2024-03-04,2024-03-11,0.007685355173078466,-0.01061452806013086,1,0,1,0.35479253644844033,ROOT,0,95,1,0,-138.43881076686847
2024-03-11,2024-03-18,0.0006820924604129885,0.004402452407242241,1,1,0,-0.0003681754663350939,ROOT,0,96,1,0,-139.79333067628068
2024-03-18,2024-03-25,0.0022919408086218536,0.03108339350347533,1,1,1,0.08127304076144698,ROOT,0,97,1,0,-140.7072055371766
2024-03-25,2024-04-01,0.005413352997550373,0.0427062511204449,1,1,1,0.2395711113442326,ROOT,0,98,1,0,-142.73336299503455
2024-04-01,2024-04-08,0.00818289053682183,0.006433431927839406,1,1,1,0.3800243492819496,ROOT,0,99,1,0,-145.4696979279537
2024-04-08,2024-04-15,0.0032820561224184454,0.0205484932621891,1,1,1,0.13148535952677842,ROOT,0,100,1,0,-146.40209942186115
2024-04-15,2024-04-22,0.00535616799565388,-0.0225363574673848,1,0,1,0.236671053640032,ROOT,0,101,1,0,-147.70508736898836
2024-04-22,2024-04-29,-0.0003924500851033298,-0.01526174561191407,0,0,0,-0.054862103668985404,ROOT,0,102,1,0,-149.64311887295932
2024-04-29,2024-05-06,0.00019255433361754922,0.02532602259492134,1,1,0,-0.025194419569338336,ROOT,0,103,1,0,-150.8476016344857
2024-05-06,2024-05-13,0.005499541072916106,0.02302241693153939,1,1,1,0.24394201951394873,ROOT,0,104,1,0,-152.59121289016576
2024-05-13,2024-05-20,0.0055885063307897975,-0.03358762835514018,1,0,1,0.24845376862553903,ROOT,0,105,1,0,-153.908076508277
2024-05-20,2024-05-27,-0.0014465543749869123,-0.002704462244697448,0,0,0,-0.10831953421066821,ROOT,0,106,1,0,-156.81404619766053
2024-05-27,2024-06-03,0.001960807059336474,-0.01362550681458496,1,0,0,0.06448005398365367,ROOT,0,107,1,0,-157.7512304424581
2024-06-03,2024-06-10,0.0005681919894737148,0.01691914581308973,1,1,0,-0.006144479170187442,ROOT,0,108,1,0,-158.98476730677356
2024-06-10,2024-06-17,0.004100789100475472,-0.004598381190728196,1,0,1,0.17300626189546378,ROOT,0,109,1,0,-160.25037195470924
2024-06-17,2024-06-24,0.0017227992736123846,0.002387814010990197,1,1,0,0.05240982070993233,ROOT,0,110,1,0,-161.26449009800297
2024-06-24,2024-07-01,0.0024612090100693765,0.02770449116235441,1,1,1,0.08985724178276705,ROOT,0,111,1,0,-162.17414315379645
2024-07-01,2024-07-08,0.005341245541805673,0.008387277828167172,1,1,1,0.23591428218225707,ROOT,0,112,1,0,-163.927275491661
2024-07-08,2024-07-15,0.0033515387276355033,-0.003911954764450054,1,0,1,0.13500907305104107,ROOT,0,113,1,0,-164.85389125121975
2024-07-15,2024-07-22,0.001982529707594763,-0.00555976239512368,1,0,0,0.06558168782728137,ROOT,0,114,1,0,-165.8279218175701
2024-07-22,2024-07-29,0.0017351113916909263,0.02321055335699784,1,1,0,0.053034212625724005,ROOT,0,115,1,0,-166.80431032742447
2024-07-29,2024-08-05,0.0049109343907347254,-0.004435484401476675,1,0,1,0.21409165164137647,ROOT,0,116,1,0,-168.32589313108028
2024-08-05,2024-08-12,0.0020139289780892063,0.03139477204855001,1,1,0,0.06717405808668102,ROOT,0,117,1,0,-169.3447907433408
2024-08-12,2024-08-19,0.005668029347294535,0.002007163258054723,1,1,1,0.252486667620511,ROOT,0,118,1,0,-171.4095851398275
2024-08-19,2024-08-26,0.0028688605697597433,-0.003489444541567743,1,0,1,0.11053072271487029,ROOT,0,119,1,0,-172.33511461761123
2024-08-26,2024-09-02,0.002310357161212328,-0.002325065678643878,1,0,0,0.08220700042642962,ROOT,0,120,1,0,-173.2848069537185
2024-09-02,2024-09-09,0.0023765829762990125,0.0323581618067299,1,1,0,0.08556555037641013,ROOT,0,121,1,0,-174.20549248302717
2024-09-09,2024-09-16,0.005739861957244154,0.01680631458246529,1,1,1,0.2561295583608889,ROOT,0,122,1,0,-176.32723351066477
2024-09-16,2024-09-23,0.00453553542177742,0.01374610725488046,1,1,1,0.19505381591577586,ROOT,0,123,1,0,-177.39405020917422
2024-09-23,2024-09-30,0.004343683832990128,-0.001706292555958555,1,0,1,0.1853243298674449,ROOT,0,124,1,0,-178.40248491477556
2024-09-30,2024-10-07,0.0027687105530245916,0.001551499067402928,1,1,0,0.10545175413960814,ROOT,0,125,1,0,-179.34121111332288
2024-10-07,2024-10-14,0.0030777305265112702,0.02406374066369477,1,1,1,0.12112327158545898,ROOT,0,126,1,0,-180.22673962000744
2024-10-14,2024-10-21,0.005434547302984101,0.009659248225981965,1,1,1,0.24064595101757066,ROOT,0,127,1,0,-181.72335147905034
