event_date,tier,z,event_direction,target_week,forecast_origin_close,lead_calendar_days,p_up,forecast_direction,weekly_actual_direction,event_direction_match
2025-02-10,MAJOR,2.3407,UP,2025-02-10,2025-02-07,3,0.547242966536,UP,UP,TRUE
2025-02-14,MAJOR,-2.2468,DOWN,2025-02-10,2025-02-07,7,0.547242966536,UP,UP,FALSE
2025-02-18,MAJOR,2.1885,UP,2025-02-17,2025-02-14,4,0.589514474073,UP,UP,TRUE
2025-03-13,MAJOR,2.1237,UP,2025-03-10,2025-03-07,6,0.582123268276,UP,UP,TRUE
2025-04-04,EXTREME,-3.3930,DOWN,2025-03-31,2025-03-28,7,0.642774892128,UP,DOWN,FALSE
2025-04-09,EXTREME,3.2185,UP,2025-04-07,2025-04-04,5,0.602474271683,UP,UP,TRUE
2025-04-10,MAJOR,2.3440,UP,2025-04-07,2025-04-04,6,0.602474271683,UP,UP,TRUE
2025-07-21,MAJOR,2.0611,UP,2025-07-21,2025-07-18,3,0.581296949035,UP,DOWN,TRUE
2025-08-01,MAJOR,2.5481,UP,2025-07-28,2025-07-25,7,0.609047302490,UP,UP,TRUE
2025-09-02,MAJOR,2.6673,UP,2025-09-01,2025-08-29,4,0.607681686833,UP,UP,TRUE
2025-09-22,MAJOR,2.6254,UP,2025-09-22,2025-09-19,3,0.664067448587,UP,UP,TRUE
2025-09-29,MAJOR,2.3040,UP,2025-09-29,2025-09-26,3,0.685259712715,UP,UP,TRUE
2025-10-06,MAJOR,2.7911,UP,2025-10-06,2025-10-03,3,0.688340844621,UP,UP,TRUE
2025-10-13,MAJOR,2.5043,UP,2025-10-13,2025-10-10,3,0.713352760981,UP,UP,TRUE
2025-10-16,MAJOR,2.9074,UP,2025-10-13,2025-10-10,6,0.713352760981,UP,UP,TRUE
2025-10-17,MAJOR,-2.0589,DOWN,2025-10-13,2025-10-10,7,0.713352760981,UP,UP,FALSE
2025-10-21,EXTREME,-4.1054,DOWN,2025-10-20,2025-10-17,4,0.734467252450,UP,DOWN,FALSE
2025-12-22,EXTREME,4.0174,UP,2025-12-22,2025-12-19,3,0.628973683059,UP,UP,TRUE
2025-12-29,EXTREME,-6.6415,DOWN,2025-12-29,2025-12-26,3,0.661578699128,UP,DOWN,FALSE
