origin_week_start,origin_close_date,target_week_start,log_pw_train,log_pw_append_down,log_pw_append_up,p_up,forecast_direction,actual_direction,previous_week_direction
2024-12-30,2025-01-03,2025-01-06,-31.420267559254,-32.167168321277,-32.062403805384,0.526167199948,UP,UP,UP
2025-01-06,2025-01-10,2025-01-13,-31.361607092332,-32.153566921236,-31.964833513886,0.547043791842,UP,UP,UP
2025-01-13,2025-01-17,2025-01-20,-31.405397939067,-32.177247131088,-32.025587748030,0.537842340609,UP,UP,UP
2025-01-20,2025-01-24,2025-01-27,-31.430653260463,-32.223650789341,-32.033021273141,0.547513580695,UP,UP,UP
2025-01-27,2025-01-31,2025-02-03,-31.414705686961,-32.198075648336,-32.025100850219,0.543136199193,UP,UP,UP
2025-02-03,2025-02-07,2025-02-10,-31.424479370560,-32.216879017915,-32.027341765601,0.547242966536,UP,UP,UP
2025-02-10,2025-02-14,2025-02-17,-31.136927155273,-32.027341765601,-31.665383161445,0.589514474073,UP,UP,UP
2025-02-17,2025-02-21,2025-02-24,-30.862375258731,-31.810914989612,-31.352265207749,0.612693818030,UP,DOWN,UP
2025-02-24,2025-02-28,2025-03-03,-31.257976962059,-32.036782616909,-31.872227630126,0.541046166619,UP,UP,DOWN
2025-03-03,2025-03-07,2025-03-10,-31.297678490161,-32.170247280293,-31.838751542676,0.582123268276,UP,UP,UP
2025-03-10,2025-03-14,2025-03-17,-30.905419450747,-31.830894285346,-31.410168866995,0.603656823067,UP,UP,UP
2025-03-17,2025-03-21,2025-03-24,-30.498563394615,-31.433892313237,-30.996895320609,0.607543242036,UP,UP,UP
2025-03-24,2025-03-28,2025-03-31,-29.942651095312,-30.972040236967,-30.384611801355,0.642774892128,UP,DOWN,UP
2025-03-31,2025-04-04,2025-04-07,-30.504423129475,-31.426918751132,-31.011133446604,0.602474271683,UP,UP,DOWN
2025-04-07,2025-04-11,2025-04-14,-30.016251959898,-31.061583522763,-30.449461249194,0.648424769240,UP,UP,UP
2025-04-14,2025-04-18,2025-04-21,-29.956881848228,-30.994241691269,-30.394440112546,0.645610909253,UP,DOWN,UP
2025-04-21,2025-04-25,2025-04-28,-30.525646777577,-31.433700724596,-31.042001525816,0.596691679802,UP,DOWN,DOWN
2025-04-28,2025-05-02,2025-05-05,-30.910924211319,-31.854722860581,-31.403822808739,0.610853208017,UP,UP,DOWN
2025-05-05,2025-05-09,2025-05-12,-30.441261212806,-31.391330331906,-30.930185584804,0.613285706813,UP,DOWN,UP
2025-05-12,2025-05-16,2025-05-19,-30.473425964245,-31.376622310552,-30.993077416278,0.594727803015,UP,UP,DOWN
2025-05-19,2025-05-23,2025-05-26,-30.516671081298,-31.503251736414,-30.983239680350,0.627150585420,UP,DOWN,UP
2025-05-26,2025-05-30,2025-06-02,-30.553991381073,-31.490258270437,-31.051717870327,0.607911182407,UP,UP,DOWN
2025-06-02,2025-06-06,2025-06-09,-30.553991381073,-31.509166520416,-31.039709445356,0.615255245292,UP,UP,UP
2025-06-09,2025-06-13,2025-06-16,-30.550416600651,-31.504520236373,-31.036805304760,0.614842768948,UP,DOWN,UP
2025-06-16,2025-06-20,2025-06-23,-30.550416600651,-31.461159496695,-31.064957954914,0.597774698572,UP,DOWN,DOWN
2025-06-23,2025-06-27,2025-06-30,-30.550416600651,-31.538659953338,-31.015998012507,0.627770006139,UP,UP,DOWN
2025-06-30,2025-07-04,2025-07-07,-30.550416600651,-31.498566271074,-31.040553199668,0.612542715736,UP,UP,UP
2025-07-07,2025-07-11,2025-07-14,-30.550416600651,-31.509740859074,-31.033548769361,0.616848289943,UP,DOWN,UP
2025-07-14,2025-07-18,2025-07-21,-30.980399508502,-31.850992827730,-31.522893061310,0.581296949035,UP,DOWN,DOWN
2025-07-21,2025-07-25,2025-07-28,-30.949413121452,-31.888581826002,-31.445272463344,0.609047302490,UP,UP,DOWN
2025-07-28,2025-08-01,2025-08-04,-30.868950668409,-31.759003584489,-31.397658603618,0.589365976965,UP,UP,UP
2025-08-04,2025-08-08,2025-08-11,-30.880812660503,-31.777896859571,-31.404650689457,0.592243134079,UP,DOWN,UP
2025-08-11,2025-08-15,2025-08-18,-31.203125282130,-31.936156466862,-31.857918368388,0.519549553409,UP,UP,DOWN
2025-08-18,2025-08-22,2025-08-25,-30.955541102106,-31.855010798582,-31.477740027777,0.593214677758,UP,UP,UP
2025-08-25,2025-08-29,2025-09-01,-30.525466319867,-31.461148065186,-31.023570395371,0.607681686833,UP,UP,UP
2025-09-01,2025-09-05,2025-09-08,-29.773632691279,-30.778596714334,-30.229430193811,0.633942195791,UP,UP,UP
2025-09-08,2025-09-12,2025-09-15,-29.821970238247,-30.831528920875,-30.275124225314,0.635620248792,UP,UP,UP
2025-09-15,2025-09-19,2025-09-22,-29.197148564434,-30.287993443446,-29.606520119902,0.664067448587,UP,UP,UP
2025-09-22,2025-09-26,2025-09-29,-28.514226887395,-29.670234352436,-28.892184257322,0.685259712715,UP,UP,UP
2025-09-29,2025-10-03,2025-10-06,-28.550710268615,-29.716555407656,-28.924181418647,0.688340844621,UP,UP,UP
2025-10-06,2025-10-10,2025-10-13,-27.680731018224,-28.930233969789,-28.018510243209,0.713352760981,UP,UP,UP
2025-10-13,2025-10-17,2025-10-20,-26.705372880173,-28.031389983141,-27.013982749355,0.734467252450,UP,DOWN,UP
2025-10-20,2025-10-24,2025-10-27,-27.702065115797,-28.930778576419,-28.048321473035,0.707331134405,UP,DOWN,DOWN
2025-10-27,2025-10-31,2025-11-03,-28.554128813793,-29.770747850126,-28.905432521071,0.703769981329,UP,UP,DOWN
2025-11-03,2025-11-07,2025-11-10,-28.488177663090,-29.641077954503,-28.867565402091,0.684280239086,UP,UP,UP
2025-11-10,2025-11-14,2025-11-17,-28.492817222863,-29.568692717928,-28.909847573662,0.659000918436,UP,DOWN,UP
2025-11-17,2025-11-21,2025-11-24,-29.158565678659,-30.134225254310,-29.631683991419,0.623056351300,UP,UP,DOWN
2025-11-24,2025-11-28,2025-12-01,-29.218309315521,-30.335941935185,-29.614398224931,0.672946861969,UP,DOWN,UP
2025-12-01,2025-12-05,2025-12-08,-29.881175425773,-30.933023934605,-30.310868910264,0.650708516411,UP,UP,DOWN
2025-12-08,2025-12-12,2025-12-15,-29.845319012932,-30.845566342358,-30.303850246509,0.632211534988,UP,UP,UP
2025-12-15,2025-12-19,2025-12-22,-29.224749238047,-30.216231521786,-29.688415100539,0.628973683059,UP,UP,UP
