origin_date,target_date,actual_return,actual_up,freq_p_up,lag1_return,log_rv,rsk,AR1_LOGIT_p_up,AR1_LOGIT_pred_up,AR1_LOGIT_beta,RV_LOGIT_p_up,RV_LOGIT_pred_up,RV_LOGIT_beta,RSK_LOGIT_p_up,RSK_LOGIT_pred_up,RSK_LOGIT_beta,RM_LOGIT_p_up,RM_LOGIT_pred_up,RM_LOGIT_beta,AR1_RM_LOGIT_p_up,AR1_RM_LOGIT_pred_up,AR1_RM_LOGIT_beta
2022-12-29,2023-01-03,0.016780857507039514,1,0.5237226277372263,0.003801421323772567,-10.169447006417396,0.38323017545181937,0.5337634213222641,1,"[0.09521044826976512,0.11604191504657552]",0.500045794714715,1,"[0.09512808666274085,0.07755972357630796]",0.5391800523498572,1,"[0.09546959128085244,0.15560246205898465]",0.5091659017692235,1,"[0.0961610284474981,0.10449045857021935,0.17290411094316857]",0.5105743516917184,1,"[0.09645403779853365,0.07235283909952353,0.11068783504704555,0.14247402030249803]"
2023-01-03,2023-01-04,0.002919946742020148,1,0.5245901639344263,0.016780857507039514,-9.278471070635023,-0.0890334354062938,0.5703319354901787,1,"[0.098704379665713,0.11715998772408753]",0.5305641237410137,1,"[0.09859133523374763,0.07311607202270003]",0.5246299608257331,1,"[0.09897585515455562,0.15691890059708835]",0.532923126944759,1,"[0.09964077859545013,0.10025622310177518,0.17360433486785729]",0.5618506557245886,1,"[0.09993699760825163,0.07264025205706437,0.10649107696378002,0.14303944835062235]"
2023-01-04,2023-01-05,-0.007506314692604031,0,0.5254545454545455,0.002919946742020148,-9.466034494826502,0.6049199481658681,0.5333940482976645,1,"[0.10220423690011993,0.12235371836494902]",0.5254847865601191,1,"[0.10206702269989433,0.07419463810163511]",0.5482972018906372,1,"[0.10246170962101758,0.15679126433641366]",0.5508886392685817,1,"[0.10314567198171075,0.10136654870274082,0.17368168692374844]",0.551238426502615,1,"[0.10348578224081417,0.07918579167941386,0.10809968230988523,0.14045427914378147]"
2023-01-05,2023-01-09,0.01788387634527822,1,0.5245009074410163,-0.007506314692604031,-9.388738904532882,-0.15051798661106075,0.5024758189625785,1,"[0.09836119637383534,0.12121081239969476]",0.5270142498783243,1,"[0.09823734965275108,0.07411187268030964]",0.5225020834471873,1,"[0.0985978586861421,0.15420383516830954]",0.5258024951723023,1,"[0.09925484215898311,0.10081749603937248,0.17094241692736145]",0.5121738433372136,1,"[0.09958419438155186,0.07900672117162928,0.10752519987491971,0.13779093666893596]"
2023-01-09,2023-01-10,0.003488676053335052,1,0.5253623188405797,0.01788387634527822,-9.912975867530863,-0.12050031193547209,0.5745735748678589,1,"[0.10181714380833234,0.11848357066543147]",0.5109111185990906,1,"[0.10169818662021318,0.07452497632623774]",0.52434716927912,1,"[0.10206985095102138,0.1538844999826161]",0.504699492122761,1,"[0.10273809537174407,0.10121093872488525,0.1707052864385968]",0.5355294776395869,1,"[0.10305325123903761,0.07591003533737953,0.10766085412931012,0.13886327424002984]"
2023-01-10,2023-01-11,0.0034924192873265654,1,0.5262206148282098,0.003488676053335052,-10.15595904844356,0.39659179590838456,0.5358558941240139,1,"[0.10529594827428417,0.12396080139456377]",0.5047458034816589,1,"[0.10513242105039848,0.0717344076260779]",0.5419184706722291,1,"[0.10553032170731501,0.15366013725499936]",0.5143294784881502,1,"[0.10617749718958017,0.0982771026998422,0.1699820372911217]",0.5151365818589968,1,"[0.10653729415012593,0.08288717703026795,0.10552195130211793,0.13536900842232716]"
2023-01-11,2023-01-12,0.006094461397593419,1,0.5270758122743683,0.0034924192873265654,-9.847691141129486,-0.03108723829856277,0.5367900632707084,1,"[0.1087437506159586,0.1249385657476959]",0.5159747609348798,1,"[0.10854809967205266,0.06745063062019695]",0.5289566696648883,1,"[0.10898908622142103,0.1549999037370395]",0.5137343727024233,1,"[0.10961007838681755,0.09421153129437351,0.17072784624621426]",0.5186530324430887,1,"[0.10997224456443629,0.08298907088316758,0.10147079078562661,0.1360566485463278]"
2023-01-12,2023-01-16,0.008089521944008927,1,0.527927927927928,0.006094461397593419,-9.383255803898146,-0.9772032494590875,0.5454175785978593,1,"[0.11218017731682224,0.12591305242809983]",0.5303644787662786,1,"[0.11196058361441087,0.06510387885852217]",0.4988117393052066,0,"[0.11242788901948755,0.15504863902651886]",0.4994669986119642,0,"[0.1130333014594997,0.09180578069767287,0.17038134428532747]",0.5181177973866761,1,"[0.11340381031743214,0.08395832641547804,0.09917494880799434,0.13531519672640105]"
2023-01-16,2023-01-17,-0.006187339129039534,0,0.5287769784172662,0.008089521944008927,-10.17712374347174,-0.6747410275581596,0.5524761957180909,1,"[0.11560945951540581,0.12771653982246983]",0.5085835695892151,1,"[0.11537335909487291,0.0655665905684463]",0.5099940291651193,1,"[0.11583398138506543,0.15212046025652817]",0.47987100263315496,0,"[0.11643522174670021,0.09183246545774465,0.16744976875266196]",0.4984628328331832,0,"[0.11683277139933212,0.08777882215639303,0.09954782350537011,0.13093588635075332]"
2023-01-17,2023-01-18,0.005365587038309033,1,0.5278276481149012,-0.006187339129039534,-9.83825428217818,-0.37752030472275483,0.5089092835642198,1,"[0.11176903500308485,0.12461667605156006]",0.5166215342770151,1,"[0.11158023146068242,0.07013107986285468]",0.5185183869127163,1,"[0.11201683401952867,0.15393016984560837]",0.5021845157962246,1,"[0.1126656040653187,0.09659045324766696,0.16994651662420873]",0.4903868399643884,0,"[0.11304165235169758,0.08396067972835147,0.10415574918478045,0.13510064741198025]"
