alerts,auc,break_count,break_date,coverage,mse,n,policy,precision,qlike,recall,window,year
27,0.7368704551575546,,,0.13170731707317074,1.1364168605602759e-09,205,EXPANDING,0.5555555555555556,0.1660906806960673,0.3191489361702128,1016,2022
28,0.708291956305859,,,0.13658536585365855,1.243894514754799e-09,205,ROLLING,0.6071428571428571,0.16934475975915245,0.32075471698113206,250,2022
24,0.7259288330716902,,,0.11707317073170732,1.2457199089462219e-09,205,ROLLING,0.5833333333333334,0.16910564894149635,0.2857142857142857,275,2022
15,0.7182116488925349,,,0.07317073170731707,1.258555053051586e-09,205,ROLLING,0.6,0.16666101050811827,0.1956521739130435,300,2022
15,0.7274441152706707,,,0.07317073170731707,1.2550938782265367e-09,205,ROLLING,0.6,0.1656674428403007,0.19148936170212766,325,2022
12,0.7177275431290898,,,0.05853658536585366,1.264460951631919e-09,205,ROLLING,0.75,0.16549004162608452,0.21951219512195122,350,2022
11,0.7157983193277311,,,0.05365853658536585,1.1670217643352738e-09,205,ROLLING,0.8181818181818182,0.1567790585045235,0.2571428571428571,375,2022
12,0.7189349112426036,,,0.05853658536585366,1.1701576600102117e-09,205,ROLLING,0.75,0.15826188261833488,0.25,400,2022
12,0.7186061801446417,,,0.05853658536585366,1.1720875810522651e-09,205,ROLLING,0.75,0.15784679387387196,0.25,425,2022
11,0.6983381502890174,,,0.05365853658536585,1.1766912370894574e-09,205,ROLLING,0.7272727272727273,0.1578766040017148,0.25,450,2022
11,0.7318918918918919,,,0.05365853658536585,1.1186239519892122e-09,205,ROLLING,0.6363636363636364,0.1573950563983224,0.35,475,2022
11,0.7351351351351352,,,0.05365853658536585,1.1137741758163099e-09,205,ROLLING,0.6363636363636364,0.15660925067151477,0.35,500,2022
12,0.7458100558659218,,,0.05853658536585366,1.1138283659692728e-09,205,ROLLING,0.6666666666666666,0.1576159000597821,0.3076923076923077,525,2022
12,0.7288135593220338,,,0.05853658536585366,1.116224608676522e-09,205,ROLLING,0.6666666666666666,0.15915644709402585,0.2857142857142857,550,2022
12,0.7280064568200162,,,0.05853658536585366,1.1180572226809972e-09,205,ROLLING,0.6666666666666666,0.1601532409061461,0.2857142857142857,575,2022
13,0.724879495736003,,,0.06341463414634146,1.1188907254229685e-09,205,ROLLING,0.6923076923076923,0.16010003545202972,0.2903225806451613,600,2022
12,0.7466666666666667,,,0.05853658536585366,1.118506325995189e-09,205,ROLLING,0.6666666666666666,0.15957631303645184,0.26666666666666666,625,2022
12,0.724879495736003,,,0.05853658536585366,1.119925516894367e-09,205,ROLLING,0.6666666666666666,0.1591431566297723,0.25806451612903225,650,2022
12,0.7246941045606229,,,0.05853658536585366,1.1198441463272195e-09,205,ROLLING,0.6666666666666666,0.1586466589668184,0.25806451612903225,675,2022
12,0.6974982381959126,,,0.05853658536585366,1.122108710495381e-09,205,ROLLING,0.6666666666666666,0.15996794925356841,0.24242424242424243,700,2022
14,0.7171428571428572,,,0.06829268292682927,1.123735988836486e-09,205,ROLLING,0.7142857142857143,0.16081736583975945,0.2857142857142857,725,2022
15,0.7173109243697479,,,0.07317073170731707,1.1251604956133756e-09,205,ROLLING,0.6666666666666666,0.16168891549307776,0.2857142857142857,750,2022
17,0.7245817245817245,,,0.08292682926829269,1.1267373706865422e-09,205,ROLLING,0.6470588235294118,0.16268408846156568,0.2972972972972973,775,2022
17,0.7277272727272728,,,0.08292682926829269,1.1279975188270138e-09,205,ROLLING,0.6470588235294118,0.1633095951436726,0.275,800,2022
20,0.7275757575757575,,,0.0975609756097561,1.128812683721239e-09,205,ROLLING,0.6,0.1638239476124488,0.3,825,2022
20,0.7314098750743605,,,0.0975609756097561,1.1296296597871963e-09,205,ROLLING,0.6,0.16406193632106325,0.2926829268292683,850,2022
21,0.7314098750743605,,,0.1024390243902439,1.1309726966338618e-09,205,ROLLING,0.6190476190476191,0.16467053369517215,0.3170731707317073,875,2022
21,0.7308149910767401,,,0.1024390243902439,1.1315221423692633e-09,205,ROLLING,0.6190476190476191,0.16460271579515923,0.3170731707317073,900,2022
21,0.7279166666666667,,,0.1024390243902439,1.132669894910039e-09,205,ROLLING,0.6190476190476191,0.16509189032669525,0.28888888888888886,925,2022
22,0.7287394038829642,,,0.1073170731707317,1.1338711616823308e-09,205,ROLLING,0.6363636363636364,0.1655315582782744,0.30434782608695654,950,2022
25,0.7371397791543226,,,0.12195121951219512,1.1346029036700412e-09,205,ROLLING,0.6,0.16583529223645468,0.3191489361702128,975,2022
27,0.7372744411527067,,,0.13170731707317074,1.1355614303397943e-09,205,ROLLING,0.5555555555555556,0.16620247497655835,0.3191489361702128,1000,2022
27,0.7368704551575546,,,0.13170731707317074,1.1364168605602759e-09,205,ROLLING,0.5555555555555556,0.1660906806960673,0.3191489361702128,1016,2022
10,0.7255851493139629,1,2020-03-20,0.04878048780487805,1.1762565017923852e-09,205,BREAK_CONDITIONED,0.7,0.15689810572661914,0.25,461,2022
7,0.717687074829932,,,0.034482758620689655,3.110351100245501e-10,203,EXPANDING,0.2857142857142857,0.13372300014439467,0.14285714285714285,1221,2023
5,0.7004048582995951,,,0.024630541871921183,3.0987885260027427e-10,203,ROLLING,0.4,0.13356957903208858,0.15384615384615385,250,2023
7,0.7511068943706515,,,0.034482758620689655,3.07594536986997e-10,203,ROLLING,0.42857142857142855,0.1326855575039276,0.17647058823529413,275,2023
9,0.7378378378378379,,,0.04433497536945813,3.0668441373108466e-10,203,ROLLING,0.4444444444444444,0.13222608770466548,0.2222222222222222,300,2023
9,0.7242562929061785,,,0.04433497536945813,3.061836438805759e-10,203,ROLLING,0.4444444444444444,0.13194058824495195,0.21052631578947367,325,2023
9,0.7205377574370709,,,0.04433497536945813,3.068476748835217e-10,203,ROLLING,0.4444444444444444,0.13249866025932747,0.21052631578947367,350,2023
9,0.7128019323671497,,,0.04433497536945813,3.057555042863377e-10,203,ROLLING,0.5555555555555556,0.1322086029056702,0.21739130434782608,375,2023
9,0.7123188405797102,,,0.04433497536945813,3.0499413213190913e-10,203,ROLLING,0.5555555555555556,0.13215908951340388,0.21739130434782608,400,2023
8,0.7372372372372372,,,0.03940886699507389,3.0536288017934814e-10,203,ROLLING,0.375,0.13176149772065543,0.16666666666666666,425,2023
6,0.75426944971537,,,0.029556650246305417,3.045111286172114e-10,203,ROLLING,0.5,0.13116732351113114,0.17647058823529413,450,2023
5,0.7161753590325018,,,0.024630541871921183,3.042125492782571e-10,203,ROLLING,0.4,0.13119574947957105,0.14285714285714285,475,2023
3,0.7137651821862349,,,0.014778325123152709,3.022354743339868e-10,203,ROLLING,0.3333333333333333,0.13084692743149476,0.07692307692307693,500,2023
3,0.7129554655870445,,,0.014778325123152709,3.0357007819054676e-10,203,ROLLING,0.3333333333333333,0.13157858048010057,0.07692307692307693,525,2023
3,0.7153846153846154,,,0.014778325123152709,3.03299388567573e-10,203,ROLLING,0.3333333333333333,0.13158876251798698,0.07692307692307693,550,2023
2,0.6912943871706758,,,0.009852216748768473,3.0492658477600077e-10,203,ROLLING,0.5,0.1306530388950861,0.1111111111111111,575,2023
2,0.6924398625429553,,,0.009852216748768473,3.057754919785254e-10,203,ROLLING,0.5,0.13113225524513267,0.1111111111111111,600,2023
2,0.6935853379152348,,,0.009852216748768473,3.0560431754020647e-10,203,ROLLING,0.5,0.1312614705128593,0.1111111111111111,625,2023
2,0.6941580756013745,,,0.009852216748768473,3.034857502318828e-10,203,ROLLING,0.5,0.13003398779152148,0.1111111111111111,650,2023
3,0.6865384615384615,,,0.014778325123152709,3.1582972571703624e-10,203,ROLLING,0.3333333333333333,0.13289767432944904,0.125,675,2023
3,0.6878205128205128,,,0.014778325123152709,3.1810125549838296e-10,203,ROLLING,0.3333333333333333,0.13345455966417963,0.125,700,2023
3,0.6833333333333333,,,0.014778325123152709,3.1823665476857887e-10,203,ROLLING,0.3333333333333333,0.1334851713506735,0.125,725,2023
3,0.6833333333333333,,,0.014778325123152709,3.1683111309655534e-10,203,ROLLING,0.3333333333333333,0.1332271588433178,0.125,750,2023
3,0.6858974358974359,,,0.014778325123152709,3.1613371350379253e-10,203,ROLLING,0.3333333333333333,0.13312740616442187,0.125,775,2023
3,0.6865384615384615,,,0.014778325123152709,3.1531802753040287e-10,203,ROLLING,0.3333333333333333,0.13297401035033168,0.125,800,2023
3,0.6858974358974359,,,0.014778325123152709,3.1511645098118603e-10,203,ROLLING,0.3333333333333333,0.13289286407927878,0.125,825,2023
3,0.6871794871794872,,,0.014778325123152709,3.139501702130117e-10,203,ROLLING,0.3333333333333333,0.1325692082908001,0.125,850,2023
3,0.6884615384615385,,,0.014778325123152709,3.1391096383089333e-10,203,ROLLING,0.3333333333333333,0.13246838628992727,0.125,875,2023
3,0.6809851088201604,,,0.014778325123152709,3.132893280553982e-10,203,ROLLING,0.3333333333333333,0.13241861973350166,0.1111111111111111,900,2023
3,0.6832760595647194,,,0.014778325123152709,3.1282825952628643e-10,203,ROLLING,0.3333333333333333,0.13246167147171806,0.1111111111111111,925,2023
4,0.6832760595647194,,,0.019704433497536946,3.126166178861733e-10,203,ROLLING,0.25,0.13256588190333884,0.1111111111111111,950,2023
4,0.6844215349369989,,,0.019704433497536946,3.1247003404671964e-10,203,ROLLING,0.25,0.1327704587075487,0.1111111111111111,975,2023
5,0.6896373056994819,,,0.024630541871921183,3.123029276360277e-10,203,ROLLING,0.2,0.13291810638485801,0.1,1000,2023
5,0.7192234848484849,,,0.024630541871921183,3.122579012006638e-10,203,ROLLING,0.4,0.1331122204022882,0.18181818181818182,1025,2023
5,0.7192234848484849,,,0.024630541871921183,3.1217435666284606e-10,203,ROLLING,0.4,0.13321759056595858,0.18181818181818182,1050,2023
5,0.7060728744939271,,,0.024630541871921183,3.1192157616611045e-10,203,ROLLING,0.4,0.13326379630241014,0.15384615384615385,1075,2023
5,0.7064777327935222,,,0.024630541871921183,3.117002929499182e-10,203,ROLLING,0.4,0.13334770631055035,0.15384615384615385,1100,2023
5,0.7072874493927126,,,0.024630541871921183,3.1156176114176054e-10,203,ROLLING,0.4,0.13339351994398488,0.15384615384615385,1125,2023
6,0.7076923076923077,,,0.029556650246305417,3.1149601025962766e-10,203,ROLLING,0.3333333333333333,0.13359135593119645,0.15384615384615385,1150,2023
6,0.716931216931217,,,0.029556650246305417,3.1144523259442593e-10,203,ROLLING,0.3333333333333333,0.13370139027870492,0.14285714285714285,1175,2023
7,0.716931216931217,,,0.034482758620689655,3.113450943024585e-10,203,ROLLING,0.2857142857142857,0.13375118085942544,0.14285714285714285,1200,2023
7,0.717687074829932,,,0.034482758620689655,3.110351100245501e-10,203,ROLLING,0.2857142857142857,0.13372300014439467,0.14285714285714285,1221,2023
1,0.6955128205128205,1,2020-03-20,0.0049261083743842365,3.0464750763481476e-10,203,BREAK_CONDITIONED,1.0,0.13107873845068674,0.125,666,2023
25,0.7302777777777778,,,0.12195121951219512,6.013709524729387e-10,205,EXPANDING,0.64,0.16195391073348925,0.35555555555555557,1424,2024
29,0.6768610715979138,,,0.14146341463414633,6.317940356211392e-10,205,ROLLING,0.6551724137931034,0.1705729178350248,0.3333333333333333,250,2024
31,0.6829090909090909,,,0.15121951219512195,6.162808632710355e-10,205,ROLLING,0.6129032258064516,0.16614112697730068,0.34545454545454546,275,2024
32,0.6873939393939394,,,0.15609756097560976,6.136549408407433e-10,205,ROLLING,0.625,0.16530523526272686,0.36363636363636365,300,2024
29,0.685939393939394,,,0.14146341463414633,6.152436244440161e-10,205,ROLLING,0.6551724137931034,0.16494602524293359,0.34545454545454546,325,2024
28,0.7033685268979387,,,0.13658536585365855,6.115367557285723e-10,205,ROLLING,0.6428571428571429,0.1638578863132504,0.34615384615384615,350,2024
29,0.7171637885923601,,,0.14146341463414633,5.949299549333109e-10,205,ROLLING,0.5862068965517241,0.15920061670097363,0.3469387755102041,375,2024
30,0.717948717948718,,,0.14634146341463414,5.928928288257192e-10,205,ROLLING,0.6,0.1578383852976973,0.3673469387755102,400,2024
33,0.728,,,0.16097560975609757,5.947225527892926e-10,205,ROLLING,0.6363636363636364,0.15904355514435164,0.42,425,2024
31,0.7272258064516129,,,0.15121951219512195,5.95077207848556e-10,205,ROLLING,0.6451612903225806,0.15875163196051525,0.4,450,2024
33,0.7309651133180545,,,0.16097560975609757,5.951476425592173e-10,205,ROLLING,0.6060606060606061,0.1589920170261782,0.39215686274509803,475,2024
32,0.7305831423478483,,,0.15609756097560976,5.947806377927205e-10,205,ROLLING,0.625,0.1588971290305764,0.39215686274509803,500,2024
35,0.7239819004524887,,,0.17073170731707318,5.96822204879105e-10,205,ROLLING,0.5714285714285714,0.15918530224700073,0.38461538461538464,525,2024
35,0.7208396178984414,,,0.17073170731707318,5.98387910475946e-10,205,ROLLING,0.5714285714285714,0.15892032348784005,0.38461538461538464,550,2024
35,0.7212166918049271,,,0.17073170731707318,5.988364090484618e-10,205,ROLLING,0.5714285714285714,0.1591165181713192,0.38461538461538464,575,2024
34,0.721342383107089,,,0.16585365853658537,5.979486629321875e-10,205,ROLLING,0.5882352941176471,0.15883712459749755,0.38461538461538464,600,2024
28,0.7252903225806452,,,0.13658536585365855,5.977294143057168e-10,205,ROLLING,0.6071428571428571,0.15894631580768984,0.34,625,2024
26,0.7089220303506018,,,0.12682926829268293,5.967416258894712e-10,205,ROLLING,0.6538461538461539,0.15850704627602982,0.3469387755102041,650,2024
24,0.7330999192028009,,,0.11707317073170732,5.966682595741881e-10,205,ROLLING,0.6666666666666666,0.15814581326979496,0.3404255319148936,675,2024
22,0.7299699207000273,,,0.1073170731707317,5.965560120753065e-10,205,ROLLING,0.6363636363636364,0.15825216072502674,0.30434782608695654,700,2024
20,0.7227777777777777,,,0.0975609756097561,5.953229810147692e-10,205,ROLLING,0.65,0.15778134350515619,0.28888888888888886,725,2024
19,0.7183794466403162,,,0.09268292682926829,5.952826334568052e-10,205,ROLLING,0.631578947368421,0.1575430584261755,0.2727272727272727,750,2024
16,0.7265221878224974,,,0.07804878048780488,5.957766030353158e-10,205,ROLLING,0.5,0.15785125197671976,0.23529411764705882,775,2024
17,0.7306501547987616,,,0.08292682926829269,5.937874368058002e-10,205,ROLLING,0.47058823529411764,0.15689342728629496,0.23529411764705882,800,2024
17,0.7309725158562368,,,0.08292682926829269,5.936627598777746e-10,205,ROLLING,0.47058823529411764,0.1568277434785789,0.24242424242424243,825,2024
13,0.7302677942212826,,,0.06341463414634146,5.937938619653342e-10,205,ROLLING,0.46153846153846156,0.15689007738338354,0.18181818181818182,850,2024
17,0.760659992584353,,,0.08292682926829269,5.979032020388458e-10,205,ROLLING,0.47058823529411764,0.15800629928058058,0.25806451612903225,875,2024
16,0.7532284100080711,,,0.07804878048780488,5.983535395507631e-10,205,ROLLING,0.5,0.1575451190216563,0.2857142857142857,900,2024
14,0.7508071025020178,,,0.06829268292682927,5.998729441315286e-10,205,ROLLING,0.42857142857142855,0.15747530058476517,0.21428571428571427,925,2024
17,0.7599184278828328,,,0.08292682926829269,6.00548014332815e-10,205,ROLLING,0.47058823529411764,0.15825490409483645,0.25806451612903225,950,2024
17,0.7593622543566926,,,0.08292682926829269,6.004599372460542e-10,205,ROLLING,0.47058823529411764,0.15849948858462093,0.25806451612903225,975,2024
17,0.7597330367074527,,,0.08292682926829269,6.00343863240027e-10,205,ROLLING,0.47058823529411764,0.15878159458048482,0.25806451612903225,1000,2024
17,0.7576937337782722,,,0.08292682926829269,6.007644736524264e-10,205,ROLLING,0.47058823529411764,0.15879449379899943,0.25806451612903225,1025,2024
17,0.7597330367074527,,,0.08292682926829269,5.991938841461151e-10,205,ROLLING,0.47058823529411764,0.15828839009400117,0.25806451612903225,1050,2024
17,0.760845383759733,,,0.08292682926829269,5.976548474380039e-10,205,ROLLING,0.47058823529411764,0.15791264578824832,0.25806451612903225,1075,2024
17,0.7601038190582128,,,0.08292682926829269,5.983198992251814e-10,205,ROLLING,0.47058823529411764,0.15842554662351438,0.25806451612903225,1100,2024
17,0.7599184278828328,,,0.08292682926829269,5.986717011536587e-10,205,ROLLING,0.47058823529411764,0.15875289054703434,0.25806451612903225,1125,2024
17,0.7574060693641619,,,0.08292682926829269,5.991650558155853e-10,205,ROLLING,0.47058823529411764,0.15910354757855327,0.25,1150,2024
18,0.7415433403805497,,,0.08780487804878048,5.999476803273918e-10,205,ROLLING,0.5,0.15971499075097298,0.2727272727272727,1175,2024
18,0.7408386187455955,,,0.08780487804878048,6.003600675608856e-10,205,ROLLING,0.5,0.16006548527935002,0.2727272727272727,1200,2024
19,0.7403100775193798,,,0.09268292682926829,6.008955383880614e-10,205,ROLLING,0.5263157894736842,0.16050229968137336,0.30303030303030304,1225,2024
19,0.7389060887512899,,,0.09268292682926829,6.010073589870819e-10,205,ROLLING,0.5263157894736842,0.16063306624185006,0.29411764705882354,1250,2024
22,0.738734090127279,,,0.1073170731707317,6.009656423881852e-10,205,ROLLING,0.5454545454545454,0.16082581991702133,0.35294117647058826,1275,2024
23,0.7430252100840337,,,0.11219512195121951,6.011511411038882e-10,205,ROLLING,0.5652173913043478,0.1610225455893399,0.37142857142857144,1300,2024
23,0.7194337194337195,,,0.11219512195121951,6.014565115940477e-10,205,ROLLING,0.5652173913043478,0.16132288380274018,0.35135135135135137,1325,2024
24,0.7358665430954587,,,0.11707317073170732,6.015194703168508e-10,205,ROLLING,0.625,0.16156843327235954,0.38461538461538464,1350,2024
25,0.7424242424242424,,,0.12195121951219512,6.016441915234559e-10,205,ROLLING,0.6,0.16175151897331366,0.375,1375,2024
25,0.7252964426877471,,,0.12195121951219512,6.017209858263966e-10,205,ROLLING,0.64,0.16189340762969456,0.36363636363636365,1400,2024
25,0.7302777777777778,,,0.12195121951219512,6.013709524729387e-10,205,ROLLING,0.64,0.16195391073348925,0.35555555555555557,1424,2024
10,0.7517612161661105,1,2020-03-20,0.04878048780487805,5.944268222462805e-10,205,BREAK_CONDITIONED,0.5,0.15649616614913545,0.16129032258064516,869,2024
