policy,window,n,calls,tp,fp,actual_up,actual_down,precision,false_up_fpr,actual_up_recall,coverage,wilson90_lcb_precision,selected_counts,year
FROZEN_YEAR_RESET,YEAR_RESET,205,22,12,10,107,98,0.5454545454545454,0.10204081632653061,0.11214953271028037,0.1073170731707317,0.411021293948683,"{""TTSM_S1"": 7, ""TTSM_S2"": 15}",2022
FROZEN_YEAR_RESET,YEAR_RESET,203,19,5,14,101,102,0.2631578947368421,0.13725490196078433,0.04950495049504951,0.09359605911330049,0.15637192644964787,"{""TTSM_S2"": 19}",2023
FROZEN_YEAR_RESET,YEAR_RESET,205,42,26,16,119,86,0.6190476190476191,0.18604651162790697,0.2184873949579832,0.2048780487804878,0.520254930914069,"{""AR1_RM_LOGIT"": 1, ""RM_LOGIT"": 37, ""TTSM_S2"": 4}",2024
FROZEN_YEAR_RESET,YEAR_RESET,613,83,43,40,327,286,0.5180722891566265,0.13986013986013987,0.13149847094801223,0.13539967373572595,0.44811768239519817,"{""AR1_RM_LOGIT"": 1, ""RM_LOGIT"": 37, ""TTSM_S1"": 7, ""TTSM_S2"": 38}",POOLED_2022_2024
EXPANDING,EXPANDING,205,32,20,12,107,98,0.625,0.12244897959183673,0.18691588785046728,0.15609756097560976,0.5117570946533401,"{""TTSM_S1"": 10, ""TTSM_S2"": 22}",2022
EXPANDING,EXPANDING,203,26,8,18,101,102,0.3076923076923077,0.17647058823529413,0.07920792079207921,0.12807881773399016,0.20603856487950467,"{""TTSM_S2"": 26}",2023
EXPANDING,EXPANDING,205,10,5,5,119,86,0.5,0.05813953488372093,0.04201680672268908,0.04878048780487805,0.3122044448805158,"{""TTSM_S2"": 10}",2024
EXPANDING,EXPANDING,613,68,33,35,327,286,0.4852941176470588,0.12237762237762238,0.10091743119266056,0.11092985318107668,0.4088896131156794,"{""TTSM_S1"": 10, ""TTSM_S2"": 58}",POOLED_2022_2024
ROLLING_30,30,205,0,0,0,107,98,,0.0,0.0,0.0,,{},2022
ROLLING_30,30,203,0,0,0,101,102,,0.0,0.0,0.0,,{},2023
