policy,window,status,year,train_n,train_available,test_n,mse,qlike,oos_r2_vs_train_mean,high_risk_auc,alert_count,alert_coverage,alert_precision,alert_recall,tp,fp,fn,tn,q80,beta,n,pooled_mse,pooled_qlike,mean_annual_auc,total_alerts,mean_alert_precision,mean_alert_recall
GOVERNED_FROZEN_EXPANDING,EXPANDING,OK,2022,323,323,205,1.15727038016353e-09,0.15650420397666456,0.2639715541162355,0.7152941176470587,11,0.05365853658536585,0.8181818181818182,0.2571428571428571,9,2,26,168,6.32933221220843e-05,"[0.0013184021006418915, 0.2623233235520949, 0.3666309593186807, 0.16460159392547238]",,,,,,,
GOVERNED_FROZEN_EXPANDING,EXPANDING,OK,2023,528,528,203,3.0778922004177114e-10,0.13189432302404586,0.569817813453098,0.6895761741122566,2,0.009852216748768473,0.5,0.1111111111111111,1,1,8,193,6.185718147697382e-05,"[0.0016102059092659197, 0.2620635591934845, 0.4205540318437119, 0.0657212317412855]",,,,,,,
GOVERNED_FROZEN_EXPANDING,EXPANDING,OK,2024,731,731,205,5.938745031340267e-10,0.15692961974595568,0.2024606162882534,0.732029598308668,17,0.08292682926829269,0.47058823529411764,0.24242424242424243,8,9,25,163,5.513863621481717e-05,"[0.001190898459066848, 0.2482254943891723, 0.417539460385295, 0.1359958689078763]",,,,,,,
GOVERNED_FROZEN_EXPANDING,EXPANDING,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,6.875463503172572e-10,0.1484967070750709,0.7122999633559944,30,0.5962566844919787,0.20355940355940358
EXTENDED_EXPANDING,EXPANDING,OK,2022,1016,1016,205,1.1364168605602759e-09,0.1660906806960673,0.26469518032016803,0.7368704551575544,27,0.13170731707317074,0.5555555555555556,0.3191489361702128,15,12,32,146,5.265185971105694e-05,"[0.0006121430559527779, 0.31048363424319914, 0.49486306481231346, 0.08607448894135325]",,,,,,,
EXTENDED_EXPANDING,EXPANDING,OK,2023,1221,1221,203,3.110351100245501e-10,0.13372300014439467,0.41381902868236686,0.717687074829932,7,0.034482758620689655,0.2857142857142857,0.14285714285714285,2,5,12,184,5.346990046252427e-05,"[0.0006944061181325262, 0.3046180383808339, 0.49578173671505454, 0.07917727566651603]",,,,,,,
EXTENDED_EXPANDING,EXPANDING,OK,2024,1424,1424,205,6.013709524729387e-10,0.16195391073348925,0.17137560426587406,0.7302777777777778,25,0.12195121951219512,0.64,0.35555555555555557,16,9,29,151,4.961497290440339e-05,"[0.0006887835283373194, 0.2935704061479686, 0.49411624413635724, 0.09080738204563774]",,,,,,,
EXTENDED_EXPANDING,EXPANDING,OK,POOLED_2022_2024,,,,,,,,,,,,,,,,,,613,6.84154370321032e-10,0.15398843437580947,0.7282784359217548,59,0.4937566137566138,0.2725205448609704
EXTENDED_ROLLING_250,250,OK,2022,250,1016,205,1.243894514754799e-09,0.16934475975915245,0.22155331998214634,0.708291956305859,28,0.13658536585365855,0.6071428571428571,0.32075471698113206,17,11,36,141,4.742970841384189e-05,"[0.001289695700048294, 0.2318143630871896, 0.24248348732041092, 0.28880392884593004]",,,,,,,
EXTENDED_ROLLING_250,250,OK,2023,250,1221,203,3.0987885260027427e-10,0.13356957903208858,0.4040726268638698,0.7004048582995952,5,0.024630541871921183,0.4,0.15384615384615385,2,3,11,187,5.513863621481717e-05,"[0.0019891392361948436, 0.26295723353621325, 0.48281472001932557, -0.07561182489338483]",,,,,,,
