alerts,auc,break_count,break_date,coverage,mse,n,policy,precision,qlike,recall,window,year
11,0.7152941176470589,,,0.05365853658536585,1.15727038016353e-09,205,EXPANDING,0.8181818181818182,0.15650420397666456,0.2571428571428571,323,2022
13,0.722176647525294,,,0.06341463414634146,1.2604452410525437e-09,205,ROLLING,0.6923076923076923,0.16465915482347684,0.1956521739130435,250,2022
12,0.7159763313609467,,,0.05853658536585366,1.2038508315403978e-09,205,ROLLING,0.75,0.16142004286593828,0.25,275,2022
11,0.693446088794926,,,0.05365853658536585,1.1573716729138799e-09,205,ROLLING,0.7272727272727273,0.1568100930433099,0.24242424242424243,300,2022
11,0.7152941176470589,,,0.05365853658536585,1.15727038016353e-09,205,ROLLING,0.8181818181818182,0.15650420397666456,0.2571428571428571,323,2022
11,0.7152941176470589,0,,0.05365853658536585,1.15727038016353e-09,205,BREAK_CONDITIONED,0.8181818181818182,0.15650420397666456,0.2571428571428571,323,2022
2,0.6895761741122566,,,0.009852216748768473,3.0778922004177114e-10,203,EXPANDING,0.5,0.13189432302404586,0.1111111111111111,528,2023
7,0.7093726379440665,,,0.034482758620689655,3.1035019341148195e-10,203,ROLLING,0.2857142857142857,0.13405519521263573,0.14285714285714285,250,2023
8,0.7507906388361796,,,0.03940886699507389,3.086380288415279e-10,203,ROLLING,0.375,0.1332497581490823,0.17647058823529413,275,2023
9,0.7219679633867276,,,0.04433497536945813,3.078514349310462e-10,203,ROLLING,0.4444444444444444,0.13276979850621687,0.21052631578947367,300,2023
9,0.7196796338672768,,,0.04433497536945813,3.071979454633588e-10,203,ROLLING,0.4444444444444444,0.13295624929848557,0.21052631578947367,325,2023
9,0.7115942028985507,,,0.04433497536945813,3.065754852410991e-10,203,ROLLING,0.5555555555555556,0.13283969876757437,0.21739130434782608,350,2023
9,0.7333333333333333,,,0.04433497536945813,3.071436384202781e-10,203,ROLLING,0.4444444444444444,0.13266454074392098,0.2222222222222222,375,2023
5,0.7146636432350718,,,0.024630541871921183,3.0612539490714806e-10,203,ROLLING,0.4,0.13191076230644555,0.14285714285714285,400,2023
4,0.708502024291498,,,0.019704433497536946,3.050902299135454e-10,203,ROLLING,0.25,0.13155128704523644,0.07692307692307693,425,2023
3,0.7129554655870445,,,0.014778325123152709,3.0466403657559253e-10,203,ROLLING,0.3333333333333333,0.13191467031775436,0.07692307692307693,450,2023
2,0.7277462121212122,,,0.009852216748768473,3.0298814459608855e-10,203,ROLLING,0.5,0.13117067786222067,0.09090909090909091,475,2023
2,0.6849942726231386,,,0.009852216748768473,3.0814295153485187e-10,203,ROLLING,0.5,0.1318843324292949,0.1111111111111111,500,2023
2,0.6861397479954181,,,0.009852216748768473,3.078220391677516e-10,203,ROLLING,0.5,0.13180808709294262,0.1111111111111111,525,2023
2,0.6895761741122566,,,0.009852216748768473,3.0778922004177114e-10,203,ROLLING,0.5,0.13189432302404586,0.1111111111111111,528,2023
2,0.6895761741122566,0,,0.009852216748768473,3.0778922004177114e-10,203,BREAK_CONDITIONED,0.5,0.13189432302404586,0.1111111111111111,528,2023
17,0.7320295983086681,,,0.08292682926829269,5.938745031340267e-10,205,EXPANDING,0.47058823529411764,0.15692961974595568,0.24242424242424243,731,2024
29,0.6768610715979138,,,0.14146341463414633,6.317940356211392e-10,205,ROLLING,0.6551724137931034,0.1705729178350248,0.3333333333333333,250,2024
31,0.6829090909090909,,,0.15121951219512195,6.162808632710355e-10,205,ROLLING,0.6129032258064516,0.16614112697730068,0.34545454545454546,275,2024
32,0.6873939393939394,,,0.15609756097560976,6.136549408407433e-10,205,ROLLING,0.625,0.16530523526272686,0.36363636363636365,300,2024
29,0.685939393939394,,,0.14146341463414633,6.152436244440161e-10,205,ROLLING,0.6551724137931034,0.16494602524293359,0.34545454545454546,325,2024
28,0.7033685268979387,,,0.13658536585365855,6.115367557285723e-10,205,ROLLING,0.6428571428571429,0.1638578863132504,0.34615384615384615,350,2024
29,0.7171637885923601,,,0.14146341463414633,5.949299549333109e-10,205,ROLLING,0.5862068965517241,0.15920061670097363,0.3469387755102041,375,2024
30,0.7178178963893249,,,0.14634146341463414,5.929317550928599e-10,205,ROLLING,0.6,0.15784985753816647,0.3673469387755102,400,2024
32,0.7272258064516129,,,0.15609756097560976,5.954233862885298e-10,205,ROLLING,0.625,0.15917146577504873,0.4,425,2024
32,0.7272258064516129,,,0.15609756097560976,5.943240763519771e-10,205,ROLLING,0.625,0.15868282819347126,0.4,450,2024
31,0.7270967741935483,,,0.15121951219512195,5.942560313705112e-10,205,ROLLING,0.6451612903225806,0.15845546562902169,0.4,475,2024
32,0.7310924369747899,,,0.15609756097560976,5.957212583509398e-10,205,ROLLING,0.625,0.15896938628200874,0.39215686274509803,500,2024
34,0.726890756302521,,,0.16585365853658537,5.96848026811187e-10,205,ROLLING,0.5882352941176471,0.1587092055597505,0.39215686274509803,525,2024
33,0.7267634326457856,,,0.16097560975609757,5.966517598000042e-10,205,ROLLING,0.6060606060606061,0.158568793561776,0.39215686274509803,550,2024
