policy,window,status,year,n,actual_up,actual_down,up2_calls,true_up,false_up,missed_up,true_down_abstain,up_precision,missed_up_recall,false_up_fpr,coverage,wilson90_lcb_up_precision,auc,brier,tau,train_n,train_up,train_down,calibration,standardized_coefficients,intercept,pre2025_supportive,calibration_n,down_calibration_n
EXPANDING_FROZEN,EXPANDING,OK,2022,11,5,6,7,4,3,1,3,0.5714285714285714,0.8,0.5,0.6363636363636364,0.34169705362090663,0.7,0.23966590690131165,0.5,98,46,52,"{""calibration_n"": 58, ""down_calibration_n"": 30, ""q80_down_prequential"": 0.45285787442722886, ""status"": ""OK"", ""tau"": 0.5}","{""close_location"": 0.024200165202778453, ""direct_up_fraction"": -0.057260604688039014, ""downside_share"": 0.27782752389272775, ""intraday_end_norm"": -0.18405777598016282, ""lag1_close_return"": 0.26944984207663186, ""last_quarter_return_norm"": -0.043359467959838034, ""legacy_up_fraction"": 0.1833172463256985, ""sqrt_score"": 0.13517050193588667, ""trough_recovery_norm"": -0.05068331287164932}",-0.12787599949006098,,,
EXPANDING_FROZEN,EXPANDING,OK,2023,2,1,1,1,1,0,0,1,1.0,1.0,0.0,0.5,0.3784475032253529,1.0,0.22699237344233214,0.5346094892293329,109,51,58,"{""calibration_n"": 69, ""down_calibration_n"": 36, ""q80_down_prequential"": 0.5346094892293329, ""status"": ""OK"", ""tau"": 0.5346094892293329}","{""close_location"": 0.050061304686220255, ""direct_up_fraction"": 0.0035244634427649513, ""downside_share"": 0.18448522187044816, ""intraday_end_norm"": -0.26450105490874853, ""lag1_close_return"": 0.2534872257465363, ""last_quarter_return_norm"": -0.04332679554908698, ""legacy_up_fraction"": 0.20711524988657892, ""sqrt_score"": 0.1619486125844823, ""trough_recovery_norm"": -0.09878515601119521}",-0.1362277193665472,,,
EXPANDING_FROZEN,EXPANDING,OK,2024,13,7,6,3,3,0,4,6,1.0,0.42857142857142855,0.0,0.23076923076923078,0.6462210351258765,0.8571428571428571,0.21659914742498035,0.5346094892293329,111,52,59,"{""calibration_n"": 71, ""down_calibration_n"": 37, ""q80_down_prequential"": 0.5346094892293329, ""status"": ""OK"", ""tau"": 0.5346094892293329}","{""close_location"": 0.07149150514677322, ""direct_up_fraction"": -0.02955919901616594, ""downside_share"": 0.19053844582306245, ""intraday_end_norm"": -0.278641429673573, ""lag1_close_return"": 0.18703803292688992, ""last_quarter_return_norm"": -0.04787510357938681, ""legacy_up_fraction"": 0.22219143676200115, ""sqrt_score"": 0.1480629803827047, ""trough_recovery_norm"": -0.07398837724177622}",-0.13422542745831378,,,
EXPANDING_FROZEN,EXPANDING,OK,POOLED_2022_2024,26,13,13,11,8,3,5,10,0.7272727272727273,0.6153846153846154,0.23076923076923078,0.4230769230769231,0.5345329033149758,0.78698224852071,0.22715763997399374,,,,,,,,True,,
ROLLING_60,60,BLOCKED_CALIBRATION_SUPPORT,2022,,,,,,,,,,,,,,,,,60,,,,,,,20,11
ROLLING_60,60,BLOCKED_CALIBRATION_SUPPORT,2023,,,,,,,,,,,,,,,,,60,,,,,,,20,10
ROLLING_60,60,BLOCKED_CALIBRATION_SUPPORT,2024,,,,,,,,,,,,,,,,,60,,,,,,,20,10
ROLLING_60,60,BLOCKED_OR_INCOMPLETE,POOLED_2022_2024,,,,,,,,,,,,,,,,,,,,,,,,,
ROLLING_65,65,BLOCKED_CALIBRATION_SUPPORT,2022,,,,,,,,,,,,,,,,,65,,,,,,,25,14
ROLLING_65,65,BLOCKED_CALIBRATION_SUPPORT,2023,,,,,,,,,,,,,,,,,65,,,,,,,25,14
