target_week_end,rolling_window,predicted_delta_gold,actual_delta_gold,forecast_direction,actual_direction,previous_direction,selected_seed,training_mse_scaled,train_start_week_end,train_end_week_end
2025-01-03,75,-19.7888179555993,17.590090000000146,DOWN,UP,DOWN,11,5.733368236630033e-11,2023-07-28,2024-12-27
2025-01-10,75,78.72993297468005,50.66991999999982,UP,UP,UP,101,3.147936114353274e-11,2023-08-04,2025-01-03
2025-01-17,75,-140.82367429782062,12.700200000000223,DOWN,UP,UP,29,1.860665138931171e-11,2023-08-11,2025-01-10
2025-01-24,75,31.230827960769716,68.38988999999992,UP,UP,UP,11,1.0294640200372909e-11,2023-08-18,2025-01-17
2025-01-31,75,16.570081932032053,27.27001999999993,UP,UP,UP,101,5.788834716059263e-12,2023-08-25,2025-01-24
2025-02-07,75,-54.487604969719214,62.35010000000011,DOWN,UP,UP,101,3.040629800564e-11,2023-09-01,2025-01-31
2025-02-14,75,-9.24663696203173,21.66991999999982,DOWN,UP,UP,47,5.170777935732327e-12,2023-09-08,2025-02-07
2025-02-21,75,61.71500835909069,53.540038000000095,UP,UP,UP,71,1.0164654066357237e-11,2023-09-15,2025-02-14
2025-02-28,75,-28.587191794505586,-78.63012799999979,DOWN,DOWN,UP,11,8.904893604893465e-12,2023-09-22,2025-02-21
2025-03-07,75,-35.41713088947158,51.989990000000034,DOWN,UP,DOWN,11,1.7380643521723823e-11,2023-09-29,2025-02-28
2025-03-14,75,-25.72382345422696,75.60009899999977,DOWN,UP,UP,71,3.354091553747339e-11,2023-10-06,2025-03-07
2025-03-21,75,4.634654563927526,38.81006100000013,UP,UP,UP,71,2.5032629723755098e-11,2023-10-13,2025-03-14
2025-03-28,75,149.3820138374004,61.429929999999786,UP,UP,UP,71,4.401723824913075e-12,2023-10-20,2025-03-21
2025-04-04,75,-60.2952996891249,-47.10010000000011,DOWN,DOWN,UP,71,3.024218228420274e-12,2023-10-27,2025-03-28
2025-04-11,75,-51.53242159740273,200.01001000000042,DOWN,UP,DOWN,29,1.5324736673849214e-11,2023-11-03,2025-04-04
2025-04-18,75,6.36916227070877,88.00005999999985,UP,UP,UP,71,1.3913350190183284e-11,2023-11-10,2025-04-11
2025-04-25,75,190.11753102789118,-9.889999999999873,UP,DOWN,UP,11,4.9776737371146995e-11,2023-11-17,2025-04-18
2025-05-02,75,-74.68592145774994,-61.40000000000009,DOWN,DOWN,DOWN,29,1.594670895146129e-11,2023-11-24,2025-04-25
2025-05-09,75,-108.73909806306362,68.73999999999978,DOWN,UP,DOWN,29,3.23095328429041e-11,2023-12-01,2025-05-02
2025-05-16,75,41.58356501231145,-113.94000000000005,UP,DOWN,UP,11,3.891698487847754e-11,2023-12-08,2025-05-09
2025-05-23,75,-47.004074497014514,146.20000000000027,DOWN,UP,DOWN,29,2.8690968343914217e-11,2023-12-15,2025-05-16
2025-05-30,75,-6.429257716516247,-67.38000000000011,DOWN,DOWN,UP,11,5.491521613732801e-11,2023-12-22,2025-05-23
2025-06-06,75,164.82116363552325,21.579999999999927,UP,UP,DOWN,71,2.2101316276652902e-11,2023-12-29,2025-05-30
2025-06-13,75,174.60880706419954,122.09000000000015,UP,UP,UP,11,4.835201822671068e-12,2024-01-05,2025-06-06
2025-06-20,75,-27.271537915412708,-63.429999999999836,DOWN,DOWN,UP,11,3.9049664473600085e-11,2024-01-12,2025-06-13
2025-06-27,75,17.657547404547188,-90.76000000000022,UP,DOWN,DOWN,71,5.788346978252861e-11,2024-01-19,2025-06-20
2025-07-04,75,8.69251930931702,45.90000000000009,UP,UP,DOWN,11,1.1514092163869674e-11,2024-01-26,2025-06-27
2025-07-11,75,28.09984700586938,26.0,UP,UP,UP,29,5.08157246784316e-12,2024-02-02,2025-07-04
2025-07-18,75,28.526201116030222,-2.0,UP,DOWN,UP,11,4.825713927719593e-12,2024-02-09,2025-07-11
2025-07-25,75,16.766354821392355,-0.7300000000000182,UP,DOWN,DOWN,29,2.3032530406296997e-11,2024-02-16,2025-07-18
2025-08-01,75,65.21554872087464,14.7199999999998,UP,UP,DOWN,101,2.8350980368227425e-11,2024-02-23,2025-07-25
2025-08-08,75,76.8072070766294,25.320000000000164,UP,UP,UP,29,9.55404804575341e-12,2024-03-01,2025-08-01
2025-08-15,75,77.41813744815761,-57.84999999999991,UP,DOWN,UP,11,3.355759193928571e-11,2024-03-08,2025-08-08
2025-08-22,75,72.70871018473915,34.059999999999945,UP,UP,DOWN,71,2.638363222204502e-11,2024-03-15,2025-08-15
2025-08-29,75,-2.1440107030891795,92.17000000000007,DOWN,UP,UP,47,1.6056840418634213e-11,2024-03-22,2025-08-22
2025-09-05,75,80.15289672874465,134.42000000000007,UP,UP,UP,71,9.233517237444325e-12,2024-03-29,2025-08-29
2025-09-12,75,151.87887229433244,52.06999999999971,UP,UP,UP,11,3.94321431980966e-11,2024-04-05,2025-09-05
2025-09-19,75,64.15407036107945,46.840000000000146,UP,UP,UP,101,3.028276153684169e-11,2024-04-12,2025-09-12
2025-09-26,75,-87.26783252683688,82.57999999999993,DOWN,UP,UP,47,3.4139902187845175e-11,2024-04-19,2025-09-19
2025-10-03,75,-36.42866502171117,113.76000000000022,DOWN,UP,UP,11,7.724587713411157e-12,2024-04-26,2025-09-26
2025-10-10,75,35.0912360003731,136.5899999999997,UP,UP,UP,47,3.3106114186931446e-11,2024-05-03,2025-10-03
2025-10-17,75,71.3635677144766,240.6600000000003,UP,UP,UP,101,1.1308836143891689e-11,2024-05-10,2025-10-10
2025-10-24,75,264.37446349742726,-156.21000000000004,UP,DOWN,UP,11,3.729262799489811e-11,2024-05-17,2025-10-17
2025-10-31,75,122.9845133664727,-110.07000000000016,UP,DOWN,DOWN,47,7.812141975465336e-12,2024-05-24,2025-10-24
2025-11-07,75,-106.51488926601317,1.7199999999998,DOWN,UP,DOWN,101,4.7456751678664025e-11,2024-05-31,2025-10-31
2025-11-14,75,-3.2234558420459223,83.05425000000014,DOWN,UP,UP,29,3.729973664108744e-12,2024-06-07,2025-11-07
2025-11-21,75,-74.81194865551761,-15.105709999999817,DOWN,DOWN,UP,101,1.0612984601399535e-11,2024-06-14,2025-11-14
2025-11-28,75,-159.12465840865536,150.4303399999999,DOWN,UP,DOWN,29,2.745180556849908e-11,2024-06-21,2025-11-21
2025-12-05,75,-6.5589753184565325,-18.899639999999636,DOWN,DOWN,UP,11,3.583005861061411e-11,2024-06-28,2025-11-28
2025-12-12,75,-85.02541616236047,104.34659999999985,DOWN,UP,DOWN,71,6.093222581373775e-13,2024-07-05,2025-12-05
2025-12-19,75,-44.94665984702672,36.72894999999971,DOWN,UP,UP,29,1.719511962237913e-11,2024-07-12,2025-12-12
2025-12-26,75,174.68010486248204,193.98833999999988,UP,UP,UP,29,3.755206996694603e-11,2024-07-19,2025-12-19
