target_week_end,rolling_window,predicted_delta_gold,actual_delta_gold,forecast_direction,actual_direction,previous_direction,selected_seed,training_mse_scaled,train_start_week_end,train_end_week_end
2024-03-08,75,26.495770591048554,96.17992999999979,UP,UP,UP,29,3.225461228386536e-11,2022-09-30,2024-03-01
2024-03-15,75,50.16897972124953,-23.25,UP,DOWN,UP,101,1.4386876586248188e-11,2022-10-07,2024-03-08
2024-03-22,75,17.971415811864787,9.25,UP,UP,DOWN,47,1.2516787917703485e-11,2022-10-14,2024-03-15
2024-03-29,75,47.69439615776122,67.94019000000026,UP,UP,UP,47,5.1072117354673564e-11,2022-10-21,2024-03-22
2024-04-05,75,-42.0832045610005,96.72998000000007,DOWN,UP,UP,101,4.4139693087440364e-11,2022-10-28,2024-03-29
2024-04-12,75,-40.9973219126715,14.41991999999982,DOWN,UP,UP,71,2.5410277611387235e-11,2022-11-04,2024-04-05
2024-04-19,75,-13.579940732472409,48.13988999999992,DOWN,UP,UP,71,3.215017724539611e-11,2022-11-11,2024-04-12
2024-04-26,75,66.17263339087594,-54.26976999999988,UP,DOWN,UP,71,1.0664564802153221e-12,2022-11-18,2024-04-19
2024-05-03,75,9.64888225608125,-36.23023000000012,UP,DOWN,DOWN,101,2.7374962419016543e-11,2022-11-25,2024-04-26
2024-05-10,75,-46.421822618728804,58.56006000000025,DOWN,UP,DOWN,101,4.919579779837054e-12,2022-12-02,2024-05-03
2024-05-17,75,53.36431877116516,54.25,UP,UP,UP,29,9.014970625191949e-12,2022-12-09,2024-05-10
2024-05-24,75,55.07960301789228,-80.67993000000024,UP,DOWN,UP,71,2.9497782150165215e-12,2022-12-16,2024-05-17
2024-05-31,75,29.746013455256616,-6.630130000000008,UP,DOWN,DOWN,11,1.3921526537118983e-11,2022-12-23,2024-05-24
2024-06-07,75,-75.25558870784745,-33.37987999999996,DOWN,DOWN,DOWN,29,7.501888347169444e-12,2022-12-30,2024-05-31
2024-06-14,75,12.536590404172884,38.7800299999999,UP,UP,DOWN,11,2.1323479110111578e-11,2023-01-06,2024-06-07
2024-06-21,75,71.38772584164951,-11.280029999999897,UP,DOWN,UP,71,3.761400954438904e-12,2023-01-13,2024-06-14
2024-06-28,75,3.1666796945293214,5.17993000000024,UP,UP,DOWN,29,4.75393769725064e-12,2023-01-20,2024-06-21
2024-07-05,75,97.89055333668557,64.93017999999984,UP,UP,UP,47,8.47562043437928e-12,2023-01-27,2024-06-28
2024-07-12,75,57.06390229019368,19.489990000000034,UP,UP,UP,11,6.245415016095896e-12,2023-02-03,2024-07-05
2024-07-19,75,-42.31931725519254,-10.33008000000018,DOWN,DOWN,UP,29,9.646593277502175e-12,2023-02-10,2024-07-12
2024-07-26,75,80.15252145658866,-13.709961999999905,UP,DOWN,DOWN,71,1.2704895657912515e-11,2023-02-17,2024-07-19
2024-08-02,75,20.761619827320658,55.609861999999794,UP,UP,DOWN,11,2.767057544708462e-11,2023-02-24,2024-07-26
2024-08-09,75,-44.88074669509971,-11.540039999999863,DOWN,DOWN,UP,101,3.2460337133045227e-11,2023-03-03,2024-08-02
2024-08-16,75,-56.797583422305536,76.56006000000025,DOWN,UP,DOWN,101,7.398199312832912e-12,2023-03-10,2024-08-09
2024-08-23,75,15.54334455082116,4.709959999999683,UP,UP,UP,101,1.1225500163326157e-12,2023-03-17,2024-08-16
2024-08-30,75,27.375211214189648,-8.959959999999683,UP,DOWN,UP,101,2.6614427614015918e-12,2023-03-24,2024-08-23
2024-09-06,75,-11.331438920371909,-6.0,DOWN,DOWN,DOWN,71,2.0675600069859693e-12,2023-03-31,2024-08-30
2024-09-13,75,-79.94852435252956,81.5600599999998,DOWN,UP,DOWN,47,5.208916201822118e-11,2023-04-07,2024-09-06
2024-09-20,75,65.46742505737575,43.260009999999966,UP,UP,UP,47,2.161402579157515e-12,2023-04-14,2024-09-13
2024-09-27,75,3.510614298829111,36.05005000000028,UP,UP,UP,29,8.125260744879322e-12,2023-04-21,2024-09-20
2024-10-04,75,-32.62592890064077,-4.800050000000283,DOWN,DOWN,UP,71,2.5196262139125635e-11,2023-04-28,2024-09-27
2024-10-11,75,90.81278430119303,3.7399900000000343,UP,UP,DOWN,71,4.1764931962582753e-11,2023-05-05,2024-10-04
2024-10-18,75,-61.94998732203807,64.41991999999982,DOWN,UP,UP,29,2.8832765136005355e-11,2023-05-12,2024-10-11
2024-10-25,75,20.68237547968087,25.94995000000017,UP,UP,UP,29,1.1522387043672392e-11,2023-05-19,2024-10-18
2024-11-01,75,92.72019214251972,-11.229980000000069,UP,DOWN,UP,71,4.4283275257790494e-11,2023-05-26,2024-10-25
2024-11-08,75,80.74433893005684,-52.19994999999972,UP,DOWN,DOWN,71,1.936799608797582e-12,2023-06-02,2024-11-01
2024-11-15,75,44.026561171689096,-121.12988200000018,UP,DOWN,DOWN,71,8.502417129310356e-12,2023-06-09,2024-11-08
2024-11-22,75,-16.81144113293665,153.01000999999997,DOWN,UP,DOWN,29,3.4997718527892647e-11,2023-06-16,2024-11-15
2024-11-29,75,69.7352482739019,-80.05004899999994,UP,DOWN,UP,71,1.3123699168629948e-11,2023-06-23,2024-11-22
2024-12-06,75,-20.09603218885279,-2.8300789999998415,DOWN,DOWN,DOWN,11,3.64051271048612e-11,2023-06-30,2024-11-29
2024-12-13,75,-59.1548560364898,15.310059999999794,DOWN,UP,DOWN,101,7.573104030107925e-12,2023-07-07,2024-12-06
2024-12-20,75,114.6398345817073,-25.219970000000103,UP,DOWN,UP,11,2.034079729524025e-12,2023-07-14,2024-12-13
2024-12-27,75,1.691080399830014,-1.390139999999974,UP,DOWN,DOWN,101,2.2217564041111204e-11,2023-07-21,2024-12-20
