target_week_end,rolling_window,predicted_delta_gold,actual_delta_gold,forecast_direction,actual_direction,previous_direction,training_mse_scaled,training_epochs,train_start_week_end,train_end_week_end
2023-01-06,100,-2.647717302731124,22.15000000000009,DOWN,UP,UP,0.013709437511503879,1500,2021-02-05,2022-12-30
2023-01-13,100,4.926989817809428,69.54999999999995,UP,UP,UP,0.013605132310851501,1500,2021-02-12,2023-01-06
2023-01-20,100,4.373332532217816,24.700000000000045,UP,UP,UP,0.014102605514822836,1500,2021-02-19,2023-01-13
2023-01-27,100,-3.6459844057751525,-0.5,DOWN,DOWN,UP,0.013841507818337935,1500,2021-02-26,2023-01-20
2023-02-03,100,-0.20731432750612555,-18.25,DOWN,DOWN,DOWN,0.013813733912486253,1500,2021-03-05,2023-01-27
2023-02-10,100,-6.229343274503677,-45.90000000000009,DOWN,DOWN,DOWN,0.012988130750333086,1500,2021-03-12,2023-02-03
2023-02-17,100,1.3182415080330259,-39.59999999999991,UP,DOWN,DOWN,0.013117261656391916,1500,2021-03-19,2023-02-10
2023-02-24,100,6.063890802119914,-0.40000000000009095,UP,DOWN,DOWN,0.013231056608405989,1500,2021-03-26,2023-02-17
2023-03-03,100,4.031076098933468,21.450000000000045,UP,UP,DOWN,0.013180985965479054,1500,2021-04-02,2023-02-24
2023-03-10,100,6.243152392311572,-10.599999999999909,UP,DOWN,UP,0.013067937821684791,1500,2021-04-09,2023-03-03
2023-03-17,100,-8.629954143383799,95.95000000000005,DOWN,UP,DOWN,0.012979351792272848,1500,2021-04-16,2023-03-10
2023-03-24,100,0.497707394401246,65.25,UP,UP,UP,0.014381093996651197,1500,2021-04-23,2023-03-17
2023-03-31,100,-2.303078407344657,-17.350000000000136,DOWN,DOWN,UP,0.014893658778016128,1500,2021-04-30,2023-03-24
2023-04-07,100,3.5639942956675554,38.450000000000045,UP,UP,DOWN,0.014800299641765755,1500,2021-05-07,2023-03-31
2023-04-14,100,-5.713974018722524,18.40000000000009,DOWN,UP,UP,0.014394948352422164,1500,2021-05-14,2023-04-07
2023-04-21,100,0.8971500095644274,-49.55000000000018,UP,DOWN,UP,0.014495963562435894,1500,2021-05-21,2023-04-14
2023-04-28,100,0.9485110776554251,-3.3999999999998636,UP,DOWN,DOWN,0.01448278023390234,1500,2021-05-28,2023-04-21
2023-05-05,100,0.531715292771068,56.200000000000045,UP,UP,DOWN,0.014500373341355555,1500,2021-06-04,2023-04-28
2023-05-12,100,1.6629224422142812,-32.25,UP,DOWN,UP,0.014935196195295328,1500,2021-06-11,2023-05-05
2023-05-19,100,3.8594921489462735,-41.100000000000136,UP,DOWN,DOWN,0.014995498299841568,1500,2021-06-18,2023-05-12
2023-05-26,100,-1.3806440474327388,-12.049999999999955,DOWN,DOWN,DOWN,0.020331461203057274,1500,2021-06-25,2023-05-19
2023-06-02,100,0.5110567398599102,27.5,UP,UP,DOWN,0.020361543639327406,1500,2021-07-02,2023-05-26
2023-06-09,100,7.377241120767181,-17.450000000000045,UP,DOWN,UP,0.020599811807402474,1500,2021-07-09,2023-06-02
2023-06-16,100,4.430720746268221,0.5499999999999545,UP,UP,DOWN,0.020877469160375986,1500,2021-07-16,2023-06-09
2023-06-23,100,7.748260311728245,-44.75,UP,DOWN,UP,0.02010182035439435,1500,2021-07-23,2023-06-16
2023-06-30,100,-0.35211272820746586,-15.799999999999955,DOWN,DOWN,DOWN,0.020630502946512298,1500,2021-07-30,2023-06-23
2023-07-07,100,4.5455994320103486,12.100000000000136,UP,UP,DOWN,0.02048380097573615,1500,2021-08-06,2023-06-30
2023-07-14,100,4.837536029562969,40.84999999999991,UP,UP,UP,0.02030578841803944,1500,2021-08-13,2023-07-07
2023-07-21,100,7.4716448040012295,7.2999999999999545,UP,UP,UP,0.020255495259544187,1500,2021-08-20,2023-07-14
2023-07-28,100,0.5981302995638771,-13.649999999999864,UP,DOWN,UP,0.020203972400010265,1500,2021-08-27,2023-07-21
