target_week_end,rolling_window,predicted_delta_gold,actual_delta_gold,forecast_direction,actual_direction,previous_direction,training_mse_scaled,training_epochs,train_start_week_end,train_end_week_end,arima_predicted_delta_gold,arima_direction
2024-01-05,100,6.446527057222269,-24.700000000000045,UP,DOWN,UP,0.022711081231274858,1500,2022-02-04,2023-12-29,0.3302637918450273,UP
2024-01-12,100,0.903269703286135,1.849999999999909,UP,UP,DOWN,0.022632006739339437,1500,2022-02-11,2024-01-05,-3.631136394299574,DOWN
2024-01-19,100,2.6587163418722497,-10.049999999999955,UP,DOWN,UP,0.022603345129468287,1500,2022-02-18,2024-01-12,0.3625252658644058,UP
2024-01-26,100,0.8665716213070098,-8.400000000000091,UP,DOWN,DOWN,0.021878449595827187,1500,2022-02-25,2024-01-19,5.691183950540108,UP
2024-02-02,100,4.2198405454183785,33.09999999999991,UP,UP,DOWN,0.021891102352499133,1500,2022-03-04,2024-01-26,2.421697453989509,UP
2024-02-09,100,3.3580800946696883,-22.549999999999727,UP,DOWN,UP,0.021697057899250555,1500,2022-03-11,2024-02-02,8.840154895968226,UP
2024-02-16,100,1.2990995535509597,-26.25,UP,DOWN,DOWN,0.02124774671328705,1500,2022-03-18,2024-02-09,1.2545270854789123,UP
2024-02-23,100,3.4393723551558395,13.899999999999864,UP,UP,DOWN,0.02082788267599403,1500,2022-03-25,2024-02-16,14.066075119162178,UP
2024-03-01,100,1.2898124413828072,31.000000000000227,UP,UP,UP,0.020445039784174838,1500,2022-04-01,2024-02-23,15.338669560991093,UP
2024-03-08,100,5.248046440091073,118.34999999999991,UP,UP,UP,0.020379394254281924,1500,2022-04-08,2024-03-01,-4.552118120366686,DOWN
2024-03-15,100,13.45745947346741,1.699999999999818,UP,UP,UP,0.022095497174737643,1500,2022-04-15,2024-03-08,14.159562131414532,UP
2024-03-22,100,-10.455485089885109,-4.099999999999909,DOWN,DOWN,UP,0.022162150829714778,1500,2022-04-22,2024-03-15,-7.940772925579495,DOWN
2024-03-29,100,-7.552720540393025,40.75,DOWN,UP,DOWN,0.02192196096134363,1500,2022-04-29,2024-03-22,1.078354385084367,UP
