origin_week,target_week,n_train,omega,a,b,g,slack,lambda_last,lambda_forecast,theta,psi,realp_forecast,historical_mean_realp,previous_realp,forecast_direction,actual_direction,previous_week_direction,historical_mean_realp_direction,previous_realp_direction,actual_realp,actual_return_log,converged_starts,optimizer_nit
2024-12-30,2025-01-06,149,0.04673648653012209,2.127755279358688e-06,0.6536934036703613,2.1277551305831134e-06,0.34630234081922884,0.09616573051104485,0.1039020943232701,0.5405717486395059,-0.24118047062845877,0.5155125926313371,0.5077174452154888,0.538230504174656,UP,UP,UP,UP,UP,0.576490077187398,0.019014925054131,5,34
2025-01-06,2025-01-13,150,0.048131895059586594,2.184984722752839e-06,0.6443858346480988,2.1869377304132894e-06,0.35560979342944793,0.10448356416636645,0.1282271422271444,0.5449004543638087,-0.2697744945159689,0.5103080418862536,0.5081759294286349,0.576490077187398,UP,UP,UP,UP,UP,0.520817816092583,0.00470987440439,5,47
2025-01-13,2025-01-20,151,0.04799174382219221,2.1832584596470753e-06,0.6446598582694453,2.1832584596470753e-06,0.35533577521363535,0.1281210507816588,0.12091674707117836,0.5450795261720475,-0.2707841203901024,0.5123371911759459,0.5082596505323697,0.520817816092583,UP,UP,UP,UP,UP,0.607673923354339,0.024987969600441,5,35
2025-01-20,2025-01-27,152,0.047879531783310905,7.247357338683822e-06,0.6452647881909749,2.1795105498793787e-06,0.35472578494113655,0.12087361400924572,0.12275395382084028,0.5481642935042982,-0.28893410651312673,0.5126964895361201,0.5089136918009352,0.607673923354339,UP,UP,UP,UP,UP,0.542689317906402,0.009792231207715,5,36
2025-01-27,2025-02-03,153,0.0477409769896163,4.068284829344488e-06,0.645862307344559,2.175858820648161e-06,0.354131448511791,0.1226843478338933,0.12181660018742896,0.5489964037307061,-0.29374522979420853,0.5132133585159006,0.5091344475271147,0.542689317906402,UP,UP,UP,UP,UP,0.574447001193128,0.022035103166977,5,45
2025-02-03,2025-02-10,154,0.04825769155881695,2.871861154994267e-06,0.6433363635078678,2.191386011652132e-06,0.35665857324496547,0.12204346351781883,0.14346659923750116,0.5510813935106094,-0.3057993235105349,0.5072094045174245,0.5095585550184524,0.574447001193128,UP,UP,UP,UP,UP,0.52571271578833,0.007546047461387,5,37
2025-02-10,2025-02-17,155,0.04822139558976642,2.188761685041543e-06,0.6437641709617864,2.188761685041543e-06,0.35623145151484364,0.1434935319572962,0.14268615729280848,0.5509268850746922,-0.303733484745117,0.5075883212952577,0.5096627754105162,0.52571271578833,UP,UP,UP,UP,UP,0.570978461789695,0.018403521119024,5,49
2025-02-17,2025-02-24,156,0.048354310730845375,2.1986607984943205e-06,0.6421530230183192,2.1986607984943205e-06,0.3578425796600837,0.14258265754422733,0.1316043624013266,0.5506542759371966,-0.29892715148332283,0.5113141587617891,0.5100558246821775,0.570978461789695,UP,DOWN,UP,UP,UP,0.422199351312559,-0.027145783680639,5,52
2025-02-24,2025-03-03,157,0.0485109941722447,2.1930388730158157e-06,0.6430680416118456,2.193038799033513e-06,0.35692757231048233,0.13187967014348237,0.16069958628793335,0.5494679730300485,-0.29376283135600845,0.502260407564366,0.5094962293103965,0.422199351312559,UP,UP,DOWN,UP,DOWN,0.555283992678543,0.018031000956559,5,40
2025-03-03,2025-03-10,158,0.04845202374493681,2.1896923319077426e-06,0.6436127018638996,2.1896923319077426e-06,0.3563829187514368,0.1607356348230722,0.15341025483837745,0.547503847708187,-0.27684783916488886,0.5050325501504473,0.509786025281081,0.555283992678543,UP,UP,UP,UP,UP,0.598826302746866,0.025652557975535,5,45
2025-03-10,2025-03-17,159,0.04891032265515504,8.245790526979948e-06,0.639133218194989,2.2171789865519016e-06,0.36085631883549735,0.15313902758697387,0.13186218397350896,0.5455222500947837,-0.2582758517320034,0.5114654322177836,0.5103460270261488,0.598826302746866,UP,UP,UP,UP,UP,0.54826899752608,0.012917726827887,5,41
2025-03-17,2025-03-24,160,0.04891853086035721,2.216984611583101e-06,0.6391706979934278,2.216984611583101e-06,0.360824868037349,0.13187433331916798,0.13444610674155205,0.5460349373874861,-0.2603281346531323,0.511034833208082,0.5105830455917735,0.54826899752608,UP,UP,UP,UP,UP,0.573302394555827,0.02011153772992,5,35
2025-03-24,2025-03-31,161,0.04891928970731741,2.2162295665737174e-06,0.6392935866965267,2.2162295716607986e-06,0.360701980844335,0.13446330923495736,0.13661915855681178,0.546608991959599,-0.2616700757716965,0.5108598463881726,0.5109726067654632,0.573302394555827,UP,DOWN,UP,UP,UP,0.468473174817608,-0.015383795828206,5,37
2025-03-31,2025-04-07,162,0.04863278562268299,2.6565865264263804e-06,0.6464079577344779,2.17251493845088e-06,0.3535872131640573,0.13730867907795533,0.20634394758938432,0.5461676209143438,-0.2590482508066363,0.49271458222677755,0.5107102645929457,0.468473174817608,DOWN,UP,DOWN,UP,DOWN,0.594762511443901,0.063755884316951,5,35
2025-04-07,2025-04-14,163,0.04365153774136566,2.1450202177461646e-06,0.6880893681535429,2.678873915959232e-06,0.3119058079523234,0.21153216276556971,0.2751240445507735,0.5339519319487925,-0.1646324287873682,0.4886575922765946,0.5112259225490864,0.594762511443901,DOWN,UP,UP,UP,UP,0.647075011252115,0.026837042867343,5,35
2025-04-14,2025-04-21,164,0.05110163948753856,4.311649582685081e-06,0.6276028683070304,2.5289059170774085e-06,0.37239029113746985,0.26222702095301,0.10836268442022437,0.5083695366952907,0.02670870638377227,0.5112637638164279,0.5120542706509342,0.647075011252115,UP,DOWN,UP,UP,UP,0.495791091132055,-0.003001852441671,5,40
2025-04-21,2025-04-28,165,0.01977801879146262,0.4193807260482155,0.44163178035625245,8.539634281751477e-07,0.13898663963210384,0.16331815172068065,0.24575977757134834,0.5149747414740612,-0.021718390911380052,0.5096372345544729,0.5119557059265774,0.495791091132055,UP,DOWN,DOWN,UP,DOWN,0.462597511218648,-0.018688150404768,5,40
2025-04-28,2025-05-05,166,0.019692519382540578,0.419296665917211,0.4424050460234708,8.497288290238389e-07,0.1382974383304892,0.24595652471798385,0.23334530464218065,0.5215510643304984,-0.07082624779646851,0.5050240919617688,0.5116583674042404,0.462597511218648,UP,UP,DOWN,UP,DOWN,0.533362521537831,0.020899014656486,5,32
2025-05-05,2025-05-12,167,0.017411118973020723,0.42630286712153515,0.4534772869558285,7.386517240000287e-07,0.1202191072709124,0.23709884841428486,0.26052109326868234,0.5182255672086256,-0.045764202683881615,0.5063030270928511,0.5117883323990523,0.533362521537831,UP,DOWN,UP,UP,UP,0.442776230858893,-0.03488309304835,5,42
2025-05-12,2025-05-19,168,0.016399436893914394,0.4273837817401183,0.46048717257023664,6.889404346968911e-07,0.11212835674921033,0.2627540102345743,0.2690508609859787,0.5257513611249036,-0.10151020614992852,0.4984399527614012,0.5113775460803609,0.442776230858893,DOWN,UP,DOWN,UP,DOWN,0.587293085167336,0.044542515952645,5,35
2025-05-19,2025-05-26,169,0.016706216409751555,0.42724718099675857,0.4581556675663163,7.041049073449095e-07,0.11459644733201775,0.26830992919834595,0.24823104157279463,0.5156733754695063,-0.02703410480020217,0.5089626714769641,0.5118267504536567,0.587293085167336,UP,DOWN,UP,UP,UP,0.445011287944958,-0.020282375242191,5,34
2025-05-26,2025-06-02,170,0.0187808718881956,0.4131693528521845,0.4562673820440246,8.022034974329379e-07,0.13056246290029336,0.24463232263288215,0.2040018339851126,0.521170916898287,-0.06828668827062516,0.5072403072543098,0.5114337183212525,0.445011287944958,UP,UP,DOWN,UP,DOWN,0.516268062942417,0.006540784871989,5,44
2025-06-02,2025-06-09,171,0.018902557764254306,0.4120395294144996,0.4564656541274668,8.079271116043363e-07,0.13149400853092197,0.20380299541803742,0.19464140473479302,0.5206912426813084,-0.06456844166010856,0.5081235504950483,0.5114619893424289,0.516268062942417,UP,UP,UP,UP,UP,0.589288614123036,0.03622014098572,5,38
2025-06-09,2025-06-16,172,0.018598622464035004,0.41526783860273164,0.45554673284208486,7.937378291049814e-07,0.12918463481735432,0.19502303099058654,0.19198222872018145,0.517449648693094,-0.038630874083281246,0.5100332073891769,0.5119144697190603,0.589288614123036,UP,DOWN,UP,UP,UP,0.453999284218884,-0.018653817267821,5,43
2025-06-16,2025-06-23,173,0.018286324090032065,0.41806945606525564,0.4551671886163866,7.788561882385744e-07,0.1267625764621696,0.19230763804246076,0.19097218650090028,0.5194989528871867,-0.05513785186919302,0.5089691567567642,0.5115796998606778,0.453999284218884,UP,DOWN,DOWN,UP,DOWN,0.438589590753362,-0.027311243809238,5,38
2025-06-23,2025-06-30,174,0.017534941127795006,0.4235573094510063,0.4556210930962773,7.423489904679893e-07,0.12082085510372578,0.19172199683118515,0.20005525783242833,0.5219341822679734,-0.07477967202751526,0.5069741156998844,0.5111602164750035,0.438589590753362,UP,UP,DOWN,UP,DOWN,0.557179504104484,0.017778783578961,5,38
2025-06-30,2025-07-07,175,0.018340392765916716,0.4215506435229544,0.4510228837015856,7.829304976767854e-07,0.1274256898449622,0.1990647439770219,0.17237438000038668,0.5199324390731079,-0.05903211116330474,0.5097568155112193,0.5114231838328862,0.557179504104484,UP,UP,UP,UP,UP,0.511835194895288,0.003918230744565,5,33
2025-07-07,2025-07-14,176,0.018535835150295336,0.4193365925179629,0.4517188399963297,7.922579366392438e-07,0.12894377522777056,0.17217605847462897,0.1655099336905307,0.5198637276853703,-0.05848935790643279,0.5101831579366749,0.5114255248048317,0.511835194895288,UP,DOWN,UP,UP,UP,0.498114931330516,-0.000597211042266,5,34
2025-07-14,2025-07-21,177,0.01869518795300221,0.4176220406715905,0.45216045749991035,8.000790674985129e-07,0.1302167017494317,0.16537657879956696,0.15938498856272032,0.5199901053332119,-0.05985335553443265,0.5104503789459159,0.5113503237117566,0.498114931330516,UP,DOWN,DOWN,UP,DOWN,0.499231689054829,-0.000218070909757,5,37
2025-07-21,2025-07-28,178,0.01901512358350095,0.41412774246234,0.4530265685289732,8.16227108420888e-07,0.13284487278157825,0.1591453858055547,0.14921338220566685,0.5200334886234895,-0.06063185695203016,0.5109864041782669,0.5112822414945828,0.499231689054829,UP,UP,DOWN,UP,DOWN,0.513281611660369,0.004388103138148,5,32
2025-07-28,2025-08-04,179,0.018748625745902064,0.41796907157726,0.4514021703146077,8.026058978868368e-07,0.13062795550223438,0.14941990470436406,0.15577076101948628,0.5200809299769024,-0.06083352295358025,0.5106048458109268,0.5112934111603135,0.513281611660369,UP,UP,UP,UP,UP,0.525376516971869,0.007503257853795,5,42
2025-08-04,2025-08-11,180,0.01880936913355263,0.4178206251800478,0.45094319961931517,8.063379745595543e-07,0.13123536886266243,0.15570976127431607,0.1505349335327411,0.5200220984984568,-0.05987763464307506,0.5110084227473638,0.5113716506370443,0.525376516971869,UP,DOWN,UP,UP,UP,0.435147846268436,-0.017226480356209,5,41
2025-08-11,2025-08-18,181,0.018972187357642056,0.4162748075118284,0.45094964162996154,8.157961673780813e-07,0.13277473506204254,0.1504031548290794,0.1414735309323555,0.5199823423255996,-0.06254691961870787,0.5111336087581988,0.5109505246460575,0.435147846268436,UP,UP,DOWN,UP,DOWN,0.547815347203164,0.010178220123757,5,35
2025-08-18,2025-08-25,182,0.019297945273941342,0.4103725420866633,0.45378473956188425,8.346413799908003e-07,0.13584188371007233,0.1411769952126062,0.12553058159326408,0.5201957245274889,-0.06271422372723874,0.5123231715488386,0.5111530786161516,0.547815347203164,UP,UP,UP,UP,UP,0.615790597623686,0.027034896192318,5,37
2025-08-25,2025-09-01,183,0.01936943014563156,0.40734183492872245,0.45612573520157773,8.388790879840714e-07,0.13653159099061182,0.1253820776515361,0.12369112570392354,0.5223667164587183,-0.07388120634013634,0.513228266878143,0.5117248683375042,0.615790597623686,UP,UP,UP,UP,UP,0.60623353827312,0.038161778366679,5,33
2025-09-01,2025-09-08,184,0.01961028144193424,0.4144807264701945,0.44855774494342876,8.415155454209226e-07,0.13696068707083148,0.12420329677950472,0.1516568072018752,0.5246808666955443,-0.08626861898799916,0.5115976433781092,0.5122385024132413,0.60623353827312,UP,UP,UP,UP,UP,0.551510820354441,0.014399959005313,5,41
2025-09-08,2025-09-15,185,0.019463379043817723,0.41836696570083787,0.44540779845836764,8.3699163423372e-07,0.13622439884916024,0.15142844238496098,0.14507338404720138,0.5247025427428004,-0.08496531305886573,0.5123763372507208,0.5124507852129234,0.551510820354441,UP,UP,UP,UP,UP,0.538748710832188,0.012778785268658,5,31
2025-09-15,2025-09-22,186,0.019472756691077456,0.4173280346745969,0.44683464485524277,8.346082144656608e-07,0.13583648586194583,0.14519347326838128,0.15374598545735804,0.5247989723788246,-0.08458447137768793,0.5117944494724722,0.5125921719098012,0.538748710832188,UP,UP,UP,UP,UP,0.560184140556157,0.022139068025949,5,36
2025-09-22,2025-09-29,187,0.01948295339291002,0.413844750082633,0.45093961866794763,8.307884473451131e-07,0.1352148004609721,0.15400773069053636,0.16615855706642008,0.5245763747024956,-0.08115271332546166,0.5110921569543121,0.5128466744159313,0.560184140556157,UP,UP,UP,UP,UP,0.571084003870435,0.029717105335671,5,30
2025-09-29,2025-10-06,188,0.019395740765154105,0.40778052972008,0.4585870208963379,8.210611015343489e-07,0.13363162832248054,0.1667093735630797,0.18323414075620204,0.5236202791707854,-0.0722154154836021,0.5103879495652954,0.5131564474449447,0.571084003870435,UP,UP,UP,UP,UP,0.577366164131159,0.0345520901296,5,39
2025-10-06,2025-10-13,189,0.019181197632332957,0.4020881314601622,0.46665633036388315,8.064569440607241e-07,0.13125473171901056,0.18397707701694938,0.19736164475914464,0.521662883118294,-0.0561971568246044,0.5105717198166025,0.5134961813956654,0.577366164131159,UP,UP,UP,UP,UP,0.573089325565103,0.05811619287112,5,30
2025-10-13,2025-10-20,190,0.017178900865169794,0.3846822849233895,0.5022724020765847,6.945701410341716e-07,0.1130446184298847,0.20145901208267492,0.2943648691600454,0.5188593012980216,-0.03443076472920896,0.5087240937434278,0.513809829522873,0.573089325565103,UP,DOWN,UP,UP,UP,0.454757526161462,-0.037335808911167,5,36
2025-10-20,2025-10-27,191,0.0163960087194171,0.36282770823022364,0.5317081055411881,6.47990378446613e-07,0.10546353823820986,0.3017905797021908,0.3452871289699138,0.5233517072770781,-0.0665845526234008,0.5003609182679979,0.5135006551597243,0.454757526161462,UP,DOWN,DOWN,UP,DOWN,0.458816371298236,-0.02717096304928,5,33
2025-10-27,2025-11-03,192,0.01655188079789788,0.36446297434877134,0.5287399241224005,6.561800388035735e-07,0.10679644534878943,0.3444219467740329,0.3164996377982954,0.5275844142094337,-0.09648558366274579,0.49704676192741754,0.5132158411812789,0.458816371298236,DOWN,UP,DOWN,UP,DOWN,0.501141065260419,0.000430313059386,5,35
2025-11-03,2025-11-10,193,0.019129680143798237,0.35320043548411034,0.5203805206965415,7.76740678271108e-07,0.1264182670786699,0.3104715289377731,0.22691006269118918,0.527523063164827,-0.09626616157680468,0.5056793024063941,0.5131532775754715,0.501141065260419,UP,UP,UP,UP,UP,0.539207488293092,0.020561368087667,5,40
2025-11-10,2025-11-17,194,0.017803666435017487,0.36872648996759966,0.5144686015217986,7.176697522848535e-07,0.11680419084084946,0.2301155159968561,0.23755332671564416,0.5263161051030829,-0.08695186481341646,0.5056604003525269,0.5132875776307169,0.539207488293092,UP,DOWN,UP,UP,UP,0.49355943244996,-0.003708336210756,5,35
2025-11-17,2025-11-24,195,0.016674807972169744,0.3772912847278011,0.5144313582005953,6.652749873142814e-07,0.10827669179661631,0.23931089727657637,0.25506400903488585,0.5266758102925253,-0.08961622615061175,0.5038179363759733,0.513186407655431,0.49355943244996,UP,UP,DOWN,UP,DOWN,0.603825300768828,0.036330054162971,5,36
2025-11-24,2025-12-01,196,0.01797165352550493,0.3737861633185354,0.507756933547243,7.278198956942925e-07,0.11845617531432577,0.2528005691251165,0.2013009508392209,0.522348552512259,-0.057733170617696276,0.5107268103719538,0.5136488509876421,0.603825300768828,UP,DOWN,UP,UP,UP,0.488181350020295,-0.004492563612658,5,35
2025-12-01,2025-12-08,197,0.0182755177484235,0.3703713538567315,0.5089113742304188,7.417079961355795e-07,0.12071653020485373,0.20081666806390736,0.1893773527066063,0.5227815447184416,-0.0613820719187897,0.5111571704348147,0.5135195743329856,0.488181350020295,UP,UP,DOWN,UP,DOWN,0.571984218190706,0.024555671316661,5,34
