target_week,k,p_up,forecast_up,actual_up,previous_up
2025-01-06,26,0.402741027497,0,1,1
2025-01-13,26,0.436967487400,0,1,1
2025-01-20,26,0.478673599445,0,1,1
2025-01-27,26,0.517290369856,1,1,1
2025-02-03,26,0.543031693288,1,1,1
2025-02-10,26,0.576881197489,1,1,1
2025-02-17,26,0.598208385541,1,1,1
2025-02-24,26,0.617955781886,1,0,1
2025-03-03,26,0.572181279524,1,1,0
2025-03-10,26,0.603871555115,1,1,1
2025-03-17,26,0.623199457417,1,1,1
2025-03-24,26,0.641095663252,1,1,1
2025-03-31,26,0.657666224210,1,0,1
2025-04-07,26,0.608950207602,1,1,0
2025-04-14,26,0.627901913424,1,1,1
2025-04-21,26,0.645449789184,1,0,1
2025-04-28,26,0.587623748222,1,0,0
2025-05-05,26,0.544096063168,1,1,0
2025-05-12,26,0.577866725156,1,0,1
2025-05-19,26,0.535061782552,1,1,0
2025-05-26,26,0.559486705044,1,0,1
2025-06-02,26,0.518043245411,1,1,0
2025-06-09,26,0.553743745751,1,1,1
2025-06-16,26,0.576784819117,1,0,1
2025-06-23,26,0.534060017701,1,0,0
2025-06-30,26,0.494500016390,0,1,0
2025-07-07,26,0.521929514153,1,1,1
2025-07-14,26,0.547327197267,1,0,1
2025-07-21,26,0.496769496446,0,1,0
2025-07-28,26,0.524030884576,1,1,1
2025-08-04,26,0.549272910621,1,1,1
2025-08-11,26,0.572645156960,1,0,1
2025-08-18,26,0.520212051718,1,1,0
2025-08-25,26,0.545736954271,1,1,1
2025-09-01,26,0.579386068770,1,1,1
2025-09-08,26,0.600527710801,1,1,1
2025-09-15,26,0.620103305274,1,1,1
2025-09-22,26,0.638228855713,1,1,1
2025-09-29,26,0.655011772785,1,1,1
2025-10-06,26,0.680566456283,1,1,1
2025-10-13,26,0.694213254794,1,1,1
2025-10-20,26,0.706849179342,1,0,1
2025-10-27,26,0.654489980873,1,0,0
2025-11-03,26,0.606009241549,1,1,0
2025-11-10,26,0.625178796707,1,1,1
2025-11-17,26,0.652943330285,1,0,1
2025-11-24,26,0.594562212204,1,1,0
2025-12-01,26,0.624594640929,1,0,1
2025-12-08,26,0.568313425764,1,1,0
2025-12-15,26,0.590275263573,1,1,1
2025-12-22,26,0.620625244049,1,1,1
2025-12-29,26,0.648727077823,1,0,1
2025-01-06,52,0.434747900499,0,1,1
2025-01-13,52,0.456078168404,0,1,1
2025-01-20,52,0.476603520540,0,1,1
2025-01-27,52,0.496354331086,0,1,1
2025-02-03,52,0.510254095450,1,1,1
2025-02-10,52,0.528735072980,1,1,1
2025-02-17,52,0.546518655132,1,1,1
2025-02-24,52,0.558525426136,1,0,1
2025-03-03,52,0.532343262385,1,1,0
2025-03-10,52,0.544884953871,1,1,1
2025-03-17,52,0.562059106555,1,1,1
2025-03-24,52,0.573479445430,1,1,1
2025-03-31,52,0.584468828121,1,0,1
2025-04-07,52,0.557307668069,1,1,0
2025-04-14,52,0.568907306509,1,1,1
2025-04-21,52,0.580069222744,1,0,1
2025-04-28,52,0.558179818112,1,0,0
2025-05-05,52,0.537116428750,1,1,0
2025-05-12,52,0.549478000749,1,0,1
2025-05-19,52,0.523637249277,1,1,0
2025-05-26,52,0.541613202135,1,0,1
2025-06-02,52,0.521174968092,1,1,0
