target_week,k,p_up,forecast_up,actual_up,previous_up
2025-01-06,26,0.500000000000,1,1,1
2025-01-13,26,0.500000000000,1,1,1
2025-01-20,26,0.538461538462,1,1,1
2025-01-27,26,0.576923076923,1,1,1
2025-02-03,26,0.576923076923,1,1,1
2025-02-10,26,0.615384615385,1,1,1
2025-02-17,26,0.615384615385,1,1,1
2025-02-24,26,0.615384615385,1,0,1
2025-03-03,26,0.615384615385,1,1,0
2025-03-10,26,0.653846153846,1,1,1
2025-03-17,26,0.653846153846,1,1,1
2025-03-24,26,0.653846153846,1,1,1
2025-03-31,26,0.653846153846,1,0,1
2025-04-07,26,0.653846153846,1,1,0
2025-04-14,26,0.653846153846,1,1,1
2025-04-21,26,0.653846153846,1,0,1
2025-04-28,26,0.615384615385,1,0,0
2025-05-05,26,0.615384615385,1,1,0
2025-05-12,26,0.653846153846,1,0,1
2025-05-19,26,0.653846153846,1,1,0
2025-05-26,26,0.653846153846,1,0,1
2025-06-02,26,0.653846153846,1,1,0
2025-06-09,26,0.692307692308,1,1,1
2025-06-16,26,0.692307692308,1,0,1
2025-06-23,26,0.692307692308,1,0,0
2025-06-30,26,0.692307692308,1,1,0
2025-07-07,26,0.692307692308,1,1,1
2025-07-14,26,0.692307692308,1,0,1
2025-07-21,26,0.653846153846,1,1,0
2025-07-28,26,0.653846153846,1,1,1
2025-08-04,26,0.653846153846,1,1,1
2025-08-11,26,0.653846153846,1,0,1
2025-08-18,26,0.615384615385,1,1,0
2025-08-25,26,0.615384615385,1,1,1
2025-09-01,26,0.653846153846,1,1,1
2025-09-08,26,0.653846153846,1,1,1
2025-09-15,26,0.653846153846,1,1,1
2025-09-22,26,0.653846153846,1,1,1
2025-09-29,26,0.653846153846,1,1,1
2025-10-06,26,0.692307692308,1,1,1
2025-10-13,26,0.692307692308,1,1,1
2025-10-20,26,0.692307692308,1,0,1
2025-10-27,26,0.692307692308,1,0,0
2025-11-03,26,0.692307692308,1,1,0
2025-11-10,26,0.692307692308,1,1,1
2025-11-17,26,0.730769230769,1,0,1
2025-11-24,26,0.692307692308,1,1,0
2025-12-01,26,0.730769230769,1,0,1
2025-12-08,26,0.692307692308,1,1,0
2025-12-15,26,0.692307692308,1,1,1
2025-12-22,26,0.730769230769,1,1,1
2025-12-29,26,0.769230769231,1,0,1
2025-01-06,52,0.519230769231,1,1,1
2025-01-13,52,0.538461538462,1,1,1
2025-01-20,52,0.557692307692,1,1,1
2025-01-27,52,0.576923076923,1,1,1
2025-02-03,52,0.576923076923,1,1,1
2025-02-10,52,0.596153846154,1,1,1
2025-02-17,52,0.615384615385,1,1,1
2025-02-24,52,0.615384615385,1,0,1
2025-03-03,52,0.596153846154,1,1,0
2025-03-10,52,0.596153846154,1,1,1
2025-03-17,52,0.615384615385,1,1,1
2025-03-24,52,0.615384615385,1,1,1
2025-03-31,52,0.615384615385,1,0,1
2025-04-07,52,0.596153846154,1,1,0
2025-04-14,52,0.596153846154,1,1,1
2025-04-21,52,0.596153846154,1,0,1
2025-04-28,52,0.596153846154,1,0,0
2025-05-05,52,0.596153846154,1,1,0
2025-05-12,52,0.596153846154,1,0,1
2025-05-19,52,0.576923076923,1,1,0
2025-05-26,52,0.596153846154,1,0,1
2025-06-02,52,0.596153846154,1,1,0
2025-06-09,52,0.615384615385,1,1,1
2025-06-16,52,0.615384615385,1,0,1
2025-06-23,52,0.615384615385,1,0,0
2025-06-30,52,0.596153846154,1,1,0
2025-07-07,52,0.596153846154,1,1,1
2025-07-14,52,0.596153846154,1,0,1
2025-07-21,52,0.596153846154,1,1,0
2025-07-28,52,0.615384615385,1,1,1
2025-08-04,52,0.615384615385,1,1,1
2025-08-11,52,0.634615384615,1,0,1
2025-08-18,52,0.615384615385,1,1,0
2025-08-25,52,0.615384615385,1,1,1
2025-09-01,52,0.634615384615,1,1,1
2025-09-08,52,0.653846153846,1,1,1
