variant,event_date,tier,z,event_direction,target_week,p_up,forecast_direction,event_direction_match
RSM_26,2025-02-10,MAJOR,2.3407,UP,2025-02-10,0.615384615385,UP,TRUE
RSM_26,2025-02-14,MAJOR,-2.2468,DOWN,2025-02-10,0.615384615385,UP,FALSE
RSM_26,2025-02-18,MAJOR,2.1885,UP,2025-02-17,0.615384615385,UP,TRUE
RSM_26,2025-03-13,MAJOR,2.1237,UP,2025-03-10,0.653846153846,UP,TRUE
RSM_26,2025-04-04,EXTREME,-3.3930,DOWN,2025-03-31,0.653846153846,UP,FALSE
RSM_26,2025-04-09,EXTREME,3.2185,UP,2025-04-07,0.653846153846,UP,TRUE
RSM_26,2025-04-10,MAJOR,2.3440,UP,2025-04-07,0.653846153846,UP,TRUE
RSM_26,2025-07-21,MAJOR,2.0611,UP,2025-07-21,0.653846153846,UP,TRUE
RSM_26,2025-08-01,MAJOR,2.5481,UP,2025-07-28,0.653846153846,UP,TRUE
RSM_26,2025-09-02,MAJOR,2.6673,UP,2025-09-01,0.653846153846,UP,TRUE
RSM_26,2025-09-22,MAJOR,2.6254,UP,2025-09-22,0.653846153846,UP,TRUE
RSM_26,2025-09-29,MAJOR,2.3040,UP,2025-09-29,0.653846153846,UP,TRUE
RSM_26,2025-10-06,MAJOR,2.7911,UP,2025-10-06,0.692307692308,UP,TRUE
RSM_26,2025-10-13,MAJOR,2.5043,UP,2025-10-13,0.692307692308,UP,TRUE
RSM_26,2025-10-16,MAJOR,2.9074,UP,2025-10-13,0.692307692308,UP,TRUE
RSM_26,2025-10-17,MAJOR,-2.0589,DOWN,2025-10-13,0.692307692308,UP,FALSE
RSM_26,2025-10-21,EXTREME,-4.1054,DOWN,2025-10-20,0.692307692308,UP,FALSE
RSM_26,2025-12-22,EXTREME,4.0174,UP,2025-12-22,0.730769230769,UP,TRUE
RSM_26,2025-12-29,EXTREME,-6.6415,DOWN,2025-12-29,0.769230769231,UP,FALSE
RSM_52,2025-02-10,MAJOR,2.3407,UP,2025-02-10,0.596153846154,UP,TRUE
RSM_52,2025-02-14,MAJOR,-2.2468,DOWN,2025-02-10,0.596153846154,UP,FALSE
RSM_52,2025-02-18,MAJOR,2.1885,UP,2025-02-17,0.615384615385,UP,TRUE
RSM_52,2025-03-13,MAJOR,2.1237,UP,2025-03-10,0.596153846154,UP,TRUE
RSM_52,2025-04-04,EXTREME,-3.3930,DOWN,2025-03-31,0.615384615385,UP,FALSE
RSM_52,2025-04-09,EXTREME,3.2185,UP,2025-04-07,0.596153846154,UP,TRUE
