"k","target_week","origin_week","k_star","p_up","forecast_up","actual_up","previous_up","final_order","final_context","final_leaves"
26,"2025-01-06","2024-12-30",0.4,0.25,0,1,1,4,8,7
26,"2025-01-13","2025-01-06",0.4,0.666666666666667,1,1,1,4,9,6
26,"2025-01-20","2025-01-13",0.4,0,0,1,1,4,11,5
26,"2025-01-27","2025-01-20",0.4,0.333333333333333,0,1,1,4,10,4
26,"2025-02-03","2025-01-27",0.4,0.5,1,1,1,4,9,3
26,"2025-02-10","2025-02-03",0.4,1,1,1,1,4,9,5
26,"2025-02-17","2025-02-10",0.4,1,1,1,1,4,9,6
26,"2025-02-24","2025-02-17",0.4,1,1,0,1,4,9,5
26,"2025-03-03","2025-02-24",0.4,0.5,1,1,0,4,10,5
26,"2025-03-10","2025-03-03",0.4,0.6,1,1,1,4,8,4
26,"2025-03-17","2025-03-10",0.4,1,1,1,1,4,9,6
26,"2025-03-24","2025-03-17",0.4,0.714285714285714,1,1,1,4,9,5
26,"2025-03-31","2025-03-24",0.4,0.75,1,0,1,4,9,4
26,"2025-04-07","2025-03-31",0.4,0.5,1,1,0,4,9,4
26,"2025-04-14","2025-04-07",0.4,0.6,1,1,1,4,10,5
26,"2025-04-21","2025-04-14",0.4,1,1,0,1,4,10,7
26,"2025-04-28","2025-04-21",0.4,1,1,0,0,4,9,6
26,"2025-05-05","2025-04-28",0.4,1,1,1,0,4,9,6
26,"2025-05-12","2025-05-05",0.4,0.333333333333333,0,0,1,4,9,5
26,"2025-05-19","2025-05-12",0.4,0,0,1,0,4,9,5
26,"2025-05-26","2025-05-19",0.4,1,1,0,1,4,9,5
26,"2025-06-02","2025-05-26",0.4,0.5,1,1,0,4,10,4
26,"2025-06-09","2025-06-02",0.4,0,0,1,1,4,10,5
26,"2025-06-16","2025-06-09",0.4,0.666666666666667,1,0,1,4,10,5
26,"2025-06-23","2025-06-16",0.4,0,0,0,0,4,10,4
26,"2025-06-30","2025-06-23",0.4,1,1,1,0,4,9,5
26,"2025-07-07","2025-06-30",0.4,0,0,1,1,4,9,6
26,"2025-07-14","2025-07-07",0.4,0.333333333333333,0,0,1,4,9,6
26,"2025-07-21","2025-07-14",0.4,0,0,1,0,4,10,7
26,"2025-07-28","2025-07-21",0.4,1,1,1,1,5,11,6
26,"2025-08-04","2025-07-28",0.4,0.375,0,1,1,5,9,7
26,"2025-08-11","2025-08-04",0.4,0.375,0,0,1,5,9,6
26,"2025-08-18","2025-08-11",0.4,1,1,1,0,5,9,5
26,"2025-08-25","2025-08-18",0.4,1,1,1,1,5,9,6
26,"2025-09-01","2025-08-25",0.4,0.375,0,1,1,5,9,7
26,"2025-09-08","2025-09-01",0.4,0,0,1,1,5,10,7
26,"2025-09-15","2025-09-08",0.4,0.375,0,1,1,5,9,6
26,"2025-09-22","2025-09-15",0.4,0.666666666666667,1,1,1,5,12,6
26,"2025-09-29","2025-09-22",0.4,1,1,1,1,5,11,5
26,"2025-10-06","2025-09-29",0.4,1,1,1,1,5,11,6
26,"2025-10-13","2025-10-06",0.4,1,1,1,1,5,11,6
26,"2025-10-20","2025-10-13",0.4,1,1,0,1,5,11,6
26,"2025-10-27","2025-10-20",0.4,0.666666666666667,1,0,0,5,10,3
26,"2025-11-03","2025-10-27",0.4,0.714285714285714,1,1,0,5,8,2
26,"2025-11-10","2025-11-03",0.4,0.5,1,1,1,5,8,3
26,"2025-11-17","2025-11-10",0.4,0,0,0,1,5,7,3
26,"2025-11-24","2025-11-17",0.4,0.5,1,1,0,4,6,5
26,"2025-12-01","2025-11-24",0.4,1,1,0,1,4,8,5
26,"2025-12-08","2025-12-01",0.4,0,0,1,0,4,9,5
26,"2025-12-15","2025-12-08",0.4,0.666666666666667,1,1,1,4,9,5
26,"2025-12-22","2025-12-15",0.4,1,1,1,1,4,8,2
26,"2025-12-29","2025-12-22",0.4,0.666666666666667,1,0,1,4,5,1
52,"2025-01-06","2024-12-30",0.54,0.6,1,1,1,6,15,9
52,"2025-01-13","2025-01-06",0.54,0.666666666666667,1,1,1,6,15,9
52,"2025-01-20","2025-01-13",0.54,0.285714285714286,0,1,1,6,17,9
52,"2025-01-27","2025-01-20",0.54,0.375,0,1,1,6,15,8
52,"2025-02-03","2025-01-27",0.54,0,0,1,1,6,17,8
52,"2025-02-10","2025-02-03",0.54,0.5,1,1,1,6,17,7
52,"2025-02-17","2025-02-10",0.54,0.8,1,1,1,6,16,7
52,"2025-02-24","2025-02-17",0.54,1,1,0,1,6,18,8
52,"2025-03-03","2025-02-24",0.54,0,0,1,0,6,15,5
52,"2025-03-10","2025-03-03",0.54,1,1,1,1,6,16,7
52,"2025-03-17","2025-03-10",0.54,0.714285714285714,1,1,1,6,15,6
52,"2025-03-24","2025-03-17",0.54,0,0,1,1,6,17,7
52,"2025-03-31","2025-03-24",0.54,0.8,1,0,1,6,16,7
52,"2025-04-07","2025-03-31",0.54,1,1,1,0,6,15,6
52,"2025-04-14","2025-04-07",0.54,1,1,1,1,6,15,7
52,"2025-04-21","2025-04-14",0.54,1,1,0,1,6,16,8
52,"2025-04-28","2025-04-21",0.54,0,0,0,0,6,14,8
52,"2025-05-05","2025-04-28",0.54,0.5,1,1,0,6,14,8
52,"2025-05-12","2025-05-05",0.54,0.5,1,0,1,6,15,8
52,"2025-05-19","2025-05-12",0.54,0.5,1,1,0,6,15,7
52,"2025-05-26","2025-05-19",0.54,1,1,0,1,6,17,8
52,"2025-06-02","2025-05-26",0.54,1,1,1,0,6,18,7
52,"2025-06-09","2025-06-02",0.54,0.5,1,1,1,6,18,9
52,"2025-06-16","2025-06-09",0.54,0.6,1,0,1,6,17,7
52,"2025-06-23","2025-06-16",0.54,0,0,0,0,6,18,8
