k,event_date,tier,z,event_direction,target_week,k_star,p_up,forecast_direction,event_direction_match
26,2025-02-10,MAJOR,2.3407,UP,2025-02-10,0.40,1.000000000000,UP,TRUE
26,2025-02-14,MAJOR,-2.2468,DOWN,2025-02-10,0.40,1.000000000000,UP,FALSE
26,2025-02-18,MAJOR,2.1885,UP,2025-02-17,0.40,1.000000000000,UP,TRUE
26,2025-03-13,MAJOR,2.1237,UP,2025-03-10,0.40,0.600000000000,UP,TRUE
26,2025-04-04,EXTREME,-3.3930,DOWN,2025-03-31,0.40,0.750000000000,UP,FALSE
26,2025-04-09,EXTREME,3.2185,UP,2025-04-07,0.40,0.500000000000,UP,TRUE
26,2025-04-10,MAJOR,2.3440,UP,2025-04-07,0.40,0.500000000000,UP,TRUE
26,2025-07-21,MAJOR,2.0611,UP,2025-07-21,0.40,0.000000000000,DOWN,FALSE
26,2025-08-01,MAJOR,2.5481,UP,2025-07-28,0.40,1.000000000000,UP,TRUE
26,2025-09-02,MAJOR,2.6673,UP,2025-09-01,0.40,0.375000000000,DOWN,FALSE
26,2025-09-22,MAJOR,2.6254,UP,2025-09-22,0.40,0.666666666667,UP,TRUE
26,2025-09-29,MAJOR,2.3040,UP,2025-09-29,0.40,1.000000000000,UP,TRUE
26,2025-10-06,MAJOR,2.7911,UP,2025-10-06,0.40,1.000000000000,UP,TRUE
26,2025-10-13,MAJOR,2.5043,UP,2025-10-13,0.40,1.000000000000,UP,TRUE
26,2025-10-16,MAJOR,2.9074,UP,2025-10-13,0.40,1.000000000000,UP,TRUE
26,2025-10-17,MAJOR,-2.0589,DOWN,2025-10-13,0.40,1.000000000000,UP,FALSE
26,2025-10-21,EXTREME,-4.1054,DOWN,2025-10-20,0.40,1.000000000000,UP,FALSE
26,2025-12-22,EXTREME,4.0174,UP,2025-12-22,0.40,1.000000000000,UP,TRUE
26,2025-12-29,EXTREME,-6.6415,DOWN,2025-12-29,0.40,0.666666666667,UP,FALSE
52,2025-02-10,MAJOR,2.3407,UP,2025-02-10,0.54,0.500000000000,UP,TRUE
52,2025-02-14,MAJOR,-2.2468,DOWN,2025-02-10,0.54,0.500000000000,UP,FALSE
52,2025-02-18,MAJOR,2.1885,UP,2025-02-17,0.54,0.800000000000,UP,TRUE
52,2025-03-13,MAJOR,2.1237,UP,2025-03-10,0.54,1.000000000000,UP,TRUE
52,2025-04-04,EXTREME,-3.3930,DOWN,2025-03-31,0.54,0.800000000000,UP,FALSE
52,2025-04-09,EXTREME,3.2185,UP,2025-04-07,0.54,1.000000000000,UP,TRUE
52,2025-04-10,MAJOR,2.3440,UP,2025-04-07,0.54,1.000000000000,UP,TRUE
52,2025-07-21,MAJOR,2.0611,UP,2025-07-21,0.54,0.000000000000,DOWN,FALSE
52,2025-08-01,MAJOR,2.5481,UP,2025-07-28,0.54,1.000000000000,UP,TRUE
52,2025-09-02,MAJOR,2.6673,UP,2025-09-01,0.54,0.578947368421,UP,TRUE
52,2025-09-22,MAJOR,2.6254,UP,2025-09-22,0.54,0.714285714286,UP,TRUE
52,2025-09-29,MAJOR,2.3040,UP,2025-09-29,0.54,0.750000000000,UP,TRUE
52,2025-10-06,MAJOR,2.7911,UP,2025-10-06,0.54,0.500000000000,UP,TRUE
52,2025-10-13,MAJOR,2.5043,UP,2025-10-13,0.54,0.000000000000,DOWN,FALSE
52,2025-10-16,MAJOR,2.9074,UP,2025-10-13,0.54,0.000000000000,DOWN,FALSE
52,2025-10-17,MAJOR,-2.0589,DOWN,2025-10-13,0.54,0.000000000000,DOWN,TRUE
52,2025-10-21,EXTREME,-4.1054,DOWN,2025-10-20,0.54,0.500000000000,UP,FALSE
52,2025-12-22,EXTREME,4.0174,UP,2025-12-22,0.54,0.666666666667,UP,TRUE
52,2025-12-29,EXTREME,-6.6415,DOWN,2025-12-29,0.54,0.666666666667,UP,FALSE
104,2025-02-10,MAJOR,2.3407,UP,2025-02-10,0.40,0.600000000000,UP,TRUE
104,2025-02-14,MAJOR,-2.2468,DOWN,2025-02-10,0.40,0.600000000000,UP,FALSE
104,2025-02-18,MAJOR,2.1885,UP,2025-02-17,0.40,0.666666666667,UP,TRUE
104,2025-03-13,MAJOR,2.1237,UP,2025-03-10,0.40,1.000000000000,UP,TRUE
104,2025-04-04,EXTREME,-3.3930,DOWN,2025-03-31,0.40,0.473684210526,DOWN,TRUE
104,2025-04-09,EXTREME,3.2185,UP,2025-04-07,0.40,0.666666666667,UP,TRUE
104,2025-04-10,MAJOR,2.3440,UP,2025-04-07,0.40,0.666666666667,UP,TRUE
104,2025-07-21,MAJOR,2.0611,UP,2025-07-21,0.40,0.500000000000,UP,TRUE
104,2025-08-01,MAJOR,2.5481,UP,2025-07-28,0.40,1.000000000000,UP,TRUE
104,2025-09-02,MAJOR,2.6673,UP,2025-09-01,0.40,1.000000000000,UP,TRUE
104,2025-09-22,MAJOR,2.6254,UP,2025-09-22,0.40,0.600000000000,UP,TRUE
104,2025-09-29,MAJOR,2.3040,UP,2025-09-29,0.40,0.666666666667,UP,TRUE
104,2025-10-06,MAJOR,2.7911,UP,2025-10-06,0.40,0.500000000000,UP,TRUE
104,2025-10-13,MAJOR,2.5043,UP,2025-10-13,0.40,0.000000000000,DOWN,FALSE
104,2025-10-16,MAJOR,2.9074,UP,2025-10-13,0.40,0.000000000000,DOWN,FALSE
104,2025-10-17,MAJOR,-2.0589,DOWN,2025-10-13,0.40,0.000000000000,DOWN,TRUE
104,2025-10-21,EXTREME,-4.1054,DOWN,2025-10-20,0.40,0.500000000000,UP,FALSE
104,2025-12-22,EXTREME,4.0174,UP,2025-12-22,0.40,0.333333333333,DOWN,FALSE
104,2025-12-29,EXTREME,-6.6415,DOWN,2025-12-29,0.40,0.444444444444,DOWN,TRUE
