"k","target_week","origin_week","k_star","p_up","forecast_up","actual_up","previous_up","final_order","final_context","final_leaves"
26,"2022-09-05","2022-08-29",0.4,0,0,1,0,4,7,5
26,"2022-09-12","2022-09-05",0.4,1,1,0,1,3,6,2
26,"2022-09-19","2022-09-12",0.4,0.4,0,0,0,5,8,2
26,"2022-09-26","2022-09-19",0.4,0,0,1,0,5,9,3
26,"2022-10-03","2022-09-26",0.4,0.666666666666667,1,1,1,5,10,3
26,"2022-10-10","2022-10-03",0.4,0.4,0,0,1,5,8,3
26,"2022-10-17","2022-10-10",0.4,0.5,1,0,0,5,8,2
26,"2022-10-24","2022-10-17",0.4,0.4,0,1,0,3,4,1
26,"2022-10-31","2022-10-24",0.4,0.5,1,0,1,3,4,2
26,"2022-11-07","2022-10-31",0.4,0,0,1,0,3,4,1
26,"2022-11-14","2022-11-07",0.4,0.44,0,1,1,0,1,1
26,"2022-11-21","2022-11-14",0.4,0.454545454545455,0,0,1,3,4,1
26,"2022-11-28","2022-11-21",0.4,0,0,1,0,3,4,1
26,"2022-12-05","2022-11-28",0.4,0.44,0,0,1,0,1,1
26,"2022-12-12","2022-12-05",0.4,0.44,0,0,0,0,1,1
26,"2022-12-19","2022-12-12",0.4,0.44,0,1,0,0,1,1
26,"2022-12-26","2022-12-19",0.4,0.454545454545455,0,1,1,4,5,2
26,"2023-01-02","2022-12-26",0.4,0.4,0,1,1,5,9,3
26,"2023-01-09","2023-01-02",0.4,0.5,1,1,1,5,9,3
26,"2023-01-16","2023-01-09",0.4,0.625,1,1,1,5,9,3
26,"2023-01-23","2023-01-16",0.4,0.625,1,0,1,5,9,3
26,"2023-01-30","2023-01-23",0.4,0.333333333333333,0,0,0,5,9,3
26,"2023-02-06","2023-01-30",0.4,0.5,1,0,0,5,9,3
26,"2023-02-13","2023-02-06",0.4,0.5,1,0,0,5,9,2
26,"2023-02-20","2023-02-13",0.4,0.5,1,0,0,5,9,2
26,"2023-02-27","2023-02-20",0.4,0,0,1,0,5,9,3
26,"2023-03-06","2023-02-27",0.4,0.48,0,0,1,0,1,1
26,"2023-03-13","2023-03-06",0.4,0.48,0,1,0,0,1,1
26,"2023-03-20","2023-03-13",0.4,0.5,1,1,1,4,5,1
26,"2023-03-27","2023-03-20",0.4,0.571428571428571,1,0,1,4,8,2
26,"2023-04-03","2023-03-27",0.4,0.333333333333333,0,1,0,4,10,3
26,"2023-04-10","2023-04-03",0.4,0,0,0,1,4,11,4
26,"2023-04-17","2023-04-10",0.4,0.666666666666667,1,0,0,4,10,4
26,"2023-04-24","2023-04-17",0.4,0.4,0,1,0,4,11,4
26,"2023-05-01","2023-04-24",0.4,0.666666666666667,1,1,1,4,11,4
26,"2023-05-08","2023-05-01",0.4,0.571428571428571,1,0,1,4,11,4
26,"2023-05-15","2023-05-08",0.4,0.666666666666667,1,0,0,4,10,3
26,"2023-05-22","2023-05-15",0.4,0,0,0,0,4,8,2
26,"2023-05-29","2023-05-22",0.4,0.333333333333333,0,1,0,4,8,2
26,"2023-06-05","2023-05-29",0.4,0.545454545454545,1,1,1,4,5,1
26,"2023-06-12","2023-06-05",0.4,0.583333333333333,1,0,1,4,5,1
26,"2023-06-19","2023-06-12",0.4,0.4,0,0,0,4,7,2
26,"2023-06-26","2023-06-19",0.4,0,0,0,0,5,10,3
26,"2023-07-03","2023-06-26",0.4,0.5,1,1,0,5,10,3
26,"2023-07-10","2023-07-03",0.4,0.6,1,1,1,6,12,5
26,"2023-07-17","2023-07-10",0.4,0,0,1,1,5,14,5
26,"2023-07-24","2023-07-17",0.4,0.25,0,0,1,5,13,5
26,"2023-07-31","2023-07-24",0.4,0.333333333333333,0,0,0,5,13,5
26,"2023-08-07","2023-07-31",0.4,0,0,0,0,5,12,5
26,"2023-08-14","2023-08-07",0.4,1,1,0,0,5,11,5
26,"2023-08-21","2023-08-14",0.4,0.666666666666667,1,1,0,6,13,5
26,"2023-08-28","2023-08-21",0.4,1,1,1,1,6,13,6
26,"2023-09-04","2023-08-28",0.4,0.2,0,0,1,6,13,5
26,"2023-09-11","2023-09-04",0.4,0,0,1,0,6,12,5
26,"2023-09-18","2023-09-11",0.4,0,0,1,1,6,10,4
