target_week,p_up,forecast_up,actual_up,p26,p52,w26_before,w52_before,loss26,loss52,w26_after,w52_after
2025-01-06,0.44181383022152687,0,1,0.25,0.6,0.4519604850813519,0.5480395149186482,1.0,0.0,0.2461286406226989,0.753871359377301
2025-01-13,0.6666666666666669,1,1,0.666666666666667,0.666666666666667,0.2461286406226989,0.753871359377301,0.0,0.0,0.25882220859156396,0.741177791408436
2025-01-20,0.21176508325955334,0,1,0.0,0.285714285714286,0.25882220859156396,0.741177791408436,1.0,1.0,0.27088109816198574,0.7291189018380142
2025-01-27,0.36371328757658383,0,1,0.333333333333333,0.375,0.27088109816198574,0.7291189018380142,1.0,1.0,0.2823370432538865,0.7176629567461135
2025-02-03,0.14116852162694324,0,1,0.5,0.0,0.2823370432538865,0.7176629567461135,0.0,1.0,0.5159306308708113,0.4840693691291888
2025-02-10,0.7579653154354057,1,1,1.0,0.5,0.5159306308708113,0.4840693691291888,0.0,0.0,0.5151340993272706,0.48486590067272933
2025-02-17,0.9030268198654541,1,1,1.0,0.8,0.5151340993272706,0.48486590067272933,0.0,0.0,0.514377394360907,0.4856226056390929
2025-02-24,0.9999999999999999,1,0,1.0,1.0,0.514377394360907,0.4856226056390929,1.0,1.0,0.5136585246428618,0.4863414753571383
2025-03-03,0.2568292623214309,0,1,0.5,0.0,0.5136585246428618,0.4863414753571383,0.0,1.0,0.7295830656074427,0.27041693439255743
2025-03-10,0.708166773757023,1,1,0.6,1.0,0.7295830656074427,0.27041693439255743,0.0,0.0,0.7181039123270705,0.28189608767292956
2025-03-17,0.9194582606648772,1,1,1.0,0.714285714285714,0.7181039123270705,0.28189608767292956,0.0,0.0,0.707198716710717,0.2928012832892831
2025-03-24,0.5051419405076548,1,1,0.714285714285714,0.0,0.707198716710717,0.2928012832892831,0.0,1.0,0.8494287648336728,0.1505712351663273
2025-03-31,0.7575285617583164,1,0,0.75,0.8,0.8494287648336728,0.1505712351663273,1.0,1.0,0.8319573265919891,0.1680426734080109
2025-04-07,0.5840213367040055,1,1,0.5,1.0,0.8319573265919891,0.1680426734080109,0.0,0.0,0.8153594602623896,0.18464053973761035
2025-04-14,0.6738562158950441,1,1,0.6,1.0,0.8153594602623896,0.18464053973761035,0.0,0.0,0.7995914872492701,0.20040851275072982
2025-04-21,0.9999999999999999,1,0,1.0,1.0,0.7995914872492701,0.20040851275072982,1.0,1.0,0.7846119128868065,0.21538808711319332
2025-04-28,0.7846119128868065,1,0,1.0,0.0,0.7846119128868065,0.21538808711319332,1.0,0.0,0.5690352617075806,0.4309647382924194
2025-05-05,0.7845176308537902,1,1,1.0,0.5,0.5690352617075806,0.4309647382924194,0.0,0.0,0.5655834986222016,0.4344165013777984
2025-05-12,0.4057360835629662,0,0,0.333333333333333,0.5,0.5655834986222016,0.4344165013777984,0.0,1.0,0.7657044271070785,0.2342955728929215
2025-05-19,0.11714778644646075,0,1,0.0,0.5,0.7657044271070785,0.2342955728929215,1.0,0.0,0.5436272330602656,0.4563727669397344
2025-05-26,1.0,1,0,1.0,1.0,0.5436272330602656,0.4563727669397344,1.0,1.0,0.5414458714072523,0.4585541285927477
2025-06-02,0.7292770642963738,1,1,0.5,1.0,0.5414458714072523,0.4585541285927477,0.0,0.0,0.5393735778368897,0.4606264221631103
2025-06-09,0.23031321108155514,0,1,0.0,0.5,0.5393735778368897,0.4606264221631103,1.0,0.0,0.3110222719151937,0.6889777280848063
2025-06-16,0.6207348181276797,1,0,0.666666666666667,0.6,0.3110222719151937,0.6889777280848063,1.0,1.0,0.320471158319434,0.6795288416805659
2025-06-23,0.0,0,0,0.0,0.0,0.320471158319434,0.6795288416805659,0.0,0.0,0.3294476004034623,0.6705523995965377
2025-06-30,1.0,1,1,1.0,1.0,0.3294476004034623,0.6705523995965377,0.0,0.0,0.3379752203832892,0.6620247796167108
2025-07-07,0.22067492653890336,0,1,0.0,0.333333333333333,0.3379752203832892,0.6620247796167108,1.0,1.0,0.34607645936412473,0.6539235406358752
2025-07-14,0.7692823604239166,1,0,0.333333333333333,1.0,0.34607645936412473,0.6539235406358752,0.0,1.0,0.585431957519477,0.41456804248052304
2025-07-21,0.0,0,1,0.0,0.0,0.585431957519477,0.41456804248052304,1.0,1.0,0.5811603596435031,0.4188396403564969
