loss_type,eta,alpha,n,accuracy,balanced_accuracy,brier,log_loss,actual_up,actual_down,forecast_up,forecast_down,up_sensitivity,down_sensitivity,tp,tn,fp,fn,always_up_accuracy,mean_p_up,min_p_up,max_p_up
ZERO_ONE,1.0,0.05,43,0.6046511627906976,0.618421052631579,0.2955613945886296,2.588400717039103,24,19,17,26,0.5,0.7368421052631579,12,14,5,12,0.5581395348837209,0.43292143734558675,0.0,1.0
ZERO_ONE,1.0,0.1,43,0.6046511627906976,0.618421052631579,0.2962416407778154,2.5832830595602916,24,19,17,26,0.5,0.7368421052631579,12,14,5,12,0.5581395348837209,0.4290527055048123,0.0,1.0
ZERO_ONE,2.0,0.01,43,0.6046511627906976,0.618421052631579,0.29632315425539985,2.69412334060918,24,19,17,26,0.5,0.7368421052631579,12,14,5,12,0.5581395348837209,0.4399208006464169,0.0,0.9999999999999999
ZERO_ONE,2.0,0.02,43,0.6046511627906976,0.618421052631579,0.29640354412111863,2.678012042091102,24,19,17,26,0.5,0.7368421052631579,12,14,5,12,0.5581395348837209,0.43780644423318854,0.0,0.9999999999999999
ZERO_ONE,2.0,0.05,43,0.6046511627906976,0.618421052631579,0.29867323106343424,2.645861377712067,24,19,17,26,0.5,0.7368421052631579,12,14,5,12,0.5581395348837209,0.43277097296118683,0.0,1.0
ZERO_ONE,0.5,0.05,43,0.5813953488372093,0.5975877192982456,0.29294627216436475,2.5562247545251022,24,19,16,27,0.4583333333333333,0.7368421052631579,11,14,5,13,0.5581395348837209,0.42715894169509605,0.0,1.0
ZERO_ONE,1.0,0.02,43,0.5813953488372093,0.5975877192982456,0.2958841424692285,2.590586440219361,24,19,16,27,0.4583333333333333,0.7368421052631579,11,14,5,13,0.5581395348837209,0.43399488529344143,0.0,0.9999999999999999
ZERO_ONE,1.0,0.01,43,0.5813953488372093,0.5975877192982456,0.29721866364346194,2.594152709027259,24,19,16,27,0.4583333333333333,0.7368421052631579,11,14,5,13,0.5581395348837209,0.43207063390035083,0.0,1.0
ZERO_ONE,2.0,0.1,43,0.5813953488372093,0.5975877192982456,0.30122599201334255,2.6201506468928675,24,19,16,27,0.4583333333333333,0.7368421052631579,11,14,5,13,0.5581395348837209,0.42829513273835945,0.0,1.0
ZERO_ONE,4.0,0.01,43,0.5813953488372093,0.5975877192982456,0.3020289411665553,2.767686593607873,24,19,16,27,0.4583333333333333,0.7368421052631579,11,14,5,13,0.5581395348837209,0.43348145734637805,0.0,1.0
ZERO_ONE,4.0,0.2,43,0.5813953488372093,0.5975877192982456,0.30228490816380466,2.605022033469487,24,19,16,27,0.4583333333333333,0.7368421052631579,11,14,5,13,0.5581395348837209,0.42688280908010795,0.0,1.0
