target_week,origin_close,actual,previous,k_star,bootstrap_loss,k_ties,bootstrap_matches,p_up,pred,final_order,context_count,active_depth,support,trans_down,trans_up,initial_order,initial_context_count
2025-01-06,2024-12-31,1,1,0.54,0.206000,5,794,0.600000000000,1,6,15,4,5,2,3,6,17
2025-01-13,2025-01-10,1,1,1.40,0.175000,1,825,0.555555555556,1,3,5,1,27,12,15,6,19
2025-01-20,2025-01-17,1,1,1.40,0.162000,1,838,0.571428571429,1,3,4,1,28,12,16,6,19
2025-01-27,2025-01-24,1,1,0.94,0.297000,1,703,1.000000000000,1,6,13,5,1,0,1,6,17
2025-02-03,2025-01-31,1,1,0.82,0.292000,2,708,0.000000000000,0,6,13,5,1,1,0,6,17
2025-02-10,2025-02-07,1,1,0.44,0.290000,1,710,0.750000000000,1,6,17,4,4,1,3,6,17
2025-02-17,2025-02-14,1,1,0.40,0.000000,106,1000,1.000000000000,1,6,18,6,1,0,1,6,18
2025-02-24,2025-02-21,0,1,0.40,0.000000,106,1000,1.000000000000,1,6,18,6,2,0,2,6,18
2025-03-03,2025-02-28,1,0,0.46,0.313000,5,687,0.000000000000,0,6,15,5,1,1,0,6,15
2025-03-10,2025-03-07,1,1,0.86,0.304000,1,696,1.000000000000,1,5,9,3,3,0,3,6,16
2025-03-17,2025-03-14,1,1,0.42,0.263000,2,737,1.000000000000,1,6,17,5,1,0,1,6,17
2025-03-24,2025-03-21,1,1,0.82,0.249000,2,751,0.000000000000,0,5,9,5,2,2,0,6,17
2025-03-31,2025-03-28,0,1,0.68,0.308000,7,692,0.800000000000,1,6,12,4,5,1,4,6,17
2025-04-07,2025-04-04,1,0,0.40,0.275000,3,725,1.000000000000,1,6,15,5,1,0,1,6,15
2025-04-14,2025-04-11,1,1,0.66,0.252000,1,748,1.000000000000,1,6,12,3,4,0,4,6,15
2025-04-21,2025-04-18,0,1,0.94,0.255000,2,745,0.633333333333,1,5,9,1,30,11,19,6,16
2025-04-28,2025-04-25,0,0,1.04,0.304000,3,696,0.000000000000,0,4,7,4,2,2,0,6,14
2025-05-05,2025-05-02,1,0,1.08,0.291000,4,709,1.000000000000,1,5,8,5,1,0,1,6,15
2025-05-12,2025-05-09,0,1,2.06,0.272000,1,728,0.636363636364,1,3,4,2,11,4,7,6,17
2025-05-19,2025-05-16,1,0,1.04,0.251000,4,749,1.000000000000,1,6,10,6,1,0,1,6,18
2025-05-26,2025-05-23,0,1,1.40,0.249000,3,751,1.000000000000,1,3,4,3,5,0,5,6,17
2025-06-02,2025-05-30,1,0,1.68,0.280000,1,720,0.596153846154,1,0,1,0,52,21,31,6,18
2025-06-09,2025-06-06,1,1,0.82,0.315000,2,685,0.500000000000,1,5,9,4,2,1,1,6,18
2025-06-16,2025-06-13,0,1,0.76,0.213000,1,787,0.000000000000,0,6,14,5,1,1,0,6,18
2025-06-23,2025-06-20,0,0,0.44,0.237000,8,763,0.000000000000,0,6,18,4,2,2,0,6,18
2025-06-30,2025-06-27,1,0,0.40,0.241000,6,759,1.000000000000,1,6,18,5,2,0,2,6,18
2025-07-07,2025-07-04,1,1,2.40,0.280000,1,720,0.596153846154,1,0,1,0,52,21,31,8,20
2025-07-14,2025-07-11,0,1,2.38,0.266000,2,734,0.596153846154,1,0,1,0,52,21,31,8,20
2025-07-21,2025-07-18,0,0,1.42,0.270000,1,730,0.000000000000,0,4,5,4,3,3,0,8,21
2025-07-28,2025-07-25,1,0,1.40,0.318000,2,682,0.600000000000,1,4,5,1,20,8,12,5,15
2025-08-04,2025-08-01,1,1,2.22,0.327000,1,673,0.596153846154,1,0,1,0,52,21,31,5,12
2025-08-11,2025-08-08,0,1,0.52,0.255000,3,745,0.000000000000,0,7,17,7,1,1,0,7,17
2025-08-18,2025-08-15,1,0,0.82,0.258000,4,742,0.000000000000,0,6,13,4,3,3,0,6,16
2025-08-25,2025-08-22,1,1,1.26,0.275000,1,725,0.596153846154,1,2,3,0,52,21,31,6,17
2025-09-01,2025-08-29,1,1,0.52,0.304000,3,696,0.500000000000,1,6,17,3,8,4,4,6,17
2025-09-08,2025-09-05,1,1,0.52,0.307000,3,693,0.578947368421,1,6,17,2,19,8,11,6,17
2025-09-15,2025-09-12,1,1,0.44,0.278000,1,722,0.000000000000,0,6,20,6,1,1,0,6,20
2025-09-22,2025-09-19,1,1,0.40,0.288000,4,712,1.000000000000,1,6,22,6,1,0,1,6,22
2025-09-29,2025-09-26,1,1,1.06,0.265000,3,735,0.634615384615,1,0,1,0,52,19,33,7,22
2025-10-06,2025-10-03,1,1,0.82,0.234000,3,766,1.000000000000,1,8,13,8,1,0,1,8,22
2025-10-13,2025-10-10,1,1,0.70,0.211000,6,789,0.000000000000,0,8,18,8,1,1,0,8,21
2025-10-20,2025-10-17,0,1,1.12,0.225000,2,775,0.714285714286,1,4,7,2,21,6,15,8,20
2025-10-27,2025-10-24,0,0,0.76,0.234000,3,766,1.000000000000,1,8,16,4,2,0,2,8,19
2025-11-03,2025-10-31,1,0,0.76,0.251000,3,749,1.000000000000,1,8,13,2,6,0,6,8,18
2025-11-10,2025-11-07,1,1,0.76,0.251000,3,749,0.666666666667,1,8,13,1,33,11,22,8,18
2025-11-17,2025-11-14,0,1,1.02,0.230000,1,770,0.000000000000,0,8,13,6,2,2,0,8,18
2025-11-24,2025-11-21,1,0,1.32,0.254000,1,746,0.647058823529,1,2,3,1,17,6,11,8,18
2025-12-01,2025-11-28,0,1,0.82,0.241000,5,759,1.000000000000,1,8,18,4,3,0,3,8,18
2025-12-08,2025-12-05,1,0,0.88,0.225000,2,775,1.000000000000,1,8,13,3,2,0,2,8,19
2025-12-15,2025-12-12,1,1,1.04,0.205000,2,795,1.000000000000,1,5,9,5,1,0,1,8,19
2025-12-22,2025-12-19,1,1,1.34,0.204000,2,796,0.000000000000,0,5,8,5,1,1,0,8,19
2025-12-29,2025-12-26,0,1,0.82,0.266000,3,734,0.666666666667,1,5,9,2,24,8,16,8,18
