"target_week","origin_week","p_up","forecast_up","actual_up","previous_up","active_context","active_context_depth","active_context_support","active_trans_down","active_trans_up","threshold_gen","initial_depth","initial_leaves","final_depth","final_leaves","branch_tests","branches_pruned"
"2025-01-06","2024-12-30",0.519230769230769,1,1,1,"ROOT",0,104,50,54,5,5,12,0,0,32,32
"2025-01-13","2025-01-06",0.519230769230769,1,1,1,"ROOT",0,104,50,54,5,5,12,0,0,32,32
"2025-01-20","2025-01-13",0.519230769230769,1,1,1,"ROOT",0,104,50,54,5,5,13,0,0,33,33
"2025-01-27","2025-01-20",0.528846153846154,1,1,1,"ROOT",0,104,49,55,5,5,13,0,0,33,33
"2025-02-03","2025-01-27",0.538461538461538,1,1,1,"ROOT",0,104,48,56,5,5,14,0,0,34,34
"2025-02-10","2025-02-03",0.548076923076923,1,1,1,"ROOT",0,104,47,57,5,5,14,0,0,34,34
"2025-02-17","2025-02-10",0.557692307692308,1,1,1,"ROOT",0,104,46,58,5,5,14,0,0,34,34
"2025-02-24","2025-02-17",0.567307692307692,1,0,1,"ROOT",0,104,45,59,5,5,14,0,0,35,35
"2025-03-03","2025-02-24",0.557692307692308,1,1,0,"ROOT",0,104,46,58,5,5,14,0,0,35,35
"2025-03-10","2025-03-03",1,1,1,1,"11101",5,4,0,4,5,5,14,5,1,32,31
"2025-03-17","2025-03-10",1,1,1,1,"111011",6,4,0,4,5,6,14,6,2,29,27
"2025-03-24","2025-03-17",0.567307692307692,1,1,1,"ROOT",0,104,45,59,5,7,14,6,2,31,29
"2025-03-31","2025-03-24",0.576923076923077,1,0,1,"ROOT",0,104,44,60,5,7,14,6,2,31,29
"2025-04-07","2025-03-31",0.567307692307692,1,1,0,"ROOT",0,104,45,59,5,7,14,6,2,31,29
"2025-04-14","2025-04-07",1,1,1,1,"101",3,8,0,8,5,7,14,6,2,33,31
"2025-04-21","2025-04-14",1,1,0,1,"111011",6,5,0,5,5,7,13,6,2,30,28
"2025-04-28","2025-04-21",0.576923076923077,1,0,0,"ROOT",0,104,44,60,5,7,13,5,1,34,33
"2025-05-05","2025-04-28",0.567307692307692,1,1,0,"ROOT",0,104,45,59,5,7,14,5,1,35,34
"2025-05-12","2025-05-05",0.576923076923077,1,0,1,"ROOT",0,104,44,60,5,7,14,5,1,36,35
"2025-05-19","2025-05-12",0.576923076923077,1,1,0,"ROOT",0,104,44,60,5,7,14,5,1,36,35
"2025-05-26","2025-05-19",0.586538461538462,1,0,1,"ROOT",0,104,43,61,5,7,13,5,1,35,34
"2025-06-02","2025-05-26",0.576923076923077,1,1,0,"ROOT",0,104,44,60,5,7,13,5,2,31,29
"2025-06-09","2025-06-02",0.576923076923077,1,1,1,"ROOT",0,104,44,60,5,7,13,5,1,33,32
"2025-06-16","2025-06-09",0.586538461538462,1,0,1,"ROOT",0,104,43,61,5,7,12,5,1,32,31
"2025-06-23","2025-06-16",0.586538461538462,1,0,0,"ROOT",0,104,43,61,5,7,11,5,1,31,30
"2025-06-30","2025-06-23",0.586538461538462,1,1,0,"ROOT",0,104,43,61,5,7,12,5,1,32,31
"2025-07-07","2025-06-30",0.586538461538462,1,1,1,"ROOT",0,104,43,61,5,7,11,5,1,31,30
"2025-07-14","2025-07-07",0.586538461538462,1,0,1,"ROOT",0,104,43,61,5,7,11,5,1,31,30
"2025-07-21","2025-07-14",0.576923076923077,1,1,0,"ROOT",0,104,44,60,5,7,11,5,1,31,30
"2025-07-28","2025-07-21",0.586538461538462,1,1,1,"ROOT",0,104,43,61,5,7,11,5,1,31,30
"2025-08-04","2025-07-28",0.596153846153846,1,1,1,"ROOT",0,104,42,62,5,7,10,5,1,30,29
"2025-08-11","2025-08-04",0.605769230769231,1,0,1,"ROOT",0,104,41,63,5,7,10,7,2,25,23
"2025-08-18","2025-08-11",0.605769230769231,1,1,0,"ROOT",0,104,41,63,5,7,10,5,1,31,30
"2025-08-25","2025-08-18",0.605769230769231,1,1,1,"ROOT",0,104,41,63,5,7,10,0,0,35,35
"2025-09-01","2025-08-25",0.605769230769231,1,1,1,"ROOT",0,104,41,63,5,7,10,5,1,31,30
"2025-09-08","2025-09-01",0.615384615384615,1,1,1,"ROOT",0,104,40,64,5,7,10,5,1,30,29
"2025-09-15","2025-09-08",0.615384615384615,1,1,1,"ROOT",0,104,40,64,5,7,11,5,1,31,30
"2025-09-22","2025-09-15",0.615384615384615,1,1,1,"ROOT",0,104,40,64,5,7,11,5,1,31,30
"2025-09-29","2025-09-22",0.625,1,1,1,"ROOT",0,104,39,65,5,7,11,5,1,31,30
"2025-10-06","2025-09-29",0.634615384615385,1,1,1,"ROOT",0,104,38,66,5,7,10,5,1,31,30
"2025-10-13","2025-10-06",0.634615384615385,1,1,1,"ROOT",0,104,38,66,5,7,10,5,1,31,30
"2025-10-20","2025-10-13",0.634615384615385,1,0,1,"ROOT",0,104,38,66,5,7,10,5,1,32,31
"2025-10-27","2025-10-20",0.625,1,0,0,"ROOT",0,104,39,65,5,7,10,5,1,32,31
"2025-11-03","2025-10-27",0.615384615384615,1,1,0,"ROOT",0,104,40,64,5,7,10,5,1,32,31
"2025-11-10","2025-11-03",0.625,1,1,1,"ROOT",0,104,39,65,5,7,10,5,1,32,31
"2025-11-17","2025-11-10",0.625,1,0,1,"ROOT",0,104,39,65,5,7,10,5,1,31,30
"2025-11-24","2025-11-17",0.615384615384615,1,1,0,"ROOT",0,104,40,64,5,7,10,5,1,31,30
"2025-12-01","2025-11-24",0.615384615384615,1,0,1,"ROOT",0,104,40,64,5,7,10,5,1,31,30
"2025-12-08","2025-12-01",0.615384615384615,1,1,0,"ROOT",0,104,40,64,5,7,10,5,1,31,30
"2025-12-15","2025-12-08",0.615384615384615,1,1,1,"ROOT",0,104,40,64,5,7,11,5,1,31,30
"2025-12-22","2025-12-15",0.615384615384615,1,1,1,"ROOT",0,104,40,64,5,7,11,5,1,31,30
"2025-12-29","2025-12-22",0.615384615384615,1,0,1,"ROOT",0,104,40,64,5,7,11,5,1,31,30
