"target_week","origin_week","p_up","forecast_up","actual_up","previous_up","active_context","active_context_depth","active_context_support","active_trans_down","active_trans_up","threshold_gen","initial_depth","initial_leaves","final_depth","final_leaves","branch_tests","branches_pruned"
"2024-03-04","2024-02-26",0.490384615384615,0,1,1,"ROOT",0,104,53,51,5,5,14,0,0,33,33
"2024-03-11","2024-03-04",0.490384615384615,0,0,1,"ROOT",0,104,53,51,5,5,14,0,0,34,34
"2024-03-18","2024-03-11",0.490384615384615,0,1,0,"ROOT",0,104,53,51,5,5,14,0,0,34,34
"2024-03-25","2024-03-18",0.490384615384615,0,1,1,"ROOT",0,104,53,51,5,5,14,0,0,34,34
"2024-04-01","2024-03-25",0.5,1,1,1,"ROOT",0,104,52,52,5,5,14,0,0,33,33
"2024-04-08","2024-04-01",0.5,1,1,1,"ROOT",0,104,52,52,5,5,14,0,0,33,33
"2024-04-15","2024-04-08",0.5,1,1,1,"ROOT",0,104,52,52,5,5,15,0,0,33,33
"2024-04-22","2024-04-15",0.509615384615385,1,0,1,"ROOT",0,104,51,53,5,5,15,0,0,32,32
"2024-04-29","2024-04-22",0.509615384615385,1,0,0,"ROOT",0,104,51,53,5,5,14,0,0,31,31
"2024-05-06","2024-04-29",0,0,1,0,"11100",5,4,4,0,5,5,14,5,1,27,26
"2024-05-13","2024-05-06",0.519230769230769,1,1,1,"ROOT",0,104,50,54,5,5,14,0,0,31,31
"2024-05-20","2024-05-13",0.519230769230769,1,0,1,"ROOT",0,104,50,54,5,5,14,0,0,31,31
"2024-05-27","2024-05-20",0.509615384615385,1,0,0,"ROOT",0,104,51,53,5,5,14,0,0,32,32
"2024-06-03","2024-05-27",0.509615384615385,1,0,0,"ROOT",0,104,51,53,5,5,14,0,0,32,32
"2024-06-10","2024-06-03",0.5,1,1,0,"ROOT",0,104,52,52,5,5,14,0,0,32,32
"2024-06-17","2024-06-10",0.509615384615385,1,0,1,"ROOT",0,104,51,53,5,5,14,0,0,32,32
"2024-06-24","2024-06-17",0.509615384615385,1,1,0,"ROOT",0,104,51,53,5,5,13,0,0,32,32
"2024-07-01","2024-06-24",0.519230769230769,1,1,1,"ROOT",0,104,50,54,5,5,13,0,0,32,32
"2024-07-08","2024-07-01",0.528846153846154,1,1,1,"ROOT",0,104,49,55,5,5,13,0,0,31,31
"2024-07-15","2024-07-08",0.538461538461538,1,0,1,"ROOT",0,104,48,56,5,5,13,0,0,31,31
"2024-07-22","2024-07-15",0.528846153846154,1,0,0,"ROOT",0,104,49,55,5,5,13,0,0,32,32
"2024-07-29","2024-07-22",0.519230769230769,1,1,0,"ROOT",0,104,50,54,5,5,13,0,0,32,32
"2024-08-05","2024-07-29",0.519230769230769,1,0,1,"ROOT",0,104,50,54,5,5,13,0,0,32,32
"2024-08-12","2024-08-05",0.509615384615385,1,1,0,"ROOT",0,104,51,53,5,5,13,0,0,32,32
"2024-08-19","2024-08-12",0.519230769230769,1,1,1,"ROOT",0,104,50,54,5,5,13,0,0,32,32
"2024-08-26","2024-08-19",0.528846153846154,1,0,1,"ROOT",0,104,49,55,5,5,13,0,0,32,32
"2024-09-02","2024-08-26",0.528846153846154,1,0,0,"ROOT",0,104,49,55,5,5,13,0,0,32,32
"2024-09-09","2024-09-02",0.519230769230769,1,1,0,"ROOT",0,104,50,54,5,5,13,0,0,32,32
"2024-09-16","2024-09-09",0.528846153846154,1,1,1,"ROOT",0,104,49,55,5,5,13,0,0,32,32
"2024-09-23","2024-09-16",0.538461538461538,1,1,1,"ROOT",0,104,48,56,5,5,13,0,0,32,32
"2024-09-30","2024-09-23",0.538461538461538,1,0,1,"ROOT",0,104,48,56,5,5,13,0,0,32,32
"2024-10-07","2024-09-30",0.528846153846154,1,1,0,"ROOT",0,104,49,55,5,5,13,0,0,32,32
"2024-10-14","2024-10-07",0.538461538461538,1,1,1,"ROOT",0,104,48,56,5,5,13,0,0,31,31
"2024-10-21","2024-10-14",0.548076923076923,1,1,1,"ROOT",0,104,47,57,5,5,13,0,0,32,32
"2024-10-28","2024-10-21",0.548076923076923,1,0,1,"ROOT",0,104,47,57,5,5,14,0,0,33,33
"2024-11-04","2024-10-28",0.548076923076923,1,0,0,"ROOT",0,104,47,57,5,5,14,0,0,33,33
"2024-11-11","2024-11-04",0.538461538461538,1,0,0,"ROOT",0,104,48,56,5,5,14,0,0,33,33
"2024-11-18","2024-11-11",0.528846153846154,1,1,0,"ROOT",0,104,49,55,5,5,14,0,0,33,33
"2024-11-25","2024-11-18",0.538461538461538,1,0,1,"ROOT",0,104,48,56,5,5,14,0,0,33,33
"2024-12-02","2024-11-25",0.528846153846154,1,0,0,"ROOT",0,104,49,55,5,5,14,0,0,34,34
"2024-12-09","2024-12-02",0.528846153846154,1,1,0,"ROOT",0,104,49,55,5,5,13,0,0,33,33
"2024-12-16","2024-12-09",0.538461538461538,1,0,1,"ROOT",0,104,48,56,5,5,13,0,0,33,33
"2024-12-23","2024-12-16",0.528846153846154,1,0,0,"ROOT",0,104,49,55,5,5,12,0,0,32,32
"2024-12-30","2024-12-23",0.519230769230769,1,1,0,"ROOT",0,104,50,54,5,5,12,0,0,32,32
