evaluation_year,origin_date,target_date,actual_up,actual_high_risk,sqrt_score,router_up,router_selected_expert,TTSM_S2_down,TTSM_S2_score,TTSM_S1_down,TTSM_S1_score,TSM_down,TSM_score,BONATO_AR1_RM_QBOOST_H1_down,BONATO_AR1_RM_QBOOST_H1_score,BONATO_AR1_QBOOST_H1_down,BONATO_AR1_QBOOST_H1_score,AR1_RM_LOGIT_down,AR1_RM_LOGIT_score,RM_LOGIT_down,RM_LOGIT_score,RV_LOGIT_down,RV_LOGIT_score,RSK_LOGIT_down,RSK_LOGIT_score,AR1_LOGIT_down,AR1_LOGIT_score
2022,2022-02-24,2022-02-28,0,1,1.3886254071917998,0,,0,0.0,0,0.0,0,1.0,1,-0.0018862095981381514,1,-0.0022684524873005396,0,0.5317713599319566,0,0.5433075823135132,0,0.5493155512630398,0,0.5056023460685687,1,0.4938631227281635
2022,2022-03-02,2022-03-03,1,1,1.2551675651079088,0,,0,0.0,0,0.0,0,1.0,1,-0.002524771707595494,1,-0.000893549014364874,0,0.5117372278733754,0,0.5105101164462518,0,0.5326593567935693,1,0.49736487473341057,0,0.5110091046423932
2022,2022-03-03,2022-03-07,1,1,1.0650787300437408,0,,0,0.0,0,0.0,0,1.0,1,-0.00086887421191152,0,0.0018607477448714731,0,0.5448222788388656,0,0.5220620215049001,0,0.5330767349531135,0,0.5160845438525846,0,0.5496754190373873
2022,2022-03-07,2022-03-08,1,1,1.2998887589614305,0,,0,0.0,0,0.0,0,1.0,0,0.001020239414803247,0,0.0032862486223729313,0,0.6296487487994727,0,0.5649840437209943,0,0.5429013543717401,0,0.5368081449799482,0,0.6032938724392962
2022,2022-03-08,2022-03-09,0,1,2.118256830499105,0,,0,0.0,0,0.0,0,1.0,0,0.00014235936108247392,0,0.004606023262234921,0,0.6697769880219642,0,0.5819286933137047,0,0.561649029621174,0,0.5266941430713243,0,0.62050863255756
2022,2022-03-09,2022-03-10,1,1,2.1834485029706134,0,,0,0.0,0,0.0,0,1.0,1,-2.8835195489808427e-06,1,-0.00301849491265219,1,0.4834757477382032,0,0.5508625300726847,0,0.5382730060296059,0,0.5249119385711529,1,0.43443739783247876
2022,2022-03-10,2022-03-14,0,1,1.7090214649110764,0,,0,0.0,0,0.0,0,1.0,0,0.0013929615232710043,0,0.0009256127081947303,0,0.5754655818744892,0,0.5668210211611582,0,0.5439286657593089,0,0.540862386451427,0,0.5427278512837259
2022,2022-03-14,2022-03-15,0,1,1.5572377918497973,0,,0,0.0,0,0.0,0,1.0,1,-2.8171556721891472e-05,1,-0.000532971011288474,0,0.5010133158119076,0,0.5323487016447929,0,0.5339500139880434,0,0.5244310232438292,1,0.4818691447465053
2022,2022-03-15,2022-03-16,1,1,1.5268817129504901,0,,0,0.0,0,0.0,0,1.0,0,0.00046693721902258225,1,-0.0016692761350903483,0,0.5193474073237596,0,0.539452908102301,0,0.5319419152272616,0,0.5300179623709166,1,0.49988838785650436
2022,2022-03-16,2022-03-17,0,0,1.4822032803405054,0,,0,0.0,0,0.0,0,1.0,1,-0.0018774045421367346,0,0.0010976174819855517,0,0.5409624029055342,0,0.516063283241889,0,0.536124548738994,0,0.5029810734386571,0,0.5510699635585706
2022,2022-10-13,2022-10-17,0,0,1.168096977641481,0,,0,0.0,1,-1.0,1,-1.0,1,-0.009776120033715512,0,0.0003726737318152779,1,0.47270723907371603,1,0.4477773694255052,0,0.5563064468510364,1,0.4168265230266039,0,0.5174892824866639
2023,2023-03-20,2023-03-21,0,1,1.146032878619783,0,,0,0.0,0,0.0,0,1.0,0,4.662313772961935e-05,0,0.004049982809025013,0,0.5946125149201127,0,0.5612872980962007,0,0.5563344192235574,0,0.5242883964654693,0,0.5954355395839277
2023,2023-03-21,2023-03-23,1,0,1.058716904340701,0,,0,0.0,0,0.0,0,1.0,1,-0.0025766191902624924,1,-0.001987164476626061,1,0.4941926720772807,0,0.5085568647922436,0,0.5395647839734389,1,0.496105897211318,1,0.4824467211594216
2024,2024-04-10,2024-04-11,1,0,1.4657424170034918,0,,0,0.0,0,0.0,0,1.0,1,-0.002234135005921403,1,-0.00015094553040499714,0,0.5711539459389352,0,0.570189428435897,0,0.5904758938602345,1,0.4950196607728205,0,0.5136593565547994
2024,2024-04-11,2024-04-15,1,1,1.0202846608764795,0,,0,0.0,0,0.0,0,1.0,0,0.0024627480707252263,0,0.0026568402277357905,0,0.5862915578071342,0,0.5736306395740315,0,0.5493175244374607,0,0.5404195623496257,0,0.5481462020443216
2024,2024-04-15,2024-04-16,0,1,1.3537407758846487,0,,0,0.0,0,0.0,0,1.0,1,-0.0010439032932526016,0,0.0005409577940407668,0,0.5739808326578435,0,0.5700526823341382,0,0.5796929360762766,0,0.5075120097653683,0,0.5230852075509215
2024,2024-04-16,2024-04-17,0,1,1.269918036192459,0,,0,0.0,0,0.0,0,1.0,0,0.00016851910039850044,1,-8.118309049928583e-05,0,0.5601708618107754,0,0.5622761617798306,0,0.5607289929635642,0,0.5184383441313122,0,0.514879175137894
2024,2024-04-17,2024-04-18,1,1,1.2223221218895908,0,,0,0.0,0,0.0,0,1.0,1,-0.0016715267526720065,1,-0.00013690429814719094,0,0.5277269113087405,0,0.5278648035685164,0,0.5465037423047857,0,0.5002995417180912,0,0.5138048307779477
2024,2024-04-18,2024-04-22,0,1,1.210143654969699,0,,0,0.0,0,0.0,0,1.0,0,0.00019615751155262827,0,0.0013251471694048923,0,0.5736662712892487,0,0.5664705074255637,0,0.5642940908681526,0,0.5186517312090229,0,0.5317481009134286
2024,2024-04-22,2024-04-23,1,0,1.538317545702139,0,,0,0.0,0,0.0,0,1.0,1,-0.0033220121116799544,1,-0.005079720007627366,0,0.5050558868389106,0,0.5349196051002936,0,0.56856127153823,1,0.4844033621661243,1,0.4540252026505507
2024,2024-04-23,2024-04-24,0,1,1.0504016635972275,0,,0,0.0,0,0.0,0,1.0,0,0.0018248613790095246,0,0.0016091932903882689,0,0.5647704030366563,0,0.5587050426568371,0,0.5414634112901041,0,0.5341888721386683,0,0.5357220099735255
2024,2024-04-24,2024-04-25,1,0,1.1439783895481928,0,,0,0.0,0,0.0,0,1.0,1,-0.0018140913830654696,1,-0.0003907023786826598,0,0.5208904178568067,0,0.5228702292157367,0,0.5434584585302522,1,0.49888055265457865,0,0.5101608838857832
2024,2024-04-25,2024-04-29,0,0,1.0491804351295204,0,,0,0.0,0,0.0,0,1.0,0,0.0024185644801021544,0,0.0013168977931427423,0,0.5752774372330288,0,0.5715633327778321,0,0.5476912755525271,0,0.5397643613957948,0,0.5322278581007944
2024,2024-05-23,2024-05-27,1,0,1.1283352479560735,0,,0,0.0,1,-1.0,1,-1.0,1,-0.0018965265304305284,1,-0.0011173817670793497,0,0.5269431804462804,0,0.5302092497669378,0,0.5515204620581983,1,0.49654970474130045,0,0.5001560266118568
2024,2024-08-05,2024-08-06,0,1,1.281050154385436,0,,0,0.0,0,0.0,0,1.0,1,-0.0010040284603528445,1,-0.0008236969099119157,0,0.5621117899270733,0,0.5659806657646158,0,0.5734308887391208,0,0.5140788534940691,0,0.5043651955637967
2024,2024-11-06,2024-11-07,1,0,1.1705370674158824,0,,0,0.0,0,0.0,1,-1.0,1,-0.0007946591457503941,1,-0.0029399761132735632,0,0.5389745704521038,0,0.5608448189196891,0,0.5672728328918032,0,0.5196638019429787,1,0.47809270244874036
