source_class,origin_date,target_date,evaluation_year,formation_n,sqrt_forecast,q80,q90,sqrt_normalized_risk_score,risk_regime,recent20_n,recent20_high_count,persistent_state,actual_direction,router_up,selected_expert,legacy_bucket,selected_lcb_router,selected_precision_router,selected_fpr_router,selected_history_source_router,competence_n,competence_tp,competence_precision,competence_lcb90,competence_authorized,FAST_UP,SLOW_UP,MONTHLY_UP,action_reason,action
EXTERNAL_RESEARCH_V2,2020-01-08,2020-01-09,2020,498,3.9034848202655376e-05,2.860861230028183e-05,4.226816010694759e-05,1.3644439580968712,HIGH_NON_EXTREME,20,5,NON_PERSISTENT,DOWN,0,,CONSENSUS_UP,,,,,0,0,,,0,1,1,1,ROUTER_ABSTAIN,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-01-09,2020-01-10,2020,498,3.9898332216821805e-05,2.860861230028183e-05,4.226816010694759e-05,1.3946266179582838,HIGH_NON_EXTREME,20,5,NON_PERSISTENT,UP,0,,CONSENSUS_UP,,,,,0,0,,,0,1,1,1,ROUTER_ABSTAIN,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-01-10,2020-01-13,2020,498,3.611441966868214e-05,2.860861230028183e-05,4.226816010694759e-05,1.2623618122269555,HIGH_NON_EXTREME,20,4,NON_PERSISTENT,DOWN,0,,CONSENSUS_UP,,,,,0,0,,,0,1,1,1,ROUTER_ABSTAIN,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-01-13,2020-01-14,2020,498,3.445783656571915e-05,2.860861230028183e-05,4.226816010694759e-05,1.2044567630209626,HIGH_NON_EXTREME,20,4,NON_PERSISTENT,UP,0,,CONSENSUS_UP,,,,,0,0,,,0,1,1,1,ROUTER_ABSTAIN,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-02-24,2020-02-25,2020,498,3.429820653835549e-05,2.860861230028183e-05,4.226816010694759e-05,1.198876973771203,HIGH_NON_EXTREME,20,4,NON_PERSISTENT,DOWN,0,,CONSENSUS_UP,,,,,0,0,,,0,1,1,1,ROUTER_ABSTAIN,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-02-25,2020-02-26,2020,498,4.7731298801735485e-05,2.860861230028183e-05,4.226816010694759e-05,1.6684241200075711,EXTREME,20,5,NON_PERSISTENT,UP,0,,CONSENSUS_UP,,,,,0,0,,,0,1,1,1,ROUTER_ABSTAIN,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-02-26,2020-02-27,2020,498,5.128685441199773e-05,2.860861230028183e-05,4.226816010694759e-05,1.7927068210677417,EXTREME,20,6,NON_PERSISTENT,DOWN,0,,CONSENSUS_UP,,,,,0,0,,,0,1,1,1,ROUTER_ABSTAIN,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-02-27,2020-02-28,2020,498,6.169098733690889e-05,2.860861230028183e-05,4.226816010694759e-05,2.1563781804369855,EXTREME,20,6,NON_PERSISTENT,DOWN,0,,CONSENSUS_UP,,,,,0,0,,,0,1,1,1,ROUTER_ABSTAIN,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-02-28,2020-03-02,2020,498,9.658993409429675e-05,2.860861230028183e-05,4.226816010694759e-05,3.3762537336823297,EXTREME,20,7,NON_PERSISTENT,UP,1,BONATO_AR1_RM_QBOOST_H1,NON_CONSENSUS_UP,0.47512849219942466,0.5789473684210527,0.27586206896551724,BUCKET,0,0,,,0,0,0,1,NON_PERSISTENT_REFERENCE_AUTHORITY,SUPPRESS_DOWN
EXTERNAL_RESEARCH_V2,2020-03-02,2020-03-03,2020,498,7.83290317500014e-05,2.860861230028183e-05,4.226816010694759e-05,2.737952855868852,EXTREME,20,8,NON_PERSISTENT,UP,1,BONATO_AR1_RM_QBOOST_H1,NON_CONSENSUS_UP,0.4871711260778186,0.5897435897435898,0.27586206896551724,BUCKET,0,0,,,0,0,0,1,NON_PERSISTENT_REFERENCE_AUTHORITY,SUPPRESS_DOWN
