origin_date,target_date,actual_direction,router_up,selected_expert
2022-02-24,2022-02-28,DOWN,0,
2022-03-02,2022-03-03,UP,0,
2022-03-03,2022-03-07,UP,0,
2022-03-07,2022-03-08,UP,0,
2022-03-08,2022-03-09,DOWN,0,
2022-03-09,2022-03-10,UP,0,
2022-03-10,2022-03-14,DOWN,0,
2022-03-14,2022-03-15,DOWN,0,
2022-03-15,2022-03-16,UP,0,
2022-03-16,2022-03-17,DOWN,0,
2022-10-13,2022-10-17,DOWN,0,
2023-03-20,2023-03-21,DOWN,0,
2023-03-21,2023-03-23,UP,0,
2024-04-10,2024-04-11,UP,0,
2024-04-11,2024-04-15,UP,0,
2024-04-15,2024-04-16,DOWN,0,
2024-04-16,2024-04-17,DOWN,0,
2024-04-17,2024-04-18,UP,0,
2024-04-18,2024-04-22,DOWN,0,
2024-04-22,2024-04-23,UP,0,
2024-04-23,2024-04-24,DOWN,0,
2024-04-24,2024-04-25,UP,0,
2024-04-25,2024-04-29,DOWN,0,
2024-05-23,2024-05-27,UP,0,
2024-08-05,2024-08-06,DOWN,0,
2024-08-06,2024-08-07,UP,1,RM_LOGIT
2024-11-06,2024-11-07,UP,0,
2024-11-12,2024-11-13,DOWN,1,RM_LOGIT
2024-11-13,2024-11-14,UP,1,RM_LOGIT
2024-11-25,2024-11-26,UP,1,RM_LOGIT
