source_class,evaluation_year,origin_date,target_date,formation_n,q80,sqrt_forecast,sqrt_normalized_risk_score,sqrt_alarm,target_dr,realized_high_risk,target_return,actual_direction,alarm_semantic_category
EXTERNAL_RESEARCH_V2,2020,2019-12-31,2020-01-01,498,2.860861230028183e-05,1.0324953168658642e-05,0.36090366985598005,0,2.29401639934056e-06,0,0.0014191241678551158,UP,
EXTERNAL_RESEARCH_V2,2020,2020-01-01,2020-01-02,498,2.860861230028183e-05,9.057627363665539e-06,0.3166049184278788,0,1.194550056602248e-05,0,0.01258157895476882,UP,
EXTERNAL_RESEARCH_V2,2020,2020-01-02,2020-01-03,498,2.860861230028183e-05,1.0237564630616856e-05,0.3578490464046732,0,2.336030568063459e-05,0,0.008605626673092096,UP,
EXTERNAL_RESEARCH_V2,2020,2020-01-03,2020-01-06,498,2.860861230028183e-05,1.224898661080292e-05,0.42815731438613863,0,5.619679918529191e-05,1,0.004591737972281816,UP,
EXTERNAL_RESEARCH_V2,2020,2020-01-06,2020-01-07,498,2.860861230028183e-05,1.8371079716360026e-05,0.6421520737718218,0,9.371650466531953e-05,1,0.021533569764776224,UP,
EXTERNAL_RESEARCH_V2,2020,2020-01-07,2020-01-08,498,2.860861230028183e-05,2.5614034257066878e-05,0.8953259944319127,0,0.0001277447473650297,1,-0.022068246206061508,DOWN,
EXTERNAL_RESEARCH_V2,2020,2020-01-08,2020-01-09,498,2.860861230028183e-05,3.9034848202655376e-05,1.3644439580968712,1,5.338983494295844e-05,1,-0.007273883396788582,DOWN,RISK_HIT_DOWN_CLOSE
EXTERNAL_RESEARCH_V2,2020,2020-01-09,2020-01-10,498,2.860861230028183e-05,3.9898332216821805e-05,1.3946266179582838,1,1.813814815403669e-05,0,0.009638791585060126,UP,RISK_MISS_UP_CLOSE
EXTERNAL_RESEARCH_V2,2020,2020-01-10,2020-01-13,498,2.860861230028183e-05,3.611441966868214e-05,1.2623618122269555,1,2.847453600195525e-05,0,-0.014924603372889046,DOWN,RISK_MISS_DOWN_CLOSE
EXTERNAL_RESEARCH_V2,2020,2020-01-13,2020-01-14,498,2.860861230028183e-05,3.445783656571915e-05,1.2044567630209626,1,1.565116787307049e-05,0,0.008467198534514908,UP,RISK_MISS_UP_CLOSE
EXTERNAL_RESEARCH_V2,2020,2020-01-14,2020-01-15,498,2.860861230028183e-05,2.6904682157778038e-05,0.9404399582678463,0,1.464455540351102e-05,0,0.0024228005963371855,UP,
EXTERNAL_RESEARCH_V2,2020,2020-01-15,2020-01-16,498,2.860861230028183e-05,2.0132464592860754e-05,0.7037204175283408,0,1.447755795721291e-05,0,-9.22356096631115e-05,DOWN,
EXTERNAL_RESEARCH_V2,2020,2020-01-16,2020-01-17,498,2.860861230028183e-05,1.7442237392852863e-05,0.6096848462894873,0,1.065401802763718e-05,0,0.00102375607892504,UP,
EXTERNAL_RESEARCH_V2,2020,2020-01-17,2020-01-20,498,2.860861230028183e-05,1.6322662358373868e-05,0.5705506505190772,0,5.392234317174317e-06,0,0.005942228260765784,UP,
EXTERNAL_RESEARCH_V2,2020,2020-01-20,2020-01-21,498,2.860861230028183e-05,1.3519331132962837e-05,0.4725615835910243,0,2.732462127269376e-05,0,-0.008675006237124533,DOWN,
EXTERNAL_RESEARCH_V2,2020,2020-01-21,2020-01-22,498,2.860861230028183e-05,1.6786132948633945e-05,0.5867510375002909,0,1.533907945461631e-05,0,0.0037724859249471266,UP,
EXTERNAL_RESEARCH_V2,2020,2020-01-22,2020-01-23,498,2.860861230028183e-05,1.613654551822511e-05,0.5640450277298542,0,2.135395469892723e-05,0,0.0005281040785949542,UP,
EXTERNAL_RESEARCH_V2,2020,2020-01-23,2020-01-24,498,2.860861230028183e-05,1.7581125302195462e-05,0.6145396049853934,0,1.712484293592382e-05,0,0.00770633846104208,UP,
EXTERNAL_RESEARCH_V2,2020,2020-01-24,2020-01-27,498,2.860861230028183e-05,1.828306889626392e-05,0.6390756987567624,0,2.605172996662705e-05,0,0.004968138771362258,UP,
EXTERNAL_RESEARCH_V2,2020,2020-01-27,2020-01-28,498,2.860861230028183e-05,2.1627593966355038e-05,0.7559819308726827,0,2.605795704426459e-05,0,-0.009006616525468188,DOWN,
EXTERNAL_RESEARCH_V2,2020,2020-01-28,2020-01-29,498,2.860861230028183e-05,2.183525378691868e-05,0.7632405779676205,0,1.62380300115504e-05,0,0.008625448862485768,UP,
EXTERNAL_RESEARCH_V2,2020,2020-01-29,2020-01-30,498,2.860861230028183e-05,2.1302424389078333e-05,0.744615787913225,0,3.60975824847591e-05,1,-0.0046092383953502585,DOWN,
EXTERNAL_RESEARCH_V2,2020,2020-01-30,2020-01-31,498,2.860861230028183e-05,2.4545245336433812e-05,0.8579670023418792,0,2.392412657760271e-05,0,0.011345912113226199,UP,
EXTERNAL_RESEARCH_V2,2020,2020-01-31,2020-02-03,498,2.860861230028183e-05,2.477003362011615e-05,0.8658243664573739,0,2.496871618503501e-05,0,-0.00915972299516823,DOWN,
EXTERNAL_RESEARCH_V2,2020,2020-02-03,2020-02-04,498,2.860861230028183e-05,2.499455254867585e-05,0.8736723153967738,0,4.231929001078379e-05,1,-0.011460547079355602,DOWN,
EXTERNAL_RESEARCH_V2,2020,2020-02-04,2020-02-05,498,2.860861230028183e-05,2.797316136383595e-05,0.9777881244369333,0,2.973979787906233e-05,1,-0.0026095401371105734,DOWN,
EXTERNAL_RESEARCH_V2,2020,2020-02-05,2020-02-06,498,2.860861230028183e-05,2.8073874317579247e-05,0.9813084962986018,0,1.689519090375525e-05,0,0.008069839672970418,UP,
EXTERNAL_RESEARCH_V2,2020,2020-02-06,2020-02-07,498,2.860861230028183e-05,2.4190218462380307e-05,0.8455572122294798,0,1.222930454015237e-05,0,0.0029579825420220805,UP,
EXTERNAL_RESEARCH_V2,2020,2020-02-07,2020-02-10,498,2.860861230028183e-05,2.130891617098618e-05,0.7448427049632275,0,1.01816369916023e-05,0,-0.0010330400085251977,DOWN,
EXTERNAL_RESEARCH_V2,2020,2020-02-10,2020-02-11,498,2.860861230028183e-05,1.899332029764841e-05,0.6639021878548546,0,1.950965472536045e-05,0,-0.0009980575377957583,DOWN,
EXTERNAL_RESEARCH_V2,2020,2020-02-11,2020-02-12,498,2.860861230028183e-05,1.8262275508242426e-05,0.6383488760852102,0,1.172308399547861e-05,0,0.004181987219309871,UP,
EXTERNAL_RESEARCH_V2,2020,2020-02-12,2020-02-13,498,2.860861230028183e-05,1.5737093967172068e-05,0.5500823948394393,0,1.39205265123904e-05,0,0.0005666091422029573,UP,
EXTERNAL_RESEARCH_V2,2020,2020-02-13,2020-02-14,498,2.860861230028183e-05,1.5643996185673143e-05,0.546828207585554,0,5.692927987806863e-06,0,0.005794674826574827,UP,
EXTERNAL_RESEARCH_V2,2020,2020-02-14,2020-02-17,498,2.860861230028183e-05,1.3769696627796714e-05,0.4813129865673725,0,3.433339860427259e-06,0,0.0016496527012052529,UP,
EXTERNAL_RESEARCH_V2,2020,2020-02-17,2020-02-18,498,2.860861230028183e-05,1.2313574750129446e-05,0.43041496109226324,0,1.602031594225378e-05,0,0.009690429558021957,UP,
EXTERNAL_RESEARCH_V2,2020,2020-02-18,2020-02-19,498,2.860861230028183e-05,1.3478703065306017e-05,0.4711414494289622,0,1.715542167608651e-05,0,0.0047774552314794536,UP,
EXTERNAL_RESEARCH_V2,2020,2020-02-19,2020-02-20,498,2.860861230028183e-05,1.4275095628769861e-05,0.4989789605638871,0,2.243089666786415e-05,0,0.010211045101590042,UP,
EXTERNAL_RESEARCH_V2,2020,2020-02-20,2020-02-21,498,2.860861230028183e-05,1.534592348116393e-05,0.536409222512787,0,2.796118660128383e-05,0,0.010549095305399164,UP,
EXTERNAL_RESEARCH_V2,2020,2020-02-21,2020-02-24,498,2.860861230028183e-05,1.813315699584129e-05,0.6338356018639414,0,0.0001373245302311491,1,0.007473940004087446,UP,
EXTERNAL_RESEARCH_V2,2020,2020-02-24,2020-02-25,498,2.860861230028183e-05,3.429820653835549e-05,1.198876973771203,1,0.0001642502902083717,1,-0.008546394394009183,DOWN,RISK_HIT_DOWN_CLOSE
EXTERNAL_RESEARCH_V2,2020,2020-02-25,2020-02-26,498,2.860861230028183e-05,4.7731298801735485e-05,1.6684241200075711,1,8.815198779844977e-05,1,0.00656218818850612,UP,RISK_HIT_UP_CLOSE
EXTERNAL_RESEARCH_V2,2020,2020-02-26,2020-02-27,498,2.860861230028183e-05,5.128685441199773e-05,1.7927068210677417,1,0.0001075103495838749,1,-0.008193011655328594,DOWN,RISK_HIT_DOWN_CLOSE
EXTERNAL_RESEARCH_V2,2020,2020-02-27,2020-02-28,498,2.860861230028183e-05,6.169098733690889e-05,2.1563781804369855,1,0.0003059048233474932,1,-0.03280843260230844,DOWN,RISK_HIT_DOWN_CLOSE
EXTERNAL_RESEARCH_V2,2020,2020-02-28,2020-03-02,498,2.860861230028183e-05,9.658993409429675e-05,3.3762537336823297,1,7.934286783239498e-05,1,0.008897651642645391,UP,RISK_HIT_UP_CLOSE
EXTERNAL_RESEARCH_V2,2020,2020-03-02,2020-03-03,498,2.860861230028183e-05,7.83290317500014e-05,2.737952855868852,1,0.0001230445138801842,1,0.026495393526930203,UP,RISK_HIT_UP_CLOSE
EXTERNAL_RESEARCH_V2,2020,2020-03-03,2020-03-04,498,2.860861230028183e-05,8.056067362968692e-05,2.815958802339158,1,6.48829131813027e-05,1,-0.0020499581500446045,DOWN,RISK_HIT_DOWN_CLOSE
EXTERNAL_RESEARCH_V2,2020,2020-03-04,2020-03-05,498,2.860861230028183e-05,7.444987723587073e-05,2.602358913967222,1,4.02222888873895e-05,1,0.023332894624083656,UP,RISK_HIT_UP_CLOSE
EXTERNAL_RESEARCH_V2,2020,2020-03-05,2020-03-06,498,2.860861230028183e-05,6.557563911509762e-05,2.292164276505352,1,0.0003612201078576099,1,-0.002730222176240095,DOWN,RISK_HIT_DOWN_CLOSE
EXTERNAL_RESEARCH_V2,2020,2020-03-06,2020-03-09,498,2.860861230028183e-05,9.144442734759109e-05,3.1963950710985816,1,0.0002553110024842183,1,-0.004332379671759937,DOWN,RISK_HIT_DOWN_CLOSE
EXTERNAL_RESEARCH_V2,2020,2020-03-09,2020-03-10,498,2.860861230028183e-05,0.0001027294405068182,3.5908571666653746,1,0.0001204201668146774,1,-0.0046567955090285685,DOWN,RISK_HIT_DOWN_CLOSE
EXTERNAL_RESEARCH_V2,2020,2020-03-10,2020-03-11,498,2.860861230028183e-05,9.593903673414659e-05,3.353501935960783,1,0.0001230648241884107,1,-0.01328184451820033,DOWN,RISK_HIT_DOWN_CLOSE
EXTERNAL_RESEARCH_V2,2020,2020-03-11,2020-03-12,498,2.860861230028183e-05,0.00010421878394859316,3.642916435606577,1,0.0004804394281251625,1,-0.048129908043935514,DOWN,RISK_HIT_DOWN_CLOSE
