evaluation_year,origin_date,target_date,target_month,momentum_origin_month,momentum_direction,momentum_forecast,momentum_rw_reference,actual_direction,actual_high_risk,target_close_return,target_dr,high_risk_threshold,sqrt_normalized_risk_score
2023,2023-03-20,2023-03-21,2023-03,2023-02,UP,1901.5486072417525,1855.0,DOWN,1,-0.022540888887635533,8.018974670390623e-05,6.185718147697382e-05,1.146032878619783
2023,2023-03-21,2023-03-23,2023-03,2023-02,UP,1901.5486072417525,1855.0,UP,0,0.027026890360552586,5.196722501293763e-05,6.185718147697382e-05,1.058716904340701
2024,2024-04-10,2024-04-11,2024-04,2024-03,UP,2204.9531739867484,2158.0,UP,0,0.017042603325443696,4.581570720376207e-05,5.513863621481717e-05,1.4657424170034918
2024,2024-04-11,2024-04-15,2024-04,2024-03,UP,2204.9531739867484,2158.0,UP,1,0.0016217612012929998,0.000110840128342875,5.513863621481717e-05,1.0202846608764795
2024,2024-04-15,2024-04-16,2024-04,2024-03,UP,2204.9531739867484,2158.0,DOWN,1,-0.002675048601014471,8.355488319820676e-05,5.513863621481717e-05,1.3537407758846487
2024,2024-04-16,2024-04-17,2024-04,2024-03,UP,2204.9531739867484,2158.0,DOWN,1,-0.002888627923596108,6.929742885626753e-05,5.513863621481717e-05,1.269918036192459
2024,2024-04-17,2024-04-18,2024-04,2024-03,UP,2204.9531739867484,2158.0,UP,1,0.00695293785680566,8.7474318813164e-05,5.513863621481717e-05,1.2223221218895908
2024,2024-04-18,2024-04-22,2024-04,2024-03,UP,2204.9531739867484,2158.0,DOWN,1,-0.037847636909805686,0.0001383585439742606,5.513863621481717e-05,1.210143654969699
2024,2024-04-22,2024-04-23,2024-04,2024-03,UP,2204.9531739867484,2158.0,UP,0,0.010940339998898728,4.3249223964477625e-05,5.513863621481717e-05,1.538317545702139
2024,2024-04-23,2024-04-24,2024-04,2024-03,UP,2204.9531739867484,2158.0,DOWN,1,-0.006325832036825193,6.655119229855232e-05,5.513863621481717e-05,1.0504016635972275
2024,2024-04-24,2024-04-25,2024-04,2024-03,UP,2204.9531739867484,2158.0,UP,0,0.009225433462530247,5.077955704735827e-05,5.513863621481717e-05,1.1439783895481928
2024,2024-04-25,2024-04-29,2024-04,2024-03,UP,2204.9531739867484,2158.0,DOWN,0,-0.002349906741737631,3.9286306877253375e-05,5.513863621481717e-05,1.0491804351295204
2024,2024-05-23,2024-05-27,2024-05,2024-04,UP,2440.938766194445,2331.0,UP,0,0.008680691978313807,1.0502313430677466e-05,5.513863621481717e-05,1.1283352479560735
2024,2024-08-05,2024-08-06,2024-08,2024-07,UP,2421.101264026976,2398.0,DOWN,1,-0.00965169267205657,7.211798975163196e-05,5.513863621481717e-05,1.281050154385436
2024,2024-08-06,2024-08-07,2024-08,2024-07,UP,2421.101264026976,2398.0,UP,0,0.003510280032930067,3.090007820402627e-05,5.513863621481717e-05,1.0458875575228594
2024,2024-11-06,2024-11-07,2024-11,2024-10,UP,2795.090410352186,2690.0,UP,0,0.014588048634881133,3.679526093146176e-05,5.513863621481717e-05,1.1705370674158824
