index,evaluation_year,origin_date,target_date,actual_up,status,calibration_n,down_calibration_n,tau,p_up,up2_call,group,late_rv_share,late_downside_rv_share,late_downside_intensity,terminal_negative_run_frac,max_negative_run_frac,new_low_rate_last_quarter,time_near_low_last_quarter,post_trough_efficiency,post_trough_positive_move_share,post_trough_sign_change_rate,recovery_speed_norm,near_trough_revisit_rate,last_hour_return_norm,last_hour_slope_norm,last_hour_trend_r2,late_acceleration_norm,max_negative_shock_share,top3_negative_shock_share
0,2020,2020-01-08,2020-01-09,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
1,2020,2020-01-09,2020-01-10,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
2,2020,2020-01-10,2020-01-13,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
3,2020,2020-01-13,2020-01-14,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
4,2020,2020-02-24,2020-02-25,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
5,2020,2020-02-25,2020-02-26,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
6,2020,2020-02-26,2020-02-27,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
7,2020,2020-02-27,2020-02-28,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
8,2020,2020-03-03,2020-03-04,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
9,2020,2020-03-04,2020-03-05,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
10,2020,2020-03-05,2020-03-06,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
11,2020,2020-03-06,2020-03-09,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
12,2020,2020-03-09,2020-03-10,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
13,2020,2020-03-10,2020-03-11,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
14,2020,2020-03-11,2020-03-12,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
15,2020,2020-03-12,2020-03-13,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
16,2020,2020-03-13,2020-03-16,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
17,2020,2020-03-16,2020-03-17,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
18,2020,2020-03-17,2020-03-18,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
19,2020,2020-03-20,2020-03-23,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
20,2020,2020-03-25,2020-03-26,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
21,2020,2020-03-26,2020-03-27,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
22,2020,2020-03-27,2020-03-30,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
23,2020,2020-03-30,2020-03-31,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
24,2020,2020-04-03,2020-04-06,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
25,2020,2020-04-06,2020-04-07,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
26,2020,2020-04-07,2020-04-08,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
27,2020,2020-04-08,2020-04-09,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
28,2020,2020-04-09,2020-04-13,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
29,2020,2020-04-13,2020-04-14,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
30,2020,2020-04-14,2020-04-15,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
31,2020,2020-04-15,2020-04-16,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
32,2020,2020-04-16,2020-04-17,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
33,2020,2020-04-17,2020-04-20,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
34,2020,2020-04-20,2020-04-21,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
35,2020,2020-04-21,2020-04-22,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
36,2020,2020-04-22,2020-04-23,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
37,2020,2020-04-23,2020-04-24,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
38,2020,2020-04-24,2020-04-27,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
39,2020,2020-04-27,2020-04-28,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
40,2020,2020-04-30,2020-05-01,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,0,0,,,,,,,,,,,,,,,,,,,,,,
41,2020,2020-05-01,2020-05-04,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,1,0,,,,,,,,,,,,,,,,,,,,,,
42,2020,2020-05-26,2020-05-27,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,2,1,,,,,,,,,,,,,,,,,,,,,,
43,2020,2020-06-04,2020-06-05,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,3,1,,,,,,,,,,,,,,,,,,,,,,
44,2020,2020-06-11,2020-06-12,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,4,2,,,,,,,,,,,,,,,,,,,,,,
45,2020,2020-06-12,2020-06-15,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,5,2,,,,,,,,,,,,,,,,,,,,,,
46,2020,2020-06-15,2020-06-16,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,6,3,,,,,,,,,,,,,,,,,,,,,,
47,2020,2020-06-16,2020-06-17,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,7,4,,,,,,,,,,,,,,,,,,,,,,
48,2020,2020-06-17,2020-06-18,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,8,5,,,,,,,,,,,,,,,,,,,,,,
49,2020,2020-06-18,2020-06-19,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,9,5,,,,,,,,,,,,,,,,,,,,,,
50,2020,2020-07-27,2020-07-28,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,10,5,,,,,,,,,,,,,,,,,,,,,,
51,2020,2020-07-28,2020-07-29,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,11,5,,,,,,,,,,,,,,,,,,,,,,
52,2020,2020-07-29,2020-07-30,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,12,5,,,,,,,,,,,,,,,,,,,,,,
53,2020,2020-07-30,2020-07-31,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,13,5,,,,,,,,,,,,,,,,,,,,,,
54,2020,2020-07-31,2020-08-03,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,14,5,,,,,,,,,,,,,,,,,,,,,,
55,2020,2020-08-03,2020-08-04,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,15,6,,,,,,,,,,,,,,,,,,,,,,
56,2020,2020-08-07,2020-08-10,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,16,6,,,,,,,,,,,,,,,,,,,,,,
57,2020,2020-08-10,2020-08-11,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,17,7,,,,,,,,,,,,,,,,,,,,,,
58,2020,2020-08-11,2020-08-12,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,18,8,,,,,,,,,,,,,,,,,,,,,,
59,2020,2020-08-12,2020-08-13,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,19,8,,,,,,,,,,,,,,,,,,,,,,
60,2020,2020-08-13,2020-08-14,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,20,8,,,,,,,,,,,,,,,,,,,,,,
61,2020,2020-08-18,2020-08-19,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,21,9,,,,,,,,,,,,,,,,,,,,,,
62,2020,2020-09-15,2020-09-16,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,22,10,,,,,,,,,,,,,,,,,,,,,,
63,2020,2020-10-09,2020-10-12,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,23,11,,,,,,,,,,,,,,,,,,,,,,
64,2020,2020-10-12,2020-10-13,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,24,12,,,,,,,,,,,,,,,,,,,,,,
65,2020,2020-10-16,2020-10-19,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,25,13,,,,,,,,,,,,,,,,,,,,,,
66,2020,2020-10-19,2020-10-20,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,26,13,,,,,,,,,,,,,,,,,,,,,,
67,2020,2020-11-13,2020-11-16,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,27,13,,,,,,,,,,,,,,,,,,,,,,
68,2020,2020-12-10,2020-12-11,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,28,14,,,,,,,,,,,,,,,,,,,,,,
69,2020,2020-12-11,2020-12-14,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,29,14,,,,,,,,,,,,,,,,,,,,,,
70,2020,2020-12-14,2020-12-15,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,30,15,,,,,,,,,,,,,,,,,,,,,,
71,2020,2020-12-15,2020-12-16,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,31,15,,,,,,,,,,,,,,,,,,,,,,
72,2021,2021-01-06,2021-01-07,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,32,15,,,,,,,,,,,,,,,,,,,,,,
73,2021,2021-01-07,2021-01-08,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,33,16,,,,,,,,,,,,,,,,,,,,,,
74,2021,2021-01-08,2021-01-11,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,34,17,,,,,,,,,,,,,,,,,,,,,,
75,2021,2021-01-11,2021-01-12,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,35,17,,,,,,,,,,,,,,,,,,,,,,
76,2021,2021-01-12,2021-01-13,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,36,17,,,,,,,,,,,,,,,,,,,,,,
77,2021,2021-01-14,2021-01-15,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,37,18,,,,,,,,,,,,,,,,,,,,,,
78,2021,2021-01-15,2021-01-18,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,38,19,,,,,,,,,,,,,,,,,,,,,,
79,2021,2021-01-29,2021-02-01,1,NOT_SCORABLE_PREQUENTIAL_SUPPORT,39,19,,,,,,,,,,,,,,,,,,,,,,
80,2021,2021-02-01,2021-02-02,0,NOT_SCORABLE_PREQUENTIAL_SUPPORT,40,19,,,,,,,,,,,,,,,,,,,,,,
81,2021,2021-02-02,2021-02-03,0,SCORABLE,41,20,0.5,0.43816499676170295,0,REJECTED_DOWN,0.06123852128666065,0.05307916101327189,0.032298272088580916,0.01090909090909091,0.02181818181818182,0.0,0.014492753623188406,0.09760049750069132,0.5488002487503456,0.477124183006536,0.7713936642391411,0.3051948051948052,-0.04859460669196695,-1.1702891917727174,0.6909479640141207,-0.0073664472027247995,0.18301904596639204,0.31854870567467275
82,2021,2021-02-04,2021-02-05,1,SCORABLE,42,21,0.5,0.3961999209538894,0,MISSED_UP,0.06341885037226223,0.05086153127532469,0.03232810793906153,0.0,0.025454545454545455,0.0,0.043478260869565216,0.08610953780485571,0.5430547689024279,0.5161290322580645,0.7561213106531428,0.4551282051282051,0.013834918230375762,-0.07523315852280331,0.003963112949057823,0.01747005669260859,0.21551367101782848,0.33582485798494743
83,2021,2021-02-16,2021-02-17,0,SCORABLE,43,21,0.5,0.4358932979680044,0,REJECTED_DOWN,0.07782120398482882,0.05980329939589883,0.033538114549431015,0.007272727272727273,0.025454545454545455,0.0,1.0,0.1449221185553648,0.5724610592776824,0.4782608695652174,0.9541774290325388,1.0,-0.015360067021828159,-0.49825444983727635,0.07954514098579668,0.08396356884932082,0.13827735190918325,0.31637364559103476
84,2021,2021-02-24,2021-02-25,0,SCORABLE,44,22,0.5,0.3893112581481707,0,REJECTED_DOWN,0.13832635322147097,0.1402996137649638,0.08535951057089926,0.01090909090909091,0.01818181818181818,0.0,0.0,0.10212796412295375,0.5510639820614769,0.4838709677419355,1.091485234441787,0.04487179487179487,0.06464114706906746,2.0200601693105447,0.5294088634195686,-0.03420080564809186,0.2465864712212187,0.38346428086640205
85,2021,2021-02-25,2021-02-26,0,SCORABLE,45,23,0.5,0.2832126981491042,0,REJECTED_DOWN,0.13275327271252024,0.13246957384837807,0.06785780192690372,0.0,0.02181818181818182,0.057971014492753624,0.7246376811594203,0.054647890460024565,0.5273239452300122,0.509090909090909,0.46830587710147814,0.6607142857142857,-0.2053280695059906,-5.908030915215221,0.8824053241983297,-0.00782480332990924,0.043519162182435144,0.11675930269191741
86,2021,2021-02-26,2021-03-01,0,SCORABLE,46,24,0.5,0.39103907414479194,0,REJECTED_DOWN,0.0,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,0.24818322453372232,0.6240916122668612,0.4915254237288136,1.2951879304192384,0.1590909090909091,0.0,0.0,0.0,0.0,0.09162699726710796,0.25717484706118066
87,2021,2021-03-01,2021-03-02,1,SCORABLE,47,25,0.5,0.3354363023308773,0,MISSED_UP,0.3417759573737669,0.3663918752906892,0.24289640064966841,0.007272727272727273,0.02181818181818182,0.11594202898550725,0.6086956521739131,0.47214443274611034,0.7360722163730552,0.2777777777777778,3.4638624367517425,1.0,0.004247087779830081,-0.7755956427725489,0.12188836847436468,-0.12570697650658397,0.12959912592812198,0.2522065273929359
88,2021,2021-03-02,2021-03-03,0,SCORABLE,48,25,0.5,0.21657409427464533,0,REJECTED_DOWN,0.09910041289428846,0.1287671907109877,0.05604378529905793,0.0036363636363636364,0.02181818181818182,0.0,0.0,0.09248826148022721,0.5462441307401136,0.5430711610486891,1.1481884652640049,0.041044776119402986,0.02248557967714912,0.0007199201946578216,6.479945026116596e-07,0.00169096496712298,0.08512636484332545,0.2136014581266587
89,2021,2021-03-03,2021-03-04,0,SCORABLE,49,26,0.5,0.34236603688743433,0,REJECTED_DOWN,0.12303981941639473,0.09486164884869305,0.05321547105165445,0.0,0.02909090909090909,0.0,0.057971014492753624,0.09862342277594215,0.5493117113879711,0.4246575342465753,0.9971427280939773,0.027210884353741496,0.24250054255015732,7.158159671377813,0.9033010956222743,-0.053691364022131545,0.16252284855272492,0.43770594398810564
90,2021,2021-03-04,2021-03-05,1,SCORABLE,50,27,0.5,0.2759892040671724,0,MISSED_UP,0.12574460502140186,0.1414121537442711,0.07960457177492129,0.007272727272727273,0.025454545454545455,0.028985507246376812,0.927536231884058,0.0986257346987492,0.5493128673493746,0.4666666666666667,0.6157681896449749,1.0,-0.10119697337467948,-1.9428106949608326,0.6774179993968925,0.07055407005627493,0.09983713977909048,0.24874568427170293
91,2021,2021-03-05,2021-03-08,0,SCORABLE,51,27,0.5,0.3013665138428462,0,REJECTED_DOWN,0.0,0.0,0.0,0.0,0.02181818181818182,0.0,0.0,0.08794771955989394,0.5439738597799469,0.57,0.8212574064836143,0.0,0.0,0.0,0.0,0.0,0.19760732353943755,0.3625795335246124
92,2021,2021-03-08,2021-03-09,1,SCORABLE,52,28,0.5,0.3557050019487725,0,MISSED_UP,0.122649523674647,0.08518497059389778,0.046959205087139355,0.007272727272727273,0.02909090909090909,0.0,0.18840579710144928,0.14158107488515176,0.5707905374425759,0.44881889763779526,1.2146149874433203,0.4921875,-0.09988216323746649,-2.899530636104083,0.8635464719698488,-0.062093026263712825,0.15412186170742675,0.26025820385021053
93,2021,2021-03-09,2021-03-10,1,SCORABLE,53,28,0.5,0.1654359362694747,0,MISSED_UP,0.15417692230938523,0.18213583167888328,0.07239952356611197,0.007272727272727273,0.025454545454545455,0.0,0.0,0.12284208967699153,0.5614210448384958,0.48717948717948717,1.5154648314579695,0.08394160583941605,0.02737874737811858,1.2180037549201361,0.443265321598472,-0.07087081090192267,0.08679573205787776,0.18605547848289436
94,2021,2021-05-04,2021-05-05,1,SCORABLE,54,28,0.5,0.5368334496345587,1,CAPTURED_UP,0.029465597578402697,0.017753165578829156,0.013416663303385791,0.01090909090909091,0.02181818181818182,0.0,0.6086956521739131,0.14901755679698547,0.5745087783984928,0.5275590551181102,0.760700254733086,0.6640625,0.06845626337465921,2.2025564915401272,0.7757262932957584,0.00864673956098065,0.7371430467807951,0.7920790034580658
95,2021,2021-06-16,2021-06-17,0,SCORABLE,55,28,0.5,0.6698287498348566,1,FALSE_UP_ACTUAL_DOWN,0.08455230670088955,0.04045800720546608,0.031821352989427704,0.0,0.04,0.0,0.6376811594202898,0.22353873013610223,0.6117693650680511,0.5277777777777778,1.7550265877596762,0.6575342465753424,-0.07832893832663022,-1.6014549590247966,0.73006353702917,0.026421540146393807,0.4606904147049435,0.694527444389055
96,2021,2021-06-17,2021-06-18,0,SCORABLE,56,29,0.5,0.45285787442722886,0,REJECTED_DOWN,0.06450177395251103,0.03212149912807909,0.01972029677828182,0.0036363636363636364,0.03636363636363636,0.0,0.5217391304347826,0.33978388591912934,0.6698919429595647,0.4520547945205479,2.419561564271187,0.5540540540540541,0.05700031676751291,1.9504352138352339,0.7339224561609924,-0.062315154718552875,0.25426139066771575,0.37135163352220796
97,2021,2021-06-18,2021-06-21,1,SCORABLE,57,30,0.5,0.4560922135755458,0,MISSED_UP,0.0,0.0,0.0,0.0,0.02181818181818182,0.0,1.0,0.473303680780621,0.7366518403903105,0.5555555555555556,0.4041766124687189,1.0,0.0,0.0,0.0,0.0,0.24720356939063162,0.4357902067511588
