date,target_month,close,monthly_reference,monthly_direction_3m,fast_state,slow_state,emergency_level,emergency_reversal
2025-01-03,2025-01,2639.48999,2633.5183941174582,DOWN,ROBUST_DOWN,NOT_YET_ROBUST,NEUTRAL,OFF
2025-01-08,2025-01,2661.71997,2633.5183941174582,DOWN,ROBUST_DOWN,NOT_YET_ROBUST,NEUTRAL,OFF
2025-01-09,2025-01,2670.38989,2633.5183941174582,DOWN,MIXED,NOT_YET_ROBUST,NEUTRAL,OFF
2025-01-21,2025-01,2744.81006,2633.5183941174582,DOWN,ROBUST_UP,ROBUST_UP,UP,OFF
2025-01-22,2025-01,2756.30005,2633.5183941174582,DOWN,ROBUST_UP,ROBUST_UP,UP,OFF
2025-01-23,2025-01,2754.87988,2633.5183941174582,DOWN,ROBUST_UP,ROBUST_UP,UP,OFF
2025-02-03,2025-02,2814.68994,2715.6749755283067,DOWN,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF
2025-02-14,2025-02,2882.54004,2715.6749755283067,DOWN,ROBUST_UP,ROBUST_UP,UP,OFF
2025-02-21,2025-02,2936.080078,2715.6749755283067,DOWN,ROBUST_UP,ROBUST_UP,UP,OFF
2025-02-25,2025-02,2914.94995,2715.6749755283067,DOWN,ROBUST_UP,ROBUST_UP,UP,OFF
2025-02-28,2025-02,2857.44995,2715.6749755283067,DOWN,ROBUST_UP,NOT_YET_ROBUST,UP,OFF
2025-03-05,2025-03,2918.95996,2919.644807895668,UP,ROBUST_UP,NOT_YET_ROBUST,NEUTRAL,OFF
2025-03-06,2025-03,2911.11011,2919.644807895668,UP,ROBUST_UP,NOT_YET_ROBUST,NEUTRAL,OFF
2025-03-13,2025-03,2988.94995,2919.644807895668,UP,ROBUST_UP,NOT_YET_ROBUST,NEUTRAL,OFF
2025-03-14,2025-03,2985.040039,2919.644807895668,UP,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF
2025-03-17,2025-03,3001.21997,2919.644807895668,UP,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF
2025-03-18,2025-03,3034.12988,2919.644807895668,UP,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF
2025-03-21,2025-03,3023.8501,2919.644807895668,UP,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF
2025-03-25,2025-03,3020.030029,2919.644807895668,UP,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF
2025-03-27,2025-03,3056.80005,2919.644807895668,UP,ROBUST_UP,ROBUST_UP,UP,OFF
2025-04-01,2025-04,3114.37012,3022.603680470286,UP,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF
2025-04-03,2025-04,3114.13989,3022.603680470286,UP,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF
2025-04-04,2025-04,3038.17993,3022.603680470286,UP,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF
