trade_date,acquisition_status,evidence_status,canonical_n,cache_exact_n,exact_close,lineage_id,retrieved_at,gap_action,impacted_readiness_cells
2024-09-01,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""MONTHLY_DIRECTION_3M:2025-01""]"
2024-09-02,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""MONTHLY_DIRECTION_3M:2025-01""]"
2024-09-03,AVAILABLE,RESEARCH_CACHE_UNIQUE_EXACT_16_59_CLOSE_ONLY,0,1,2492.97998,,,EXACT_OHLC_REPROBE_REQUIRED_BEFORE_CONTROLLED_WRITE,"[""MONTHLY_DIRECTION_3M:2025-01""]"
2024-09-04,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""MONTHLY_DIRECTION_3M:2025-01""]"
2024-09-05,AVAILABLE,RESEARCH_CACHE_UNIQUE_EXACT_16_59_CLOSE_ONLY,0,1,2516.76001,,,EXACT_OHLC_REPROBE_REQUIRED_BEFORE_CONTROLLED_WRITE,"[""MONTHLY_DIRECTION_3M:2025-01""]"
2024-09-06,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""MONTHLY_DIRECTION_3M:2025-01""]"
2024-09-07,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""MONTHLY_DIRECTION_3M:2025-01""]"
2024-09-08,UNRESOLVED_EXACT_DATE_PROBE_REQUIRED,COMPLETE_MONTH_BATCH_HAS_NO_EXACT_16_59_BAR_EXACT_DATE_404_NOT_YET_PROVEN,0,0,,,,EXACT_DATE_PROVIDER_PROBE_REQUIRED,"[""MONTHLY_DIRECTION_3M:2025-01""]"
2024-09-09,AVAILABLE,RESEARCH_CACHE_UNIQUE_EXACT_16_59_CLOSE_ONLY,0,1,2506.31006,,,EXACT_OHLC_REPROBE_REQUIRED_BEFORE_CONTROLLED_WRITE,"[""MONTHLY_DIRECTION_3M:2025-01""]"
2024-09-10,AVAILABLE,RESEARCH_CACHE_UNIQUE_EXACT_16_59_CLOSE_ONLY,0,1,2516.6499,,,EXACT_OHLC_REPROBE_REQUIRED_BEFORE_CONTROLLED_WRITE,"[""MONTHLY_DIRECTION_3M:2025-01""]"
