origin_index,origin_date,origin_ts_ny,origin_clock_status,target_1d_date,target_1d_maturity,target_3d_date,target_3d_maturity,close,monthly_direction_3m,fast_state,slow_state,emergency_level,emergency_reversal,ny17_state_pit_status,gvz_source_date,gvz_value,gvz_cap,gvz_panic,gvz_pit_status,macro_event_v2_pit_status,bocpd_pit_status,market_shock_v3_status,scoring_eligibility,evidence_class,prospective_claim
0,2025-01-03,2025-01-03T17:00:00-05:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-01-08,MATURED,2025-01-21,MATURED,2639.48999,DOWN,ROBUST_DOWN,NOT_YET_ROBUST,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-01-03,14.49,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
1,2025-01-08,2025-01-08T17:00:00-05:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-01-09,MATURED,2025-01-22,MATURED,2661.71997,DOWN,ROBUST_DOWN,NOT_YET_ROBUST,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-01-08,14.82,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
2,2025-01-09,2025-01-09T17:00:00-05:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-01-21,MATURED,2025-01-23,MATURED,2670.38989,DOWN,MIXED,NOT_YET_ROBUST,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-01-08,14.82,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
3,2025-01-21,2025-01-21T17:00:00-05:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-01-22,MATURED,2025-02-03,MATURED,2744.81006,DOWN,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-01-21,15.5,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
4,2025-01-22,2025-01-22T17:00:00-05:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-01-23,MATURED,2025-02-14,MATURED,2756.30005,DOWN,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-01-22,15.24,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
5,2025-01-23,2025-01-23T17:00:00-05:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-02-03,MATURED,2025-02-21,MATURED,2754.87988,DOWN,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-01-23,14.95,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
6,2025-02-03,2025-02-03T17:00:00-05:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-02-14,MATURED,2025-02-25,MATURED,2814.68994,DOWN,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-02-03,16.81,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
7,2025-02-14,2025-02-14T17:00:00-05:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-02-21,MATURED,2025-02-28,MATURED,2882.54004,DOWN,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-02-14,17.23,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
8,2025-02-21,2025-02-21T17:00:00-05:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-02-25,MATURED,2025-03-05,MATURED,2936.080078,DOWN,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-02-21,16.55,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
9,2025-02-25,2025-02-25T17:00:00-05:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-02-28,MATURED,2025-03-06,MATURED,2914.94995,DOWN,ROBUST_UP,ROBUST_UP,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-02-25,16.72,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
10,2025-02-28,2025-02-28T17:00:00-05:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-03-05,MATURED,2025-03-13,MATURED,2857.44995,DOWN,ROBUST_UP,NOT_YET_ROBUST,UP,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-02-28,15.82,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
11,2025-03-05,2025-03-05T17:00:00-05:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-03-06,MATURED,2025-03-14,MATURED,2918.95996,UP,ROBUST_UP,NOT_YET_ROBUST,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-03-05,16.92,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
12,2025-03-06,2025-03-06T17:00:00-05:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-03-13,MATURED,2025-03-17,MATURED,2911.11011,UP,ROBUST_UP,NOT_YET_ROBUST,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-03-06,16.83,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
13,2025-03-13,2025-03-13T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-03-14,MATURED,2025-03-18,MATURED,2988.94995,UP,ROBUST_UP,NOT_YET_ROBUST,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-03-13,17.41,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
14,2025-03-14,2025-03-14T17:00:00-04:00,READY_PROVEN_GOVERNED_NY17_SEMANTIC,2025-03-17,MATURED,2025-03-21,MATURED,2985.040039,UP,ROBUST_UP,ROBUST_UP,NEUTRAL,OFF,READY_TO_REPLAY_RETROSPECTIVE,2025-03-14,17.13,1.0,False,BLOCKED_PIT_EXACT_RELEASE_CLOCK_NOT_PROVEN,BLOCKED_PANEL_DAILY_ASOF_JOIN_NOT_CANONICAL,BLOCKED_DATA_DAILY_ORIGIN_STATE_NOT_FOUND,NOT_FOUND_CANONICAL,B0_AND_B4_ONLY_NO_NEW_PHASE2_SCORE,RETROSPECTIVE_HISTORICAL_RECONSTRUCTION_NOT_PROSPECTIVE,false
