forecast_origin,target_month,realized_target,VW,PATCH,MOMENTUM,RW,SIMPLE_EQUAL_4
2024-12,2025-01,2710,2656.80431626,2661.09037863,2675.05876659,2648,2660.23836537
2025-01,2025-02,2895,2808.20311879,2764.7929275,2717.03164385,2710,2750.00692254
2025-02,2025-03,2983,2905.08897621,2986.92834338,2982.3787539,2895,2942.34901837
2025-03,2025-04,3218,3100.62545785,3005.05694355,3104.38504793,2983,3048.26686233
2025-04,2025-05,3309,3264.77041598,3261.59873267,3408.33683864,3218,3288.17649682
2025-05,2025-06,3353,3334.44365738,3365.37295891,3460.61333085,3309,3367.35748679
2025-06,2025-07,3340,3400.97477848,3480.14001188,3487.51705593,3353,3430.40796157
2025-07,2025-08,3368,3327.46059251,3403.61471826,3381.97086023,3340,3363.26154275
2025-08,2025-09,3667.68,3481.40084538,3425.76644016,3387.98703357,3368,3415.78857978
2025-09,2025-10,4058.33,3798.39465431,3700.39935171,3781.97069261,3667.68,3737.11117465
2025-10,2025-11,4087,4092.47912076,4119.20157489,4334.1250825,4058.33,4151.03394454
2025-11,2025-12,4309,4172.65862619,4143.75746811,4362.94685303,4087,4191.59073683
2025-12,2026-01,4753,4410.50615027,4442.29196978,4550.15250484,4309,4427.98765622
2026-01,2026-02,5020,5079.48824905,4896.61388073,5013.50115938,4753,4935.65082229
2026-02,2026-03,4856,5218.31178046,5215.90320233,5377.31317002,5020,5207.8820382
2026-03,2026-04,4721,4806.67264211,4948.68079879,5060.83558668,4856,4918.04725689
2026-04,2026-05,4587,4761.05737721,4779.51051898,4714.24120498,4721,4743.95227529
2026-05,2026-06,4228,4601.38466621,4647.37270771,4451.14254182,4587,4571.72497893
2026-06,2026-07,4073,4106.63302927,4230.33789582,4038.51634964,4228,4150.87181868
