forecast_origin,target_month,realized_target,model,forecast,signed_error,absolute_error,squared_error,origin_cutoff,source_vintage_lineage,evidence_class,pit_status,model_version
2022-12,2023-01,1898,DMA,1825.48425978,-72.5157402172,72.5157402172,5258.53257924,2022-12-MONTH_END,c9135f3167a810a754ee2458e846448c2fea7482c511a88c2962d33d38a9a7b2,RETROSPECTIVE_DIAGNOSTIC_NOT_PIT,BLOCKED_PIT,V149_DIAGNOSTIC_RECONSTRUCTION_NOT_CANONICAL_IDENTITY
2022-12,2023-01,1898,DMS,1805.03320632,-92.9667936805,92.9667936805,8642.82472724,2022-12-MONTH_END,c9135f3167a810a754ee2458e846448c2fea7482c511a88c2962d33d38a9a7b2,RETROSPECTIVE_DIAGNOSTIC_NOT_PIT,BLOCKED_PIT,V149_DIAGNOSTIC_RECONSTRUCTION_NOT_CANONICAL_IDENTITY
2022-12,2023-01,1898,IDMA,1831.81227973,-66.1877202744,66.1877202744,4380.81431513,2022-12-MONTH_END,c9135f3167a810a754ee2458e846448c2fea7482c511a88c2962d33d38a9a7b2,RETROSPECTIVE_DIAGNOSTIC_NOT_PIT,BLOCKED_PIT,V149_DIAGNOSTIC_RECONSTRUCTION_NOT_CANONICAL_IDENTITY
2022-12,2023-01,1898,MOMENTUM,1839.3504246,-58.6495754035,58.6495754035,3439.77269501,2022-12-MONTH_END,efef3d44ae033808af3770f1dd99a16649a4ac8d1e8ed0fe215adaeb5bff9ebe,FROZEN_REPLAY,PIT_COMPATIBLE_FROZEN_ARTIFACT,CANONICAL_REPLAY
2022-12,2023-01,1898,PATCH,1835.087077,-62.9129230014,62.9129230014,3958.03588057,2022-12-MONTH_END,efef3d44ae033808af3770f1dd99a16649a4ac8d1e8ed0fe215adaeb5bff9ebe,FROZEN_REPLAY,PIT_COMPATIBLE_FROZEN_ARTIFACT,CANONICAL_REPLAY
2022-12,2023-01,1898,RW,1798,-100,100,10000,2022-12-MONTH_END,efef3d44ae033808af3770f1dd99a16649a4ac8d1e8ed0fe215adaeb5bff9ebe,FROZEN_REPLAY,PIT_COMPATIBLE_FROZEN_ARTIFACT,CANONICAL_REPLAY
2022-12,2023-01,1898,VW,1812.91016861,-85.0898313894,85.0898313894,7240.27940587,2022-12-MONTH_END,efef3d44ae033808af3770f1dd99a16649a4ac8d1e8ed0fe215adaeb5bff9ebe,FROZEN_REPLAY,PIT_COMPATIBLE_FROZEN_ARTIFACT,CANONICAL_REPLAY
2023-01,2023-02,1855,DMA,1926.64705233,71.647052333,71.647052333,5133.300108,2023-01-MONTH_END,c9135f3167a810a754ee2458e846448c2fea7482c511a88c2962d33d38a9a7b2,RETROSPECTIVE_DIAGNOSTIC_NOT_PIT,BLOCKED_PIT,V149_DIAGNOSTIC_RECONSTRUCTION_NOT_CANONICAL_IDENTITY
2023-01,2023-02,1855,DMS,1905.7256992,50.7256992039,50.7256992039,2573.09655972,2023-01-MONTH_END,c9135f3167a810a754ee2458e846448c2fea7482c511a88c2962d33d38a9a7b2,RETROSPECTIVE_DIAGNOSTIC_NOT_PIT,BLOCKED_PIT,V149_DIAGNOSTIC_RECONSTRUCTION_NOT_CANONICAL_IDENTITY
2023-01,2023-02,1855,IDMA,1932.78027556,77.7802755632,77.7802755632,6049.77126669,2023-01-MONTH_END,c9135f3167a810a754ee2458e846448c2fea7482c511a88c2962d33d38a9a7b2,RETROSPECTIVE_DIAGNOSTIC_NOT_PIT,BLOCKED_PIT,V149_DIAGNOSTIC_RECONSTRUCTION_NOT_CANONICAL_IDENTITY
2023-01,2023-02,1855,MOMENTUM,1983.15367323,128.153673227,128.153673227,16423.3639616,2023-01-MONTH_END,efef3d44ae033808af3770f1dd99a16649a4ac8d1e8ed0fe215adaeb5bff9ebe,FROZEN_REPLAY,PIT_COMPATIBLE_FROZEN_ARTIFACT,CANONICAL_REPLAY
2023-01,2023-02,1855,PATCH,1942.22644856,87.2264485649,87.2264485649,7608.45332924,2023-01-MONTH_END,efef3d44ae033808af3770f1dd99a16649a4ac8d1e8ed0fe215adaeb5bff9ebe,FROZEN_REPLAY,PIT_COMPATIBLE_FROZEN_ARTIFACT,CANONICAL_REPLAY
2023-01,2023-02,1855,RW,1898,43,43,1849,2023-01-MONTH_END,efef3d44ae033808af3770f1dd99a16649a4ac8d1e8ed0fe215adaeb5bff9ebe,FROZEN_REPLAY,PIT_COMPATIBLE_FROZEN_ARTIFACT,CANONICAL_REPLAY
2023-01,2023-02,1855,VW,1919.75470757,64.7547075742,64.7547075742,4193.17215302,2023-01-MONTH_END,efef3d44ae033808af3770f1dd99a16649a4ac8d1e8ed0fe215adaeb5bff9ebe,FROZEN_REPLAY,PIT_COMPATIBLE_FROZEN_ARTIFACT,CANONICAL_REPLAY
2023-02,2023-03,1913,DMA,1858.73887782,-54.2611221834,54.2611221834,2944.2693806,2023-02-MONTH_END,c9135f3167a810a754ee2458e846448c2fea7482c511a88c2962d33d38a9a7b2,RETROSPECTIVE_DIAGNOSTIC_NOT_PIT,BLOCKED_PIT,V149_DIAGNOSTIC_RECONSTRUCTION_NOT_CANONICAL_IDENTITY
2023-02,2023-03,1913,DMS,1866.40848237,-46.5915176251,46.5915176251,2170.76951461,2023-02-MONTH_END,c9135f3167a810a754ee2458e846448c2fea7482c511a88c2962d33d38a9a7b2,RETROSPECTIVE_DIAGNOSTIC_NOT_PIT,BLOCKED_PIT,V149_DIAGNOSTIC_RECONSTRUCTION_NOT_CANONICAL_IDENTITY
2023-02,2023-03,1913,IDMA,1856.85608547,-56.1439145317,56.1439145317,3152.13913894,2023-02-MONTH_END,c9135f3167a810a754ee2458e846448c2fea7482c511a88c2962d33d38a9a7b2,RETROSPECTIVE_DIAGNOSTIC_NOT_PIT,BLOCKED_PIT,V149_DIAGNOSTIC_RECONSTRUCTION_NOT_CANONICAL_IDENTITY
2023-02,2023-03,1913,MOMENTUM,1901.54860724,-11.4513927582,11.4513927582,131.134396104,2023-02-MONTH_END,efef3d44ae033808af3770f1dd99a16649a4ac8d1e8ed0fe215adaeb5bff9ebe,FROZEN_REPLAY,PIT_COMPATIBLE_FROZEN_ARTIFACT,CANONICAL_REPLAY
2023-02,2023-03,1913,PATCH,1830.521675,-82.4783250028,82.4783250028,6802.67409527,2023-02-MONTH_END,efef3d44ae033808af3770f1dd99a16649a4ac8d1e8ed0fe215adaeb5bff9ebe,FROZEN_REPLAY,PIT_COMPATIBLE_FROZEN_ARTIFACT,CANONICAL_REPLAY
2023-02,2023-03,1913,RW,1855,-58,58,3364,2023-02-MONTH_END,efef3d44ae033808af3770f1dd99a16649a4ac8d1e8ed0fe215adaeb5bff9ebe,FROZEN_REPLAY,PIT_COMPATIBLE_FROZEN_ARTIFACT,CANONICAL_REPLAY
2023-02,2023-03,1913,VW,1828.59696339,-84.4030366124,84.4030366124,7123.8725894,2023-02-MONTH_END,efef3d44ae033808af3770f1dd99a16649a4ac8d1e8ed0fe215adaeb5bff9ebe,FROZEN_REPLAY,PIT_COMPATIBLE_FROZEN_ARTIFACT,CANONICAL_REPLAY
2023-03,2023-04,2000,DMA,1914.52540649,-85.4745935098,85.4745935098,7305.90613567,2023-03-MONTH_END,c9135f3167a810a754ee2458e846448c2fea7482c511a88c2962d33d38a9a7b2,RETROSPECTIVE_DIAGNOSTIC_NOT_PIT,BLOCKED_PIT,V149_DIAGNOSTIC_RECONSTRUCTION_NOT_CANONICAL_IDENTITY
2023-03,2023-04,2000,DMS,1919.36517163,-80.634828371,80.634828371,6501.97554642,2023-03-MONTH_END,c9135f3167a810a754ee2458e846448c2fea7482c511a88c2962d33d38a9a7b2,RETROSPECTIVE_DIAGNOSTIC_NOT_PIT,BLOCKED_PIT,V149_DIAGNOSTIC_RECONSTRUCTION_NOT_CANONICAL_IDENTITY
