"target_month","origin_month","forecast","actual","rw","predicted_log_return_gold","train_rows","inner_n","config"
"2023-01","2022-12",1820.6036773533594,1898.0,1798.0,0.01249320089551963,154,9,"1.0|0.02|0.5"
"2023-02","2023-01",1905.496279596393,1855.0,1898.0,0.003941788686818484,155,10,"0.1|0.02|1.0"
"2023-03","2023-02",1833.946582106063,1913.0,1855.0,-0.011414449090931589,156,11,"0.1|0.02|1.0"
"2023-04","2023-03",1967.4824502806212,2000.0,1913.0,0.02808209100497798,157,12,"0.1|0.02|1.0"
"2023-05","2023-04",1983.3824863463315,1992.0,2000.0,-0.008343466945847158,158,13,"1.0|0.02|1.0"
"2023-06","2023-05",1962.8948886898581,1943.0,1992.0,-0.014718791562632278,159,14,"1.0|0.02|1.0"
"2023-07","2023-06",1939.2660096485765,1951.0,1943.0,-0.001923614452769607,160,15,"1.0|0.02|1.0"
"2023-08","2023-07",1976.3663919526382,1919.0,1951.0,0.012917941525010747,161,16,"1.0|0.02|1.0"
"2023-09","2023-08",1920.799087261224,1916.0,1919.0,0.0009370737124458832,162,17,"1.0|0.02|1.0"
"2023-10","2023-09",1864.7695753850028,1916.0,1916.0,-0.02710218615846063,163,18,"1.0|0.02|1.0"
"2023-11","2023-10",1991.017339826977,1984.0,1916.0,0.03840605459992502,164,19,"1.0|0.02|1.0"
"2023-12","2023-11",2054.3038150924413,2026.0,1984.0,0.03482200557719237,165,20,"1.0|0.02|1.0"
"2024-01","2023-12",2035.199916306584,2034.0,2026.0,0.004530647214229425,166,21,"1.0|0.05|0.5"
"2024-02","2024-01",2019.0585236138481,2023.0,2034.0,-0.007372972279982232,167,22,"1.0|0.05|0.5"
"2024-03","2024-02",2009.403108448662,2158.0,2023.0,-0.006743841187079292,168,23,"1.0|0.05|0.5"
"2024-04","2024-03",2243.1833333586624,2331.0,2158.0,0.038714121143779305,169,24,"1.0|0.05|0.5"
"2024-05","2024-04",2332.7467078488517,2351.0,2331.0,0.0007490578026389692,170,25,"1.0|0.05|0.5"
"2024-06","2024-05",2374.177247744165,2326.0,2351.0,0.009810185908251907,171,26,"1.0|0.05|0.5"
"2024-07","2024-06",2302.0493567598464,2398.0,2326.0,-0.010350303210018348,172,27,"1.0|0.02|0.5"
"2024-08","2024-07",2420.564672112184,2470.0,2398.0,0.009365791928306118,173,28,"1.0|0.05|0.5"
"2024-09","2024-08",2527.3845791990834,2571.0,2470.0,0.022966854235452444,174,29,"1.0|0.05|0.5"
"2024-10","2024-09",2672.206302826985,2690.0,2571.0,0.03860953355201031,175,30,"1.0|0.05|0.5"
"2024-11","2024-10",2799.579954808367,2651.0,2690.0,0.039928196173995054,176,31,"1.0|0.05|0.5"
"2024-12","2024-11",2621.3627215224105,2648.0,2651.0,-0.011242622032342567,177,32,"1.0|0.05|0.5"
"2025-01","2024-12",2625.1511748036664,2710.0,2648.0,-0.00866615328804142,178,33,"1.0|0.05|0.5"
"2025-02","2025-01",2815.7282402670226,2895.0,2710.0,0.038272293160227754,179,34,"1.0|0.05|0.5"
"2025-03","2025-02",2886.9966443293633,2983.0,2895.0,-0.0027683726831236747,180,35,"1.0|0.05|0.5"
"2025-04","2025-03",3151.614933320759,3218.0,2983.0,0.05498549317553674,181,36,"1.0|0.05|0.5"
"2025-05","2025-04",3269.9799012696835,3309.0,3218.0,0.016023789919372894,182,37,"1.0|0.05|0.5"
"2025-06","2025-05",3353.998692920965,3353.0,3309.0,0.013507244753942122,183,38,"1.0|0.05|0.5"
"2025-07","2025-06",3331.1429371752433,3340.0,3353.0,-0.00653999800280143,184,39,"1.0|0.05|0.5"
"2025-08","2025-07",3339.8632692818223,3368.0,3340.0,-0.00004093817872750233,185,40,"1.0|0.05|0.5"
"2025-09","2025-08",3443.22716739825,3667.68,3368.0,0.022090065293873817,186,41,"1.0|0.05|0.5"
"2025-10","2025-09",3782.845029957113,4058.33,3667.68,0.030917070372526244,187,42,"1.0|0.05|0.5"
"2025-11","2025-10",4087.4631115908683,4087.0,4058.33,0.007152952550429458,188,43,"1.0|0.05|0.5"
"2025-12","2025-11",4231.65571236958,4309.0,4087.0,0.034782133254655234,189,44,"1.0|0.05|0.5"
"2026-01","2025-12",4274.1755887417075,4753.0,4309.0,-0.008114619580696912,190,45,"1.0|0.05|0.5"
"2026-02","2026-01",4838.7206491788165,5020.0,4753.0,0.017874359473621704,191,46,"1.0|0.05|0.5"
"2026-03","2026-02",5178.7554411014535,4856.0,5020.0,0.03113483136450826,192,47,"1.0|0.05|0.5"
"2026-04","2026-03",4759.6370003838065,4721.0,4856.0,-0.020043648845412532,193,48,"1.0|0.05|0.5"
"2026-05","2026-04",4668.36971047587,4587.0,4721.0,-0.01121072923154634,194,49,"1.0|0.05|0.5"
"2026-06","2026-05",4618.379993712452,4228.0,4587.0,0.006817777274685993,195,50,"1.0|0.05|1.0"
"2026-07","2026-06",4251.302054317677,4073.0,4228.0,0.005496233729745738,196,51,"1.0|0.05|0.5"
