date,Gold,Silver,Platinum,Palladium
2026-08-02,4074.59,58.298,1660.02,1294.28
2026-08-03,4055.22,58.168,1628.00,1263.54
2026-08-04,4077.47,59.506,1735.43,1346.70
2026-08-05,4247.01,62.023,1731.16,1361.18
2026-08-06,4240.49,61.516,1722.22,1371.94
2026-08-07,4341.49,63.521,1747.54,1379.19
2026-08-09,4333.01,63.497,1740.32,1368.57
2026-08-10,4390.37,65.723,1754.30,1379.94
2026-08-11,4368.00,64.659,1739.43,1364.28
2026-08-12,4408.66,65.304,1753.65,1365.94
2026-08-13,4351.22,64.465,1716.15,1306.88
2026-08-14,4376.16,64.674,1747.74,1314.99
2026-08-16,4370.33,64.791,1748.00,1324.44
2026-08-17,4416.69,65.773,1769.89,1326.25
2026-08-18,4334.45,63.311,1713.94,1287.26
2026-08-19,4523.07,66.991,1817.85,1336.75
2026-08-20,4519.36,68.075,1830.59,1328.37
2026-08-21,4604.80,68.971,1872.00,1345.95
2026-08-23,4624.23,69.341,1880.17,1350.98
2026-08-24,4651.90,68.946,1879.19,1355.02
2026-08-25,4658.84,68.655,1857.01,1334.75
2026-08-26,4594.71,68.103,1829.60,1321.70
2026-08-27,4601.95,69.249,1848.17,1350.31
2026-08-28,4454.26,66.309,1819.04,1419.93
2026-08-30,4458.35,66.417,1828.08,1430.95
2026-08-31,4448.93,66.542,1795.01,1361.14
