block_no,month,status,valid_exact_bar,provider_no_bar,unresolved,audit
1,2021-09,PENDING,,,,
2,2021-10,PENDING,,,,
3,2021-11,PENDING,,,,
4,2021-12,PENDING,,,,
5,2022-01,PENDING,,,,
6,2022-02,PENDING,,,,
7,2022-03,PENDING,,,,
8,2022-04,PENDING,,,,
9,2022-05,PENDING,,,,
10,2022-06,PENDING,,,,
11,2022-07,PENDING,,,,
12,2022-08,PENDING,,,,
13,2022-09,PENDING,,,,
14,2022-10,PENDING,,,,
15,2022-11,PENDING,,,,
16,2022-12,PENDING,,,,
17,2023-01,PENDING,,,,
18,2023-02,PENDING,,,,
19,2023-03,PENDING,,,,
20,2023-04,PENDING,,,,
21,2023-05,PENDING,,,,
22,2023-06,PENDING,,,,
23,2023-07,PENDING,,,,
24,2023-08,PENDING,,,,
25,2023-09,PENDING,,,,
26,2023-10,PENDING,,,,
27,2023-11,PENDING,,,,
28,2023-12,PENDING,,,,
29,2024-01,PENDING,,,,
30,2024-02,PENDING,,,,
31,2024-03,PENDING,,,,
32,2024-04,PENDING,,,,
33,2024-05,PENDING,,,,
34,2024-06,PENDING,,,,
35,2024-07,PENDING,,,,
36,2024-08,PENDING,,,,
37,2024-09,PENDING,,,,
38,2024-10,PENDING,,,,
39,2024-11,PENDING,,,,
40,2024-12,PENDING,,,,
