week_start,weekly_return,sign,n_days,first_date,last_date
2022-03-07,0.009914556490942639,1,5,2022-03-07,2022-03-11
2022-03-14,-0.03397031150335506,0,5,2022-03-14,2022-03-18
2022-03-21,0.01917375466211158,1,5,2022-03-21,2022-03-25
2022-03-28,-0.01679361475045471,0,5,2022-03-28,2022-04-01
2022-04-04,0.01156442017880932,1,5,2022-04-04,2022-04-08
2022-04-11,0.01335508182264011,1,4,2022-04-11,2022-04-14
2022-04-18,-0.02122549424982301,0,5,2022-04-18,2022-04-22
2022-04-25,-0.01779066442045130,0,5,2022-04-25,2022-04-29
2022-05-02,-0.007141445945483937,0,5,2022-05-02,2022-05-06
2022-05-09,-0.03831700660083048,0,5,2022-05-09,2022-05-13
2022-05-16,0.01909930639197732,1,5,2022-05-16,2022-05-20
2022-05-23,0.004014867621585649,1,5,2022-05-23,2022-05-27
2022-05-30,-0.001354621289332059,0,4,2022-05-31,2022-06-03
2022-06-06,0.01108513346477358,1,5,2022-06-06,2022-06-10
2022-06-13,-0.01667649984573993,0,5,2022-06-13,2022-06-17
2022-06-20,-0.006464744530369604,0,4,2022-06-21,2022-06-24
2022-06-27,-0.009166589441634065,0,5,2022-06-27,2022-07-01
2022-07-04,-0.03810922358368440,0,4,2022-07-05,2022-07-08
2022-07-11,-0.01993396968222594,0,5,2022-07-11,2022-07-15
2022-07-18,0.01171698176621150,1,5,2022-07-18,2022-07-22
2022-07-25,0.02231311422918969,1,5,2022-07-25,2022-07-29
2022-08-01,0.005061126947217387,1,5,2022-08-01,2022-08-05
2022-08-08,0.01610364370168693,1,5,2022-08-08,2022-08-12
2022-08-15,-0.03172788008788618,0,5,2022-08-15,2022-08-19
2022-08-22,-0.004849190526351466,0,5,2022-08-22,2022-08-26
2022-08-29,-0.01468245616024810,0,5,2022-08-29,2022-09-02
2022-09-05,0.002884267120383255,1,4,2022-09-06,2022-09-09
2022-09-12,-0.02456655357902804,0,5,2022-09-12,2022-09-16
2022-09-19,-0.01901645891269566,0,5,2022-09-19,2022-09-23
