event_id,start,end,direction,move_pct,first_governed_origin,state_at_first_origin,first_correct_alert_date,first_correct_alert_price,alert_episode_start,response_lag_days,remaining_move_share_pct,outcome,reaction_type,opposite_alert_present,first_opposite_alert_date,n_governed_origins
1,2024-12-18,2025-02-24,UP,14.1876,2024-12-18,OFF,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,False,,13
2,2025-02-24,2025-02-28,DOWN,-3.2239,2025-02-25,OFF,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,False,,2
3,2025-02-28,2025-04-02,UP,9.6443,2025-02-28,OFF,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,False,,11
4,2025-04-02,2025-04-07,DOWN,-4.8196,2025-04-03,OFF,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,False,,2
5,2025-04-07,2025-04-21,UP,14.7809,2025-04-09,OFF,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,False,,4
6,2025-04-21,2025-05-01,DOWN,-5.3804,2025-04-21,OFF,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,False,,6
7,2025-05-01,2025-05-06,UP,6.0538,2025-05-01,OFF,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,False,,4
8,2025-05-06,2025-05-14,DOWN,-7.3806,2025-05-06,OFF,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,False,,7
9,2025-05-14,2025-05-23,UP,5.4916,2025-05-14,OFF,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,False,,7
10,2025-05-23,2025-05-30,DOWN,-2.0078,2025-05-23,OFF,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,False,,5
11,2025-05-30,2025-06-02,UP,2.8128,2025-05-30,OFF,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,False,,2
12,2025-06-02,2025-06-06,DOWN,-2.0976,2025-06-02,OFF,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,False,,5
13,2025-06-06,2025-06-13,UP,3.6884,2025-06-06,OFF,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,False,,6
14,2025-06-13,2025-06-27,DOWN,-4.4925,2025-06-13,OFF,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,False,,8
15,2025-06-27,2025-07-22,UP,4.5482,2025-06-27,OFF,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,False,,16
16,2025-07-22,2025-07-30,DOWN,-3.9424,2025-07-22,OFF,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,False,,7
17,2025-07-30,2025-08-07,UP,2.9560,2025-07-30,OFF,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,False,,6
18,2025-08-07,2025-08-19,DOWN,-2.1972,2025-08-07,OFF,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,False,,8
19,2025-08-19,2025-10-16,UP,31.5996,2025-08-19,OFF,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,False,,43
20,2025-10-16,2025-10-17,DOWN,-2.2873,2025-10-16,OFF,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,False,,2
21,2025-10-17,2025-10-20,UP,2.4615,2025-10-17,OFF,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,False,,2
22,2025-10-20,2025-10-29,DOWN,-9.8699,2025-10-20,OFF,2025-10-21,4130.33000,2025-10-21,1,45.0,GEC_AMA_KULLANILABILIR,SALINIM_ICINDE_YENI_ALERT,False,,8
23,2025-10-29,2025-10-30,UP,2.2259,2025-10-29,DOWN_ALERT,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,True,2025-10-29,2
24,2025-10-30,2025-11-04,DOWN,-2.4349,2025-10-30,DOWN_ALERT,2025-10-30,4023.99000,2025-10-21,0,100.0,ZAMANINDA,ESKI_ALERT_TASINDI,False,,4
25,2025-11-04,2025-11-12,UP,6.8450,2025-11-04,OFF,2025-11-10,4106.71000,2025-11-10,6,32.8,GEC_AMA_KULLANILABILIR,SALINIM_ICINDE_YENI_ALERT,False,,7
26,2025-11-12,2025-11-17,DOWN,-3.5506,2025-11-12,UP_ALERT,,,,,0.0,KACIRDI,DOGRU_ALERT_YOK,True,2025-11-12,5
27,2025-11-17,2025-12-28,UP,12.0318,2025-11-17,OFF,2025-11-24,4134.13329,2025-11-24,7,81.9,ZAMANINDA,SALINIM_ICINDE_YENI_ALERT,False,,36
28,2025-12-28,2026-01-01,DOWN,-4.7974,2025-12-28,OFF,2025-12-29,4332.02449,2025-12-29,1,7.8,COK_GEC,SALINIM_ICINDE_YENI_ALERT,False,,4
