date,close,midas_monthly_reference,midas_displacement_pct,midas_level,midas_shock_direction,midas_running_peak,midas_running_trough,midas_alert,causal_monthly_reference,causal_level,causal_alert,alert_diff_vs_causal
2025-01-03,2639.489990,2656.804316,-0.651697,NEUTRAL,NEUTRAL,,,OFF,2633.518394,NEUTRAL,OFF,False
2025-01-08,2661.719970,2656.804316,0.185021,NEUTRAL,NEUTRAL,,,OFF,2633.518394,NEUTRAL,OFF,False
2025-01-09,2670.389890,2656.804316,0.511350,NEUTRAL,NEUTRAL,,,OFF,2633.518394,NEUTRAL,OFF,False
2025-01-21,2744.810060,2656.804316,3.312466,NEUTRAL,NEUTRAL,,,OFF,2633.518394,UP,OFF,False
2025-01-22,2756.300050,2656.804316,3.744940,NEUTRAL,NEUTRAL,,,OFF,2633.518394,UP,OFF,False
2025-01-23,2754.879880,2656.804316,3.691486,NEUTRAL,NEUTRAL,,,OFF,2633.518394,UP,OFF,False
2025-02-03,2814.689940,2808.203119,0.230995,NEUTRAL,NEUTRAL,,,OFF,2715.674976,NEUTRAL,OFF,False
2025-02-14,2882.540040,2808.203119,2.647135,NEUTRAL,NEUTRAL,,,OFF,2715.674976,UP,OFF,False
2025-02-21,2936.080078,2808.203119,4.553693,UP,UP,2936.080078,,OFF,2715.674976,UP,OFF,False
2025-02-25,2914.949950,2808.203119,3.801250,NEUTRAL,UP,2936.080078,,OFF,2715.674976,UP,OFF,False
2025-02-28,2857.449950,2808.203119,1.753678,NEUTRAL,UP,2936.080078,,OFF,2715.674976,UP,OFF,False
2025-03-04,2917.959960,2905.088976,0.443049,NEUTRAL,NEUTRAL,,,OFF,2919.644808,NEUTRAL,OFF,False
2025-03-10,2889.330080,2905.088976,-0.542452,NEUTRAL,NEUTRAL,,,OFF,2919.644808,NEUTRAL,OFF,False
2025-03-11,2915.699950,2905.088976,0.365256,NEUTRAL,NEUTRAL,,,OFF,2919.644808,NEUTRAL,OFF,False
2025-03-12,2933.429930,2905.088976,0.975554,NEUTRAL,NEUTRAL,,,OFF,2919.644808,NEUTRAL,OFF,False
2025-03-13,2988.949950,2905.088976,2.886687,NEUTRAL,NEUTRAL,,,OFF,2919.644808,NEUTRAL,OFF,False
2025-03-14,2985.040039,2905.088976,2.752106,NEUTRAL,NEUTRAL,,,OFF,2919.644808,NEUTRAL,OFF,False
2025-03-17,3001.219970,2905.088976,3.309062,NEUTRAL,NEUTRAL,,,OFF,2919.644808,NEUTRAL,OFF,False
2025-03-18,3034.129880,2905.088976,4.441833,UP,UP,3034.129880,,OFF,2919.644808,NEUTRAL,OFF,False
2025-03-19,3047.389890,2905.088976,4.898311,UP,UP,3047.389890,,OFF,2919.644808,UP,OFF,False
2025-03-20,3044.729980,2905.088976,4.806754,UP,UP,3047.389890,,OFF,2919.644808,UP,OFF,False
2025-03-21,3023.850100,2905.088976,4.088115,UP,UP,3047.389890,,OFF,2919.644808,NEUTRAL,OFF,False
2025-03-24,3012.280030,2905.088976,3.689775,NEUTRAL,UP,3047.389890,,OFF,2919.644808,NEUTRAL,OFF,False
2025-03-25,3020.030029,2905.088976,3.956558,NEUTRAL,UP,3047.389890,,OFF,2919.644808,NEUTRAL,OFF,False
2025-03-26,3019.280030,2905.088976,3.930743,NEUTRAL,UP,3047.389890,,OFF,2919.644808,NEUTRAL,OFF,False
2025-03-27,3056.800050,2905.088976,5.222263,UP,UP,3056.800050,,OFF,2919.644808,UP,OFF,False
2025-03-28,3085.280030,2905.088976,6.202513,UP,UP,3085.280030,,OFF,2919.644808,UP,OFF,False
2025-03-31,3124.020020,2905.088976,7.536213,UP,UP,3124.020020,,OFF,2919.644808,UP,OFF,False
2025-04-01,3114.370120,3100.625458,0.443286,NEUTRAL,NEUTRAL,,,OFF,3022.603680,NEUTRAL,OFF,False
2025-04-02,3133.030029,3100.625458,1.045101,NEUTRAL,NEUTRAL,,,OFF,3022.603680,NEUTRAL,OFF,False
2025-04-03,3114.139890,3100.625458,0.435854,NEUTRAL,NEUTRAL,,,OFF,3022.603680,NEUTRAL,OFF,False
2025-04-04,3038.179930,3100.625458,-2.013967,NEUTRAL,NEUTRAL,,,OFF,3022.603680,NEUTRAL,OFF,False
2025-04-07,2982.030029,3100.625458,-3.824789,NEUTRAL,NEUTRAL,,,OFF,3022.603680,NEUTRAL,OFF,False
2025-04-09,3083.169920,3100.625458,-0.562982,NEUTRAL,NEUTRAL,,,OFF,3022.603680,NEUTRAL,OFF,False
2025-04-10,3175.479980,3100.625458,2.414084,NEUTRAL,NEUTRAL,,,OFF,3022.603680,UP,OFF,False
