event_id,start,end,direction,move_pct,first_correct_alert_date,alert_close,alert_episode_start,remaining_move_share_pct,outcome,reaction_type
1,2024-12-18,2025-02-24,UP,14.1876,,,,0.0,KACIRDI,DOGRU_ALERT_YOK
2,2025-02-24,2025-02-28,DOWN,-3.2239,,,,0.0,KACIRDI,DOGRU_ALERT_YOK
3,2025-02-28,2025-04-02,UP,9.6443,,,,0.0,KACIRDI,DOGRU_ALERT_YOK
4,2025-04-02,2025-04-07,DOWN,-4.8196,,,,0.0,KACIRDI,DOGRU_ALERT_YOK
5,2025-04-07,2025-04-21,UP,14.7809,,,,0.0,KACIRDI,DOGRU_ALERT_YOK
6,2025-04-21,2025-05-01,DOWN,-5.3804,,,,0.0,KACIRDI,DOGRU_ALERT_YOK
7,2025-05-01,2025-05-06,UP,6.0538,,,,0.0,KACIRDI,DOGRU_ALERT_YOK
8,2025-05-06,2025-05-14,DOWN,-7.3806,2025-05-12,3235.24,2025-05-12,21.32,COK_GEC,SALINIM_ICINDE_YENI_ALERT
9,2025-05-14,2025-05-23,UP,5.4916,,,,0.0,KACIRDI,DOGRU_ALERT_YOK
10,2025-05-23,2025-05-30,DOWN,-2.0078,2025-05-28,3291.4,2025-05-28,4.27,COK_GEC,SALINIM_ICINDE_YENI_ALERT
11,2025-05-30,2025-06-02,UP,2.8128,,,,0.0,KACIRDI,DOGRU_ALERT_YOK
12,2025-06-02,2025-06-06,DOWN,-2.0976,,,,0.0,KACIRDI,DOGRU_ALERT_YOK
13,2025-06-06,2025-06-13,UP,3.6884,,,,0.0,KACIRDI,DOGRU_ALERT_YOK
14,2025-06-13,2025-06-27,DOWN,-4.4925,,,,0.0,KACIRDI,DOGRU_ALERT_YOK
15,2025-06-27,2025-07-22,UP,4.5482,,,,0.0,KACIRDI,DOGRU_ALERT_YOK
16,2025-07-22,2025-07-30,DOWN,-3.9424,,,,0.0,KACIRDI,DOGRU_ALERT_YOK
17,2025-07-30,2025-08-07,UP,2.956,,,,0.0,KACIRDI,DOGRU_ALERT_YOK
18,2025-08-07,2025-08-19,DOWN,-2.1972,,,,0.0,KACIRDI,DOGRU_ALERT_YOK
19,2025-08-19,2025-10-16,UP,31.5996,,,,0.0,KACIRDI,DOGRU_ALERT_YOK
20,2025-10-16,2025-10-17,DOWN,-2.2873,,,,0.0,KACIRDI,DOGRU_ALERT_YOK
21,2025-10-17,2025-10-20,UP,2.4615,,,,0.0,KACIRDI,DOGRU_ALERT_YOK
22,2025-10-20,2025-10-29,DOWN,-9.8699,2025-10-21,4130.33,2025-10-21,45.0,GEC_AMA_KULLANILABILIR,SALINIM_ICINDE_YENI_ALERT
23,2025-10-29,2025-10-30,UP,2.2259,,,,0.0,KACIRDI,DOGRU_ALERT_YOK
24,2025-10-30,2025-11-04,DOWN,-2.4349,2025-10-30,4023.99,2025-10-21,100.0,ZAMANINDA,ESKI_ALERT_TASINDI
25,2025-11-04,2025-11-12,UP,6.845,2025-11-10,4106.71,2025-11-10,32.76,GEC_AMA_KULLANILABILIR,SALINIM_ICINDE_YENI_ALERT
26,2025-11-12,2025-11-17,DOWN,-3.5506,,,,0.0,KACIRDI,DOGRU_ALERT_YOK
27,2025-11-17,2025-12-28,UP,12.0318,2025-11-24,4134.13329,2025-11-24,81.85,ZAMANINDA,SALINIM_ICINDE_YENI_ALERT
28,2025-12-28,2026-01-01,DOWN,-4.7974,2025-12-29,4332.02449,2025-12-29,7.76,COK_GEC,SALINIM_ICINDE_YENI_ALERT
