event_id,start,end,direction,move_pct,first_governed_origin,origin_start_gap_days,state_at_first_origin,first_state_change_date,first_state_change_state,first_correct_robust_date,response_lag_days,remaining_move_share_pct,outcome,reaction_type,n_governed_origins
1,2024-12-18,2025-02-24,UP,14.19,2024-12-18,0,ROBUST_DOWN,2025-01-09,MIXED,2025-01-21,34.0,56.7,GEC_AMA_KULLANILABILIR,SALINIM_ICINDE_YENI_TEPKI,13
2,2025-02-24,2025-02-28,DOWN,-3.22,2025-02-25,1,ROBUST_UP,,,,,0.0,KACIRDI,DOGRU_ROBUST_TEPKI_YOK,2
3,2025-02-28,2025-04-02,UP,9.64,2025-02-28,0,ROBUST_UP,,,2025-02-28,0.0,100.0,ZAMANINDA,ESKI_DURUM_TASINDI,11
4,2025-04-02,2025-04-07,DOWN,-4.82,2025-04-03,1,ROBUST_UP,,,,,0.0,KACIRDI,DOGRU_ROBUST_TEPKI_YOK,2
5,2025-04-07,2025-04-21,UP,14.78,2025-04-09,2,ROBUST_UP,,,2025-04-09,2.0,77.1,ZAMANINDA,ESKI_DURUM_TASINDI,4
6,2025-04-21,2025-05-01,DOWN,-5.38,2025-04-21,0,ROBUST_UP,,,,,0.0,KACIRDI,DOGRU_ROBUST_TEPKI_YOK,6
7,2025-05-01,2025-05-06,UP,6.05,2025-05-01,0,ROBUST_UP,,,2025-05-01,0.0,100.0,ZAMANINDA,ESKI_DURUM_TASINDI,4
8,2025-05-06,2025-05-14,DOWN,-7.38,2025-05-06,0,ROBUST_UP,2025-05-12,MIXED,2025-05-13,7.0,26.5,GEC_AMA_KULLANILABILIR,SALINIM_ICINDE_YENI_TEPKI,7
9,2025-05-14,2025-05-23,UP,5.49,2025-05-14,0,ROBUST_DOWN,2025-05-23,MIXED,,,0.0,KACIRDI,DOGRU_ROBUST_TEPKI_YOK,7
10,2025-05-23,2025-05-30,DOWN,-2.01,2025-05-23,0,MIXED,2025-05-27,ROBUST_UP,,,0.0,KACIRDI,DOGRU_ROBUST_TEPKI_YOK,5
11,2025-05-30,2025-06-02,UP,2.81,2025-05-30,0,ROBUST_UP,,,2025-05-30,0.0,100.0,ZAMANINDA,ONCEDEN_DONDU_ONCEKI_SALINIM_ICINDE,2
12,2025-06-02,2025-06-06,DOWN,-2.1,2025-06-02,0,ROBUST_UP,,,,,0.0,KACIRDI,DOGRU_ROBUST_TEPKI_YOK,5
13,2025-06-06,2025-06-13,UP,3.69,2025-06-06,0,ROBUST_UP,,,2025-06-06,0.0,100.0,ZAMANINDA,ESKI_DURUM_TASINDI,6
14,2025-06-13,2025-06-27,DOWN,-4.49,2025-06-13,0,ROBUST_UP,2025-06-24,MIXED,2025-06-26,13.0,32.5,GEC_AMA_KULLANILABILIR,SALINIM_ICINDE_YENI_TEPKI,8
15,2025-06-27,2025-07-22,UP,4.55,2025-06-27,0,ROBUST_DOWN,2025-07-02,MIXED,2025-07-21,24.0,20.0,COK_GEC,SALINIM_ICINDE_YENI_TEPKI,16
16,2025-07-22,2025-07-30,DOWN,-3.94,2025-07-22,0,ROBUST_UP,2025-07-28,MIXED,2025-07-29,7.0,31.3,GEC_AMA_KULLANILABILIR,SALINIM_ICINDE_YENI_TEPKI,7
17,2025-07-30,2025-08-07,UP,2.96,2025-07-30,0,ROBUST_DOWN,2025-08-01,MIXED,2025-08-04,5.0,10.6,COK_GEC,SALINIM_ICINDE_YENI_TEPKI,6
18,2025-08-07,2025-08-19,DOWN,-2.2,2025-08-07,0,ROBUST_UP,2025-08-11,MIXED,2025-08-12,5.0,37.1,GEC_AMA_KULLANILABILIR,SALINIM_ICINDE_YENI_TEPKI,8
19,2025-08-19,2025-10-16,UP,31.6,2025-08-19,0,ROBUST_DOWN,2025-08-22,MIXED,2025-08-25,6.0,96.7,ZAMANINDA,SALINIM_ICINDE_YENI_TEPKI,43
20,2025-10-16,2025-10-17,DOWN,-2.29,2025-10-16,0,ROBUST_UP,,,,,0.0,KACIRDI,DOGRU_ROBUST_TEPKI_YOK,2
21,2025-10-17,2025-10-20,UP,2.46,2025-10-17,0,ROBUST_UP,,,2025-10-17,0.0,100.0,ZAMANINDA,ESKI_DURUM_TASINDI,2
22,2025-10-20,2025-10-29,DOWN,-9.87,2025-10-20,0,ROBUST_UP,2025-10-27,MIXED,2025-10-28,8.0,4.5,COK_GEC,SALINIM_ICINDE_YENI_TEPKI,8
23,2025-10-29,2025-10-30,UP,2.23,2025-10-29,0,ROBUST_DOWN,,,,,0.0,KACIRDI,DOGRU_ROBUST_TEPKI_YOK,2
24,2025-10-30,2025-11-04,DOWN,-2.43,2025-10-30,0,ROBUST_DOWN,,,2025-10-30,0.0,100.0,ZAMANINDA,ESKI_DURUM_TASINDI,4
25,2025-11-04,2025-11-12,UP,6.84,2025-11-04,0,ROBUST_DOWN,2025-11-10,MIXED,2025-11-11,7.0,25.3,GEC_AMA_KULLANILABILIR,SALINIM_ICINDE_YENI_TEPKI,7
26,2025-11-12,2025-11-17,DOWN,-3.55,2025-11-12,0,ROBUST_UP,,,,,0.0,KACIRDI,DOGRU_ROBUST_TEPKI_YOK,5
27,2025-11-17,2025-12-28,UP,12.03,2025-11-17,0,ROBUST_UP,,,2025-11-17,0.0,100.0,ZAMANINDA,ESKI_DURUM_TASINDI,36
28,2025-12-28,2026-01-01,DOWN,-4.8,2025-12-28,0,ROBUST_UP,2025-12-29,MIXED,2025-12-30,2.0,10.9,COK_GEC,SALINIM_ICINDE_YENI_TEPKI,4
