event_id,start,end,direction,move_pct,first_governed_origin,origin_start_gap_days,state_at_first_origin,first_state_change_date,first_state_change_state,first_correct_robust_date,response_lag_days,remaining_move_share_pct,outcome,reaction_type,n_governed_origins
1,2024-12-18,2025-02-24,UP,14.1876,2024-12-18,0,ROBUST_UP,2024-12-26,NOT_YET_ROBUST,2024-12-18,0.0,100.0,ZAMANINDA,ESKI_TEYIT_TASINDI,13
2,2025-02-24,2025-02-28,DOWN,-3.2239,2025-02-25,1,ROBUST_UP,2025-02-28,NOT_YET_ROBUST,,,0.0,KACIRDI,DOGRU_ROBUST_TEYIT_YOK,2
3,2025-02-28,2025-04-02,UP,9.6443,2025-02-28,0,NOT_YET_ROBUST,2025-02-28,NOT_YET_ROBUST,2025-03-14,14.0,53.7,GEC_AMA_KULLANILABILIR,SALINIM_ICINDE_YENI_TEYIT,11
4,2025-04-02,2025-04-07,DOWN,-4.8196,2025-04-03,1,ROBUST_UP,,,,,0.0,KACIRDI,DOGRU_ROBUST_TEYIT_YOK,2
5,2025-04-07,2025-04-21,UP,14.7809,2025-04-09,2,ROBUST_UP,,,2025-04-09,2.0,77.1,ZAMANINDA,ESKI_TEYIT_TASINDI,4
6,2025-04-21,2025-05-01,DOWN,-5.3804,2025-04-21,0,ROBUST_UP,,,,,0.0,KACIRDI,DOGRU_ROBUST_TEYIT_YOK,6
7,2025-05-01,2025-05-06,UP,6.0538,2025-05-01,0,ROBUST_UP,2025-05-02,NOT_YET_ROBUST,2025-05-01,0.0,100.0,ZAMANINDA,ESKI_TEYIT_TASINDI,4
8,2025-05-06,2025-05-14,DOWN,-7.3806,2025-05-06,0,NOT_YET_ROBUST,,,,,0.0,KACIRDI,DOGRU_ROBUST_TEYIT_YOK,7
9,2025-05-14,2025-05-23,UP,5.4916,2025-05-14,0,NOT_YET_ROBUST,,,,,0.0,KACIRDI,DOGRU_ROBUST_TEYIT_YOK,7
10,2025-05-23,2025-05-30,DOWN,-2.0078,2025-05-23,0,NOT_YET_ROBUST,,,,,0.0,KACIRDI,DOGRU_ROBUST_TEYIT_YOK,5
11,2025-05-30,2025-06-02,UP,2.8128,2025-05-30,0,NOT_YET_ROBUST,,,,,0.0,KACIRDI,DOGRU_ROBUST_TEYIT_YOK,2
12,2025-06-02,2025-06-06,DOWN,-2.0976,2025-06-02,0,NOT_YET_ROBUST,,,,,0.0,KACIRDI,DOGRU_ROBUST_TEYIT_YOK,5
13,2025-06-06,2025-06-13,UP,3.6884,2025-06-06,0,NOT_YET_ROBUST,2025-06-13,ROBUST_UP,2025-06-13,7.0,0.0,COK_GEC,SALINIM_ICINDE_YENI_TEYIT,6
14,2025-06-13,2025-06-27,DOWN,-4.4925,2025-06-13,0,ROBUST_UP,2025-06-27,NOT_YET_ROBUST,,,0.0,KACIRDI,DOGRU_ROBUST_TEYIT_YOK,8
15,2025-06-27,2025-07-22,UP,4.5482,2025-06-27,0,NOT_YET_ROBUST,2025-06-27,NOT_YET_ROBUST,2025-07-18,21.0,53.1,GEC_AMA_KULLANILABILIR,SALINIM_ICINDE_YENI_TEYIT,16
16,2025-07-22,2025-07-30,DOWN,-3.9424,2025-07-22,0,ROBUST_UP,,,,,0.0,KACIRDI,DOGRU_ROBUST_TEYIT_YOK,7
17,2025-07-30,2025-08-07,UP,2.956,2025-07-30,0,ROBUST_UP,,,2025-07-30,0.0,100.0,ZAMANINDA,ESKI_TEYIT_TASINDI,6
18,2025-08-07,2025-08-19,DOWN,-2.1972,2025-08-07,0,ROBUST_UP,2025-08-15,NOT_YET_ROBUST,,,0.0,KACIRDI,DOGRU_ROBUST_TEYIT_YOK,8
19,2025-08-19,2025-10-16,UP,31.5996,2025-08-19,0,NOT_YET_ROBUST,2025-08-29,ROBUST_UP,2025-08-29,10.0,86.6,ZAMANINDA,SALINIM_ICINDE_YENI_TEYIT,43
20,2025-10-16,2025-10-17,DOWN,-2.2873,2025-10-16,0,ROBUST_UP,,,,,0.0,KACIRDI,DOGRU_ROBUST_TEYIT_YOK,2
21,2025-10-17,2025-10-20,UP,2.4615,2025-10-17,0,ROBUST_UP,,,2025-10-17,0.0,100.0,ZAMANINDA,ESKI_TEYIT_TASINDI,2
22,2025-10-20,2025-10-29,DOWN,-9.8699,2025-10-20,0,ROBUST_UP,,,,,0.0,KACIRDI,DOGRU_ROBUST_TEYIT_YOK,8
23,2025-10-29,2025-10-30,UP,2.2259,2025-10-29,0,ROBUST_UP,,,2025-10-29,0.0,100.0,ZAMANINDA,ESKI_TEYIT_TASINDI,2
24,2025-10-30,2025-11-04,DOWN,-2.4349,2025-10-30,0,ROBUST_UP,2025-10-31,NOT_YET_ROBUST,,,0.0,KACIRDI,DOGRU_ROBUST_TEYIT_YOK,4
25,2025-11-04,2025-11-12,UP,6.845,2025-11-04,0,NOT_YET_ROBUST,2025-11-07,ROBUST_DOWN,,,0.0,KACIRDI,DOGRU_ROBUST_TEYIT_YOK,7
26,2025-11-12,2025-11-17,DOWN,-3.5506,2025-11-12,0,ROBUST_DOWN,2025-11-14,NOT_YET_ROBUST,2025-11-12,0.0,100.0,ZAMANINDA,ONCEDEN_TEYIT_ONCEKI_SALINIM_ICINDE,5
27,2025-11-17,2025-12-28,UP,12.0318,2025-11-17,0,NOT_YET_ROBUST,2025-11-21,ROBUST_UP,2025-11-21,4.0,95.9,ZAMANINDA,SALINIM_ICINDE_YENI_TEYIT,36
28,2025-12-28,2026-01-01,DOWN,-4.7974,2025-12-28,0,ROBUST_UP,,,,,0.0,KACIRDI,DOGRU_ROBUST_TEYIT_YOK,4
