report_date,available_date,legacy_oi,legacy_nc_long,legacy_nc_short,legacy_comm_long,legacy_comm_short,disagg_oi,mm_long,mm_short,prodmerc_long,prodmerc_short,swap_long,swap_short
2023-01-03,2023-01-09,449393,230801,89135,113520,273494,449393,109140,54559,13217,57119,90625,206697
2023-01-10,2023-01-16,481519,243566,93031,111718,284196,481519,116604,54795,12243,60946,88381,212156
2023-01-17,2023-01-23,491818,246874,93634,122814,298727,491818,124222,54845,14854,58789,90498,222476
2023-01-24,2023-01-30,499927,253311,95638,127419,307973,499927,131501,51622,12705,54314,92041,230986
2023-01-31,2023-02-06,471642,256417,96136,120147,300667,471642,138125,53678,14955,51775,88758,232458
2023-02-07,2023-02-13,439755,223298,94483,118802,271768,439755,115521,55945,15251,46233,90840,212824
2023-02-14,2023-02-20,426116,210374,104845,120812,249884,426116,106106,64933,12225,42118,92860,192039
2023-02-21,2023-02-27,422648,210185,103084,119040,248395,422648,104710,68004,10696,40479,91556,191128
2023-02-28,2023-03-06,426890,208419,99826,123391,250878,426890,99425,72850,12772,41995,93853,192117
2023-03-07,2023-03-13,458474,215574,117100,125394,244314,458474,103439,89040,11617,41216,95312,184633
2023-03-14,2023-03-20,459064,230823,90492,122457,277897,459064,118560,58839,11602,47669,100461,219834
2023-03-21,2023-03-27,469874,237891,79286,121678,305246,469874,125090,43861,14502,55788,94971,237253
2023-03-28,2023-04-03,478611,245135,63505,131786,333294,478611,130530,31370,15709,60038,93156,250335
2023-04-04,2023-04-10,476592,266164,70948,116869,335119,476592,142348,32217,15763,51702,93463,275774
2023-04-11,2023-04-17,476567,260165,67420,119710,336258,476567,135015,30409,16516,51449,95817,277432
2023-04-18,2023-04-24,482254,260061,70168,123496,339921,482254,137170,34474,17347,51291,97059,279540
2023-04-25,2023-05-01,473209,253186,67922,124518,336446,473209,135979,33176,17543,52563,97156,274064
2023-05-02,2023-05-08,493804,262413,66846,127451,345035,493804,143191,29401,18762,54293,98325,280378
2023-05-09,2023-05-15,518951,266472,70658,130985,353500,518951,143463,32477,18250,55018,99775,285522
2023-05-16,2023-05-22,521832,255250,75436,138322,349879,521832,139786,35803,18148,52362,99973,277316
2023-05-23,2023-05-29,479080,236149,75417,142984,330007,479080,128550,35411,18435,44860,99737,260335
2023-05-30,2023-06-05,449515,237306,67990,133329,323334,449515,122904,36201,12396,43768,93334,251967
2023-06-06,2023-06-12,436301,237467,61826,116363,314550,436301,120985,27557,13860,43638,91274,259683
2023-06-13,2023-06-19,432898,227317,67108,120461,306523,432898,110512,35869,14225,41384,93585,252488
2023-06-20,2023-06-26,438037,229308,66333,121419,307956,438037,110314,34275,13663,40542,94588,254246
2023-06-27,2023-07-03,431861,220881,68971,119054,294389,431861,108209,38534,11393,37626,95100,244202
2023-07-03,2023-07-09,448063,235081,71984,114905,299622,448063,123017,39869,13966,41391,90454,247746
2023-07-11,2023-07-17,483170,240546,74792,114790,302539,483170,124394,41951,13062,42136,89493,248168
2023-07-18,2023-07-24,482104,263740,70392,115498,329213,482104,147644,32326,14281,53555,84927,259368
2023-07-25,2023-07-31,476176,248229,74590,125491,323701,476176,132603,37316,16452,55396,86053,245319
2023-08-01,2023-08-07,439383,238985,74061,117610,304455,439383,123802,43793,16334,46546,88352,244985
2023-08-08,2023-08-14,427759,228846,85861,113890,281444,427759,114585,55979,15411,41861,88184,229288
2023-08-15,2023-08-21,433611,233078,111942,116062,257992,433611,113146,83610,17862,39392,86688,207088
2023-08-22,2023-08-28,430239,226340,124394,117646,238682,430239,105085,95976,18338,35940,87166,190600
2023-08-29,2023-09-04,442806,236054,112782,118132,258726,442806,120609,81367,20564,41031,83759,203886
2023-09-05,2023-09-11,438672,235802,97796,111456,269695,438672,120222,69857,17994,42368,81715,215580
2023-09-12,2023-09-18,441221,235704,111840,113062,257872,441221,117737,83166,17361,39709,83274,205736
2023-09-19,2023-09-25,438078,237716,102553,110014,262946,438078,121172,73782,15305,40593,82606,210250
2023-09-26,2023-10-02,435620,235560,119745,110844,245680,435620,114668,91230,13152,39819,88126,196295
2023-10-03,2023-10-09,431226,228406,137180,110666,222648,431226,100500,108061,16614,38810,85747,175533
2023-10-10,2023-10-16,436499,220332,148899,121341,211769,436499,93934,120701,19010,37437,91619,163620
2023-10-17,2023-10-23,439581,231412,118674,110062,238061,439581,104708,89605,11737,41703,84592,182625
2023-10-24,2023-10-30,463476,251469,102084,106180,272053,463476,122456,66708,10642,50787,81233,206961
2023-10-31,2023-11-06,475808,261053,97628,105971,288678,475808,140111,65271,11165,55350,79294,217816
