date,close,month,ret,ret5,sma20,sma50,fast,mtd_peak,mtd_trough,mtd_dd,mtd_up,down_emg,up_emg,prior,pos,action,reason,turn,strat_ret,equity
2026-08-03,4075.99,2026-08,0.0072703548931563056,-0.005363631261331991,4063.197,4183.314600000001,0,4075.99,4075.99,0.0,0.0,False,False,-1,0,TUT,MONTHLY_BASE,0.0,0.0,1.0107982712907597
2026-08-04,4055.16,2026-08,-0.00511041489306896,-0.004005924150245477,4058.1839999999997,4174.2789999999995,0,4075.99,4055.16,-0.00511041489306896,0.0,False,False,-1,0,TUT,HOLD,0.0,-0.0,1.0107982712907597
2026-08-05,4072.37,2026-08,0.004243975576796011,0.012513550337639678,4056.8869999999997,4166.6048,0,4075.99,4055.16,-0.0008881277922664355,0.004243975576796011,False,False,-1,0,TUT,HOLD,0.0,0.0,1.0107982712907597
2026-08-06,4277.13,2026-08,0.05028030360699054,0.04697409937751362,4066.886,4162.221399999999,1,4277.13,4055.16,0.0,0.05473766756428855,False,True,-1,1,AL,EMERGENCY_UP,1.0,-0.001,1.009787473019469
2026-08-07,4252.29,2026-08,-0.0058076326882746665,0.05083811722026299,4073.4285000000004,4156.446,1,4277.13,4055.16,-0.0058076326882746665,0.048612138608587596,False,True,-1,1,TUT,EMERGENCY_UP,0.0,-0.0058076326882746665,1.0039229982829507
2026-08-10,4335.41,2026-08,0.01954711461353753,0.06364588725683817,4086.0814999999993,4152.4028,1,4335.41,4055.16,0.0,0.06910948026711639,False,True,-1,1,TUT,EMERGENCY_UP,0.0,0.01954711461353753,1.0235467961935538
2026-08-11,4401.16,2026-08,0.015165809000763586,0.0853233904457531,4106.129,4150.7428,1,4401.16,4055.16,0.0,0.0853233904457531,False,True,-1,1,TUT,EMERGENCY_UP,0.0,0.015165809000763586,1.0390697114079688
2026-08-12,4369.96,2026-08,-0.007089040162139071,0.07307538362182231,4122.676,4148.5714,1,4401.16,4055.16,-0.007089040162139071,0.07762948934197422,False,True,-1,1,TUT,EMERGENCY_UP,0.0,-0.007089040162139071,1.0317037044925355
2026-08-13,4415.75,2026-08,0.010478356781297826,0.03240958306153896,4140.616,4147.6806,1,4415.75,4055.16,0.0,0.08892127560934715,False,True,-1,1,TUT,EMERGENCY_UP,0.0,0.010478356781297826,1.042514264000795
2026-08-14,4356.79,2026-08,-0.013352205174658849,0.024574993709271853,4159.199,4145.6006,1,4415.75,4055.16,-0.013352205174658849,0.07438177531835977,False,True,-1,1,TUT,EMERGENCY_UP,0.0,-0.013352205174658849,1.028594399650348
2026-08-17,4368.79,2026-08,0.002754321415537664,0.007699387139855407,4178.378,4146.0964,1,4415.75,4055.16,-0.010634660023778553,0.07734096805058255,False,False,-1,1,TUT,HOLD,0.0,0.002754321415537664,1.031427479233207
2026-08-18,4399.16,2026-08,0.006951581559196063,-0.0004544256514191769,4198.108,4147.760200000001,1,4415.75,4055.16,-0.003757006171092092,0.0848301916570493,False,False,-1,1,TUT,HOLD,0.0,0.006951581559196063,1.0385975314774927
2026-08-19,4333.76,2026-08,-0.014866474508769767,-0.008283828684930716,4210.9445,4149.9734,1,4415.75,4055.16,-0.018567627243390117,0.06870259126643585,False,False,-1,1,TUT,HOLD,0.0,-0.014866474508769767,1.0231572477509112
2026-08-20,4513.34,2026-08,0.041437458465628074,0.0221004359395347,4229.971500000001,4159.1214,1,4513.34,4055.16,0.0,0.11298691050414789,False,True,-1,1,TUT,EMERGENCY_UP,0.0,0.041437458465628074,1.065554283708396
2026-08-21,4526.27,2026-08,0.0028648406723181807,0.038900199458775875,4253.8305,4165.2626,1,4526.27,4055.16,0.0,0.11617544067311791,False,True,-1,1,TUT,EMERGENCY_UP,0.0,0.0028648406723181807,1.0686069269589267
2026-08-24,4624.96,2026-08,0.021803825224743445,0.058636373000304554,4280.179999999999,4171.8622000000005,1,4624.96,4055.16,0.0,0.14051233490170545,False,True,-1,1,TUT,EMERGENCY_UP,0.0,0.021803825224743445,1.0919066456282893
2026-08-25,4688.56,2026-08,0.0137514702829864,0.06578528628192659,4311.0345,4179.2884,1,4688.56,4055.16,0.0,0.15619605638248557,False,True,-1,1,TUT,EMERGENCY_UP,0.0,0.0137514702829864,1.1069219674174422
2026-08-26,4655.13,2026-08,-0.0071301209753101835,0.074155006276305,4342.689,4185.784799999999,1,4688.56,4055.16,-0.0071301209753101835,0.14795223862930196,False,True,-1,1,TUT,EMERGENCY_UP,0.0,-0.0071301209753101835,1.0990294798795275
2026-08-27,4624.26,2026-08,-0.006631393752698611,0.024576034599653518,4369.6404999999995,4192.6486,1,4688.56,4055.16,-0.013714232088317124,0.14033971532565936,False,True,-1,1,TUT,EMERGENCY_UP,0.0,-0.006631393752698611,1.0917413826526228
2026-08-28,4593.71,2026-08,-0.006606462439395777,0.014899685613098512,4396.9974999999995,4200.7266,1,4688.56,4055.16,-0.020230091968536312,0.13280610382820912,False,False,-1,1,TUT,HOLD,0.0,-0.006606462439395777,1.0845288342145942
