date,open,high,low,close,month,ret,sma20,sma50,fast_raw,fast,slow,prior,mom1,mtd_peak,mtd_trough,mtd_dd,mtd_rally,ret5,down_emg,up_emg,pos,action,reason,opp_votes,same_votes,turn,strat_ret,equity
2023-01-03,1826.93,1849.94,1823.61,1839.28,2023-01,0.008648156577150568,1799.2445,1750.7472,1.0,1,1,1,1,1839.28,1839.28,0.0,0.0,0.02285644373755691,False,False,1,TUT,HOLD,0,3,0.0,0.008648156577150568,1.0086481565771506
2023-01-04,1838.81,1865.11,1836.1,1854.32,2023-01,0.008177112783263052,1803.527,1754.8422,1.0,1,1,1,1,1854.32,1839.28,0.0,0.008177112783263052,0.022570985833163304,False,False,1,TUT,RETURN_PRIOR,0,3,0.0,0.008177112783263052,1.0168959863121123
2023-01-05,1854.3,1859.01,1825.06,1832.5,2023-01,-0.011767116786746579,1806.6119999999999,1758.4356,1.0,1,1,1,1,1854.32,1832.5,-0.011767116786746579,0.0,0.015770072891549525,False,False,1,TUT,RETURN_PRIOR,0,3,0.0,-0.011767116786746579,1.004930052481204
2023-01-06,1829.99,1869.83,1829.99,1865.84,2023-01,0.01819372442019085,1810.6050000000002,1762.4642000000001,1.0,1,1,1,1,1865.84,1832.5,0.0,0.01819372442019085,0.02823762812741104,False,False,1,TUT,RETURN_PRIOR,0,3,0.0,0.01819372442019085,1.0232134729176148
2023-01-09,1866.66,1881.51,1866.22,1871.63,2023-01,0.003103159970844427,1814.7325,1766.6364,1.0,1,1,1,1,1871.63,1832.5,0.0,0.0213533424283765,0.02638866800840134,False,False,1,TUT,RETURN_PRIOR,0,3,0.0,0.003103159970844427,1.0263886680084013
2023-01-10,1871.37,1880.71,1867.82,1876.7,2023-01,0.0027088687400822486,1818.712,1771.289,1.0,1,1,1,1,1876.7,1832.5,0.0,0.02412005457025934,0.020344917576442967,False,False,1,TUT,RETURN_PRIOR,0,3,0.0,0.0027088687400822486,1.029169020186344
2023-01-11,1876.54,1886.61,1867.12,1875.28,2023-01,-0.0007566473064422041,1823.4184999999998,1776.1273999999999,1.0,1,1,1,1,1876.7,1832.5,-0.0007566473064422041,0.023345156889495122,0.01130333491522495,False,False,1,TUT,RETURN_PRIOR,0,3,0.0,-0.0007566473064422041,1.0283903022193461
2023-01-12,1875.01,1901.53,1874.44,1896.77,2023-01,0.011459622029776906,1827.726,1781.1080000000002,1.0,1,1,1,1,1896.77,1832.5,0.0,0.03507230559345165,0.03507230559345165,False,True,1,TUT,RETURN_PRIOR,0,3,0.0,0.011459622029776906,1.040175266381868
2023-01-13,1896.06,1921.83,1892.22,1920.23,2023-01,0.012368394692028994,1833.3835,1786.8108,1.0,1,1,1,1,1920.23,1832.5,0.0,0.047874488403820026,0.02915040946704983,False,True,1,TUT,RETURN_PRIOR,0,3,0.0,0.012368394692028994,1.0530405646253653
2023-01-16,1920.0,1928.93,1910.81,1915.41,2023-01,-0.002510115975690397,1840.318,1792.5286,1.0,1,1,1,1,1920.23,1832.5,-0.002510115975690397,0.045244201909959036,0.023391375432110006,False,True,1,TUT,RETURN_PRIOR,0,3,0.0,-0.002510115975690397,1.0503973106810491
2023-01-17,1915.02,1918.97,1903.76,1908.51,2023-01,-0.0036023618964086124,1846.0915,1797.076,1.0,1,1,1,1,1920.23,1832.5,-0.006103435525952605,0.04147885402455653,0.01694996536473603,False,False,1,TUT,RETURN_PRIOR,0,3,0.0,-0.0036023618964086124,1.0466133994329616
2023-01-18,1908.34,1925.8,1896.56,1904.15,2023-01,-0.002284504665943543,1851.9230000000002,1801.6468,1.0,1,1,1,1,1920.23,1832.5,-0.008373996864958877,0.03909959072305602,0.015395034341538327,False,False,1,TUT,RETURN_PRIOR,0,3,0.0,-0.002284504665943543,1.044222406238518
2023-01-19,1904.33,1935.13,1900.92,1932.08,2023-01,0.014667962082818953,1857.6375,1806.0459999999998,1.0,1,1,1,1,1932.08,1832.5,0.0,0.05434106412005457,0.01861585748403871,False,False,1,TUT,RETURN_PRIOR,0,3,0.0,0.014667962082818953,1.0595390208992546
2023-01-20,1931.79,1937.48,1920.67,1925.8,2023-01,-0.0032503830069148254,1863.2295000000001,1810.4275999999998,1.0,1,1,1,1,1932.08,1832.5,-0.0032503830069148254,0.05091405184174613,0.0029006941876754677,False,False,1,TUT,RETURN_PRIOR,0,3,0.0,-0.0032503830069148254,1.0560951132705605
2023-01-23,1925.31,1935.49,1911.36,1930.81,2023-01,0.0026015162529857694,1870.152,1813.9334,1.0,1,1,1,1,1932.08,1832.5,-0.0006573226781499963,0.05364802182810369,0.008040054087636417,False,False,1,TUT,RETURN_PRIOR,0,3,0.0,0.0026015162529857694,1.0588425618724326
2023-01-24,1930.36,1942.46,1917.12,1937.23,2023-01,0.003325029391809675,1877.1045000000001,1817.2534000000003,1.0,1,1,1,1,1937.23,1832.5,0.0,0.05715143246930432,0.015048388533463353,False,False,1,TUT,RETURN_PRIOR,0,3,0.0,0.003325029391809675,1.0623632445119575
