date,open,high,low,close,month,ret,ret5,sma20,sma50,fast,slow,prior,mom1,gate_pick,gate_forecast,GVZ,gvz_q90_252,gvz_stress,mtd_peak,mtd_trough,mtd_dd,mtd_up,price_emg_down,price_emg_up,macro_score,macro_series,event_down,bocpd_alarm_month,pos,action,reason,evidence,turn,strat_ret,equity,bh_ret,bh_equity
2026-01-02,4332.04,4402.35,4309.92,4332.58,2026-01,0.003295240080123163,-0.032763755374675796,4324.4515,4179.45,1,1,1,1,patch,4360.65041761,23.8,24.53,False,4332.58,4332.58,0.0,0.0,False,False,0,,False,False,1,AL,INITIAL_MONTHLY_ANCHOR,ANCHOR_CONFIRMED,1.0,-0.001,0.999,0.003295240080123163,1.0032952400801232
2026-01-05,4353.95,4455.64,4344.5,4448.96,2026-01,0.02686159286152834,-0.01785059892004537,4336.478,4185.923400000001,1,0,1,1,patch,4360.65041761,24.25,24.53,False,4448.96,4332.58,0.0,0.02686159286152834,False,False,0,,False,False,1,TUT,HOLD,MIXED_NEUTRAL,0.0,0.02686159286152834,1.0258347312686669,0.02686159286152834,1.0302453483390648
2026-01-06,4449.46,4497.13,4427.88,4494.66,2026-01,0.010272063583399271,0.03768980539824218,4351.286,4193.573399999999,1,0,1,1,patch,4360.65041761,24.82,24.53,True,4494.66,4332.58,0.0,0.03740958043475251,False,True,0,,False,False,1,TUT,HOLD,PRICE_SHOCK_UP,0.0,0.010272063583399271,1.0363721708543179,0.010272063583399271,1.040828094063705
2026-01-07,4495.9,4500.42,4423.45,4455.37,2026-01,-0.00874148433919364,0.026923679746275075,4364.5289999999995,4203.0348,1,0,1,1,patch,4360.65041761,24.13,24.53,False,4494.66,4332.58,-0.00874148433919364,0.028341080834052734,False,False,0,,False,False,1,TUT,HOLD,MIXED_NEUTRAL,0.0,-0.00874148433919364,1.0273127397532187,-0.00874148433919364,1.0317297115796542
2026-01-08,4460.48,4479.48,4407.69,4477.24,2026-01,0.0049086832294511495,0.03679414591221164,4377.968,4213.5416000000005,1,0,1,1,patch,4360.65041761,24.07,24.53,False,4494.66,4332.58,-0.003875710287318701,0.03338888145169849,False,True,0,,False,False,1,TUT,HOLD,PRICE_SHOCK_UP,0.0,0.0049086832294511495,1.0323554925702467,0.0049086832294511495,1.0367941459122116
2026-01-09,4482.5,4517.16,4452.99,4509.1,2026-01,0.007115991101660946,0.040742467536664106,4391.9995,4225.149600000001,1,0,1,1,patch,4360.65041761,23.43,24.53,False,4509.1,4332.58,0.0,0.040742467536664106,False,True,0,UNRATE;PAYEMS;CES0500000003,False,False,1,TUT,HOLD,PRICE_SHOCK_UP,0.0,0.007115991101660946,1.0397017250691274,0.007115991101660946,1.0441719638287772
2026-01-12,4519.29,4630.05,4513.12,4596.71,2026-01,0.019429597924197628,0.03321000863123058,4407.84,4236.592000000001,1,0,1,1,patch,4360.65041761,25.03,24.53,True,4596.71,4332.58,0.0,0.06096367522353896,False,True,0,,False,False,1,TUT,HOLD,PRICE_SHOCK_UP,0.0,0.019429597924197628,1.0599027115483153,0.019429597924197628,1.06445980524969
2026-01-13,4604.07,4634.47,4569.71,4586.41,2026-01,-0.002240733046026455,0.02041311244899502,4422.184,4248.287,1,0,1,1,patch,4360.65041761,23.76,24.683,False,4596.71,4332.58,-0.002240733046026455,0.058586338855831865,False,True,1,CPIAUCNS;CPILFENS,False,False,1,TUT,HOLD,PRICE_SHOCK_UP,0.0,-0.002240733046026455,1.057527752516976,-0.002240733046026455,1.0620746349879002
2026-01-14,4590.46,4642.98,4589.23,4625.95,2026-01,0.008621121966854162,0.038286382500218874,4438.2025,4260.7986,1,0,1,1,patch,4360.65041761,23.57,24.683,False,4625.95,4332.58,0.0,0.06771254079555367,False,True,-2,PPIACO;RSAFS,False,False,1,TUT,HOLD,PRICE_SHOCK_UP,0.0,0.008621121966854162,1.066644828254758,0.008621121966854162,1.071230909954033
2026-01-15,4631.01,4632.8,4581.08,4615.66,2026-01,-0.0022244079594461175,0.030916368119645155,4453.879,4274.4752,1,0,1,1,patch,4360.65041761,22.06,24.683,False,4625.95,4332.58,-0.0022244079594461175,0.06533751252140751,False,True,0,,False,False,1,TUT,HOLD,PRICE_SHOCK_UP,0.0,-0.0022244079594461175,1.0642721750088862,-0.0022244079594461175,1.0688480553915265
