month,origin_gold,actual_gold,actual_move_pct,actual_dir,mom3_dir,mom1_dir,vw_dir,patch_dir,idma_dir,tactical_relation,disagreement,start_dir_hit,emergency_type,emergency_date,intramonth_final_dir,intramonth_hit,action,vw_ape,patch_ape,idma_ape,mom3_ape
2023-01,1798,1898,5.5617,1,1,1,1,1,1,NEUTRAL,,1,,,1,1,KEEP_PRIOR,3.947644889357223,5.1996575342465725,4.847971548998946,3.090073761854582
2023-02,1898,1855,-2.2655,-1,1,1,1,1,1,CONFIRM,,0,,,1,0,KEEP_PRIOR,2.731110512129381,3.1481994609164468,3.001083557951485,6.908555256064694
2023-03,1855,1913,3.1267,1,1,-1,-1,1,1,CONFLICT,MOM1+VW+TACTICAL,1,,,1,1,LOW_CONFIDENCE_KEEP_PRIOR,4.396915838996343,2.6588133821223225,2.584819654992157,0.5986095138525834
2023-04,1913,2000,4.5478,1,1,1,1,1,1,CONFIRM,,1,,,1,1,KEEP_PRIOR,1.7385800000000018,4.101469999999995,3.888035000000002,2.3021749999999996
2023-05,2000,1992,-0.4,-1,1,1,1,-1,1,CONFLICT,PATCH+TACTICAL,0,,,1,0,LOW_CONFIDENCE_KEEP_PRIOR,1.2249447791164705,0.19455823293173075,0.9219628514056281,2.21183734939759
2023-06,1992,1943,-2.4598,-1,1,-1,-1,1,1,CONFLICT,MOM1+VW+TACTICAL,0,,,1,0,LOW_CONFIDENCE_KEEP_PRIOR,1.531564590838907,2.5875604734945954,3.0447297992794686,5.007864127637671
2023-07,1943,1951,0.4117,1,1,-1,-1,1,1,CONFLICT,MOM1+VW+TACTICAL,1,,,1,1,LOW_CONFIDENCE_KEEP_PRIOR,1.1622347514095288,0.08556125064069817,0.0712711430035866,0.1503126601742744
2023-08,1951,1919,-1.6402,-1,-1,1,1,1,1,CONFLICT,MOM1+VW+PATCH+IDMA+TACTICAL,1,,,-1,1,LOW_CONFIDENCE_KEEP_PRIOR,2.9366232412715005,1.7530953621677998,2.1583741532047966,0.8378947368421001
2023-09,1919,1916,-0.1563,-1,-1,-1,1,1,1,CONFIRM,VW+PATCH+IDMA,1,,,-1,1,LOW_CONFIDENCE_KEEP_PRIOR,0.48204592901879456,0.3841544885177467,0.6221346555323616,1.0747807933194102
2023-10,1916,1916,0.0,0,-1,-1,-1,1,1,CONFIRM,PATCH+IDMA,0,UP_SHOCK,2023-10-13,1,0,INTRAMONTH_EMERGENCY_FLIP,1.5183872651357007,0.3937891440501082,0.4598068893528168,0.4615918580375796
2023-11,1916,1984,3.5491,1,-1,0,1,-1,1,CONFLICT,VW+IDMA+TACTICAL,0,UP_SHOCK,2023-11-28,1,1,INTRAMONTH_EMERGENCY_FLIP,1.4340524193548436,3.4924949596774146,2.9869203629032306,4.0057308467741946
2023-12,1984,2026,2.1169,1,1,1,1,1,1,CONFIRM,,1,,,1,1,KEEP_PRIOR,0.4187907206317855,1.5369101678183599,1.6021322803553804,0.9655873642645569
