Origin,Target,Origin Price,Target Price,Actual Return,Actual Dir,MOM1 Dir,MOM3 Dir,mom1_hit,mom3_hit,vw_forecast,vw_ape,vw_dir,vw_dir_hit,gate_pick,selector_forecast,selector_ape,selector_dir,selector_dir_hit,equal_forecast,equal_ape,tactical_slow_dir,tactical_state,bocpd_return_alarm,trigger,trigger_date,diagnostic_reversal_warning,operational_action,oracle_pick,oracle_ape,gate_hit
2024-12,2025-01,2648.0,2710.0,0.0234138972809667,1,-1,1,False,True,2630.384223071911,2.937851547161954,-1,False,momentum,2675.058766588142,1.2893444063416186,1,True,2653.888901408915,2.070520243213469,-1,CONFLICT,False,False,,True,LOW_CONFIDENCE_KEEP_PRIOR,momentum,1.2893444063416186,1
2025-01,2025-02,2710.0,2895.0,0.0682656826568266,1,1,1,True,True,2813.287195284256,2.822549385690636,1,True,momentum,2717.0316438495006,6.147438899844539,1,True,2741.9879776062367,5.285389374568682,1,CONFIRM,False,False,,False,KEEP_PRIOR,vw,2.822549385690636,0
2025-02,2025-03,2895.0,2983.0,0.0303972366148532,1,1,1,True,True,2895.728431325841,2.92563086403483,1,True,vw,2895.728431325841,2.92563086403483,1,True,2930.100232738731,1.7733746986680878,0,NEUTRAL,False,False,,False,KEEP_PRIOR,momentum,0.0208262185508853,0
2025-03,2025-04,2983.0,3218.0,0.0787797519275896,1,1,1,True,True,3140.720430986016,2.401478216717982,1,True,vw,3140.720430986016,2.401478216717968,1,True,3069.508619656242,4.6143996377799255,1,CONFIRM,False,False,,False,KEEP_PRIOR,vw,2.401478216717968,1
2025-04,2025-05,3218.0,3309.0,0.0282784338098198,1,1,1,True,True,3269.596230480286,1.1908059691663322,1,True,vw,3269.596230480286,1.1908059691663322,1,True,3292.5726426747124,0.4964447665544766,1,CONFIRM,False,False,,False,KEEP_PRIOR,patch,1.0469174500207663,0
2025-05,2025-06,3309.0,3353.0,0.0132970686007858,1,1,1,True,True,3352.0436718789483,0.0285215663898503,1,True,patch,3292.506408740868,1.8041631750412104,-1,False,3353.5408528685907,0.0161304165997828,0,NEUTRAL,False,False,,False,KEEP_PRIOR,vw,0.0285215663898503,0
2025-06,2025-07,3353.0,3340.0,-0.0038771249627199,-1,1,1,False,False,3335.225640273718,0.142944901984491,-1,True,vw,3335.225640273718,0.142944901984491,-1,True,3394.486702154731,1.6313383878662011,0,NEUTRAL,False,False,,True,KEEP_PRIOR,vw,0.142944901984491,1
2025-07,2025-08,3340.0,3368.0,0.0083832335329341,1,-1,1,False,True,3334.3874496829144,0.9979973372056296,-1,False,momentum,3381.970860225313,0.4148117644095344,1,True,3366.4254941760955,0.0467489852703228,0,NEUTRAL,False,False,,True,KEEP_PRIOR,momentum,0.4148117644095344,1
2025-08,2025-09,3368.0,3667.68,0.0889786223277908,1,1,1,True,True,3437.281350756227,6.28186344620504,1,True,vw,3437.281350756227,6.28186344620504,1,True,3395.5478590126227,7.419735118313953,1,CONFIRM,False,False,,False,KEEP_PRIOR,vw,6.28186344620504,1
2025-09,2025-10,3667.68,4058.33,0.1065114731928631,1,1,1,True,True,3793.899005736081,6.51575880384096,1,True,patch,3707.6445467011386,8.641127096585576,1,True,3737.798561260971,7.898111753825564,1,CONFIRM,False,False,,False,KEEP_PRIOR,vw,6.51575880384096,0
2025-10,2025-11,4058.33,4087.0,0.0070644821884864,1,1,1,True,True,4100.804039448968,0.3377548189128473,1,True,patch,4081.458791387118,0.1355813215777392,1,True,4143.679478333859,1.3868235462162748,0,NEUTRAL,False,False,,False,KEEP_PRIOR,patch,0.1355813215777392,1
2025-11,2025-12,4087.0,4309.0,0.054318571079031,1,1,1,True,True,4220.7454739139785,2.048144026131853,1,True,rw,4087.0,5.152007426317011,0,False,4198.710050927774,2.5595253903974395,1,CONFIRM,False,False,,False,KEEP_PRIOR,momentum,1.2519576011236786,0
