policy,period,net_return,mdd,trades
monthly,DEV,0.18488476611874693,-0.4230184567885906,33
monthly,VAL,-0.014800879233989983,-0.1162403836303405,4
monthly,TEST2023,0.05931839285991458,-0.0958487782386368,2
fast,DEV,0.24760615964500277,-0.24284925031263627,220
fast,VAL,-0.06291384952659573,-0.18269617927066584,32
fast,TEST2023,-0.00956185694287881,-0.10102310561516381,20
slow,DEV,-0.1586504574822879,-0.5730856898210408,117
slow,VAL,-0.10197218214530279,-0.20537368152037339,20
slow,TEST2023,-0.014417611295660882,-0.12765003544920206,13
dual,DEV,-0.07468402068770252,-0.5371973523515017,112
dual,VAL,-0.09769377153322423,-0.18072832373939252,18
dual,TEST2023,0.041004394790501664,-0.09541331408432763,10
dual2,DEV,-0.00903628458157224,-0.4871973436808966,158
dual2,VAL,-0.07981862424983133,-0.17465343021669655,27
dual2,TEST2023,0.05325059167195545,-0.08773522357736951,14
