date,close,ret,prior,fast,slow,macro_gold_score,macro_event_count,macro_series,event_down,event_up,GVZCLS,gvz5,gvz_q90_252,gvz_stress
2023-01-03,1839.28,0.008648156577150568,1,1,1,0,0,,False,False,17.26,0.16150740242261108,21.152,False
2023-01-06,1865.84,0.01819372442019085,1,1,1,-1,3,UNRATE;PAYEMS;CES0500000003,False,False,16.44,0.016069221260816002,21.152,False
2023-01-12,1896.77,0.011459622029776906,1,1,1,0,2,CPIAUCNS;CPILFENS,False,False,15.95,-0.04946364719904661,21.152,False
2023-01-18,1904.15,-0.002284504665943543,1,1,1,2,2,PPIACO;RSAFS,False,False,16.19,-0.007965686274509776,21.152,False
2023-01-27,1926.73,-0.0012130197452657754,1,1,1,0,1,PCEPILFE,False,False,15.23,-0.07134146341463399,21.152,False
2023-02-02,1912.63,-0.019239545675973635,1,0,1,0,0,,False,False,15.14,-0.028864656831302127,21.152,False
2023-02-03,1864.97,-0.02491856762677569,1,-1,1,-2,3,UNRATE;PAYEMS;CES0500000003,True,False,15.06,-0.011162179908076109,21.152,False
2023-02-06,1867.25,0.0012225397727576581,1,-1,0,0,0,,False,False,15.81,0.014111610006414477,21.152,False
2023-02-13,1853.47,-0.0063794314264730145,1,-1,-1,0,0,,False,False,15.58,-0.01454775458570523,21.152,False
2023-02-14,1854.18,0.00038306527756049036,1,-1,-1,-2,2,CPIAUCNS;CPILFENS,False,False,14.88,-0.047375160051216336,21.152,False
2023-02-15,1835.76,-0.00993431058473293,1,-1,-1,-1,1,RSAFS,True,False,14.9,-0.036222509702457995,21.152,False
2023-02-16,1836.13,0.00020155140105471148,1,-1,-1,-1,1,PPIACO,False,False,14.92,-0.03865979381443296,21.152,False
2023-02-24,1810.83,-0.006157899069729189,1,-1,-1,-1,1,PCEPILFE,True,False,14.56,-0.008849557522123797,20.644,False
