crowd_thr,unwind_thr,need_unwind,period,n,base_acc,rule_acc,corrected,damaged,alarms
0.7,0.5,False,DEV,130,0.5230769230769231,0.47692307692307695,12,18,30
0.7,0.5,False,VAL,24,0.4166666666666667,0.4166666666666667,0,0,0
0.7,0.5,False,TEST2023,11,0.6363636363636364,0.6363636363636364,2,2,4
0.7,0.5,False,LOCK,30,0.7666666666666667,0.4666666666666667,3,12,15
0.7,0.5,True,DEV,130,0.5230769230769231,0.5153846153846153,4,5,9
0.7,0.5,True,VAL,24,0.4166666666666667,0.4166666666666667,0,0,0
0.7,0.5,True,TEST2023,11,0.6363636363636364,0.7272727272727273,1,0,1
0.7,0.5,True,LOCK,30,0.7666666666666667,0.6333333333333333,1,5,6
0.7,0.7,False,DEV,130,0.5230769230769231,0.47692307692307695,12,18,30
0.7,0.7,False,VAL,24,0.4166666666666667,0.4166666666666667,0,0,0
0.7,0.7,False,TEST2023,11,0.6363636363636364,0.6363636363636364,2,2,4
0.7,0.7,False,LOCK,30,0.7666666666666667,0.4666666666666667,3,12,15
0.7,0.7,True,DEV,130,0.5230769230769231,0.5230769230769231,1,1,2
0.7,0.7,True,VAL,24,0.4166666666666667,0.4166666666666667,0,0,0
0.7,0.7,True,TEST2023,11,0.6363636363636364,0.7272727272727273,1,0,1
0.7,0.7,True,LOCK,30,0.7666666666666667,0.7333333333333333,1,2,3
0.7,0.8,False,DEV,130,0.5230769230769231,0.47692307692307695,12,18,30
0.7,0.8,False,VAL,24,0.4166666666666667,0.4166666666666667,0,0,0
0.7,0.8,False,TEST2023,11,0.6363636363636364,0.6363636363636364,2,2,4
0.7,0.8,False,LOCK,30,0.7666666666666667,0.4666666666666667,3,12,15
0.7,0.8,True,DEV,130,0.5230769230769231,0.5153846153846153,0,1,1
0.7,0.8,True,VAL,24,0.4166666666666667,0.4166666666666667,0,0,0
0.7,0.8,True,TEST2023,11,0.6363636363636364,0.6363636363636364,0,0,0
0.7,0.8,True,LOCK,30,0.7666666666666667,0.8,1,0,1
0.8,0.5,False,DEV,130,0.5230769230769231,0.5,9,12,21
0.8,0.5,False,VAL,24,0.4166666666666667,0.4166666666666667,0,0,0
0.8,0.5,False,TEST2023,11,0.6363636363636364,0.6363636363636364,2,2,4
0.8,0.5,False,LOCK,30,0.7666666666666667,0.5333333333333333,3,10,13
0.8,0.5,True,DEV,130,0.5230769230769231,0.5230769230769231,3,3,6
0.8,0.5,True,VAL,24,0.4166666666666667,0.4166666666666667,0,0,0
0.8,0.5,True,TEST2023,11,0.6363636363636364,0.7272727272727273,1,0,1
