report_date_as_yyyy_mm_dd,market_and_exchange_names,cftc_contract_market_code,open_interest_all,m_money_positions_long_all,m_money_positions_short_all,date,mm_net,mm_net_oi,chg4,crowd_pct,unwind4_pct
2006-06-13T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,288981,99739,29859,2006-06-13,69880,0.24181520584398283,,,
2006-06-20T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,288148,91198,30082,2006-06-20,61116,0.21209933784027651,,,
2006-06-27T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,292789,88635,31420,2006-06-27,57215,0.19541376212904174,,,
2006-07-03T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,292500,90104,30778,2006-07-03,59326,0.2028239316239316,,,
2006-07-11T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,312684,101019,29135,2006-07-11,71884,0.22989343874326795,-0.01192176710071488,,
2006-07-18T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,324276,105068,25797,2006-07-18,79271,0.244455340512403,0.03235600267212649,,
2006-07-25T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,315635,96891,23984,2006-07-25,72907,0.2309851569059198,0.03557139477687807,,
2006-08-01T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,304907,95785,25176,2006-08-01,70609,0.23157552958771035,0.02875159796377874,,
2006-08-08T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,309097,100994,26676,2006-08-08,74318,0.24043585023471598,0.010542411491448023,,
2006-08-15T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,313327,94115,26225,2006-08-15,67890,0.21667459235878173,-0.027780748153621276,,
2006-08-22T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,306171,87386,27081,2006-08-22,60305,0.19696509466931877,-0.034020062236601034,,
2006-08-29T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,307583,80809,31280,2006-08-29,49529,0.1610264546480137,-0.07054907493969664,,
2006-09-05T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,319998,87652,29430,2006-09-05,58222,0.18194488715554472,-0.05849096307917126,,
2006-09-12T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,310510,76571,30631,2006-09-12,45940,0.14795014653312294,-0.06872444582565879,,
2006-09-19T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,325852,72225,30632,2006-09-19,41593,0.12764383830696144,-0.06932125636235734,,
2006-09-26T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,322937,68325,33001,2006-09-26,35324,0.10938356397687475,-0.05164289067113896,,
2006-10-03T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,330065,66119,33666,2006-10-03,32453,0.09832305757956766,-0.08362182957597705,,
2006-10-10T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,334329,62270,39206,2006-10-10,23064,0.06898593900020639,-0.07896420753291655,,
2006-10-17T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,329875,64602,42773,2006-10-17,21829,0.06617355058734369,-0.06147028771961775,,
2006-10-24T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,331598,54019,43840,2006-10-24,10179,0.030696807580262848,-0.0786867563966119,,
2006-10-31T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,323481,59985,39093,2006-10-31,20892,0.06458493698238846,-0.033738120597179205,,
2006-11-07T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,335036,76134,32604,2006-11-07,43530,0.12992633627431083,0.06094039727410444,,
2006-11-14T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,356575,79157,29403,2006-11-14,49754,0.13953305756152282,0.07335950697417913,,
2006-11-21T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,355430,77773,29323,2006-11-21,48450,0.13631376079678137,0.10561695321651852,,
2006-11-28T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,349517,75457,30862,2006-11-28,44595,0.1275903604116538,0.06300542342926535,,
2006-12-05T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,330530,80731,28684,2006-12-05,52047,0.1574652830302847,0.027538946755973875,,
2006-12-12T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,333101,78367,28281,2006-12-12,50086,0.1503628028736029,0.010829745312080086,,
2006-12-19T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,337096,68672,29711,2006-12-19,38961,0.115578351567506,-0.020735409229275373,,
2006-12-26T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,340473,69815,31696,2006-12-26,38119,0.11195895122373874,-0.01563140918791507,,
2007-01-03T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,353494,77786,30994,2007-01-03,46792,0.13236999779345618,-0.025095285236828524,,
2007-01-09T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,347491,65657,39661,2007-01-09,25996,0.07481057063348404,-0.07555223224011887,,
2007-01-16T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,344685,68430,33371,2007-01-16,35059,0.10171315839099468,-0.013865193176511317,,
2007-01-23T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,361114,85684,27746,2007-01-23,57938,0.16044240876842217,0.04848345754468343,,
2007-01-30T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,348035,99352,29366,2007-01-30,69986,0.20108897093683106,0.06871897314337488,,
2007-02-06T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,360936,109228,27766,2007-02-06,81462,0.22569652237515792,0.15088595174167388,,
2007-02-13T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,383169,121684,24627,2007-02-13,97057,0.25330076284876907,0.1515876044577744,,
2007-02-20T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,396115,121632,25830,2007-02-20,95802,0.24185400704340912,0.08141159827498695,,
2007-02-27T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,415155,135725,23488,2007-02-27,112237,0.2703496284520239,0.06926065751519286,,
2007-03-06T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,382550,90236,21355,2007-03-06,68881,0.18005750882237617,-0.04563901355278174,,
2007-03-13T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,394090,86278,18012,2007-03-13,68266,0.1732243903676825,-0.08007637248108657,,
2007-03-20T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,359726,84393,17292,2007-03-20,67101,0.18653363949228025,-0.055320367551128874,,
2007-03-27T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,359434,88263,19339,2007-03-27,68924,0.19175704023548135,-0.07859258821654258,,
2007-04-03T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,347817,92087,23268,2007-04-03,68819,0.19785979408712054,0.017802285264744366,,
2007-04-10T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,369536,106783,23048,2007-04-10,83735,0.22659497315552476,0.05337058278784226,,
2007-04-17T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,380800,124963,18323,2007-04-17,106640,0.2800420168067227,0.09350837731444245,,
2007-04-24T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,403388,124958,20388,2007-04-24,104570,0.25922932759526807,0.06747228735978672,,
2007-05-01T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,396276,122272,18137,2007-05-01,104135,0.26278401921892824,0.0649242251318077,,
2007-05-08T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,411273,129038,14702,2007-05-08,114336,0.2780051206862595,0.05141014753073472,,
2007-05-15T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,408936,107716,20305,2007-05-15,87411,0.213752274194495,-0.0662897426122277,,
2007-05-22T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,416813,95529,29281,2007-05-22,66248,0.15893938048957207,-0.100289947105696,,
2007-05-29T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,425688,91921,28204,2007-05-29,63717,0.14968004735862886,-0.11310397186029938,,
2007-06-05T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,385046,101257,24239,2007-06-05,77018,0.2000228544122001,-0.07798226627405938,,
2007-06-12T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,412150,80246,36872,2007-06-12,43374,0.10523838408346475,-0.10851389011103024,0.1346153846153846,
2007-06-19T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,410324,81722,31746,2007-06-19,49976,0.12179643403749232,-0.037142946452079745,0.20754716981132076,
2007-06-26T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,407640,72368,45874,2007-06-26,26494,0.06499362182317732,-0.08468642553545154,0.037037037037037035,
2007-07-03T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,375642,69308,34443,2007-07-03,34865,0.09281443502057811,-0.107208419391622,0.10909090909090909,
2007-07-10T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,387916,72474,33675,2007-07-10,38799,0.10001907629486796,-0.0052193077885967915,0.14285714285714285,0.4230769230769231
2007-07-17T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,385595,72985,27947,2007-07-17,45038,0.11680130707089044,-0.004995126966601884,0.24561403508771928,0.41509433962264153
2007-07-24T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,401603,114752,19037,2007-07-24,95715,0.23833238297522677,0.17333876115204944,0.8275862068965517,0.0
2007-07-31T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,351185,76461,21368,2007-07-31,55093,0.15687742927516835,0.06406299425459024,0.423728813559322,0.2
2007-08-07T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,352908,84522,20981,2007-08-07,63541,0.18004975801058634,0.08003068171571838,0.5166666666666667,0.10714285714285714
2007-08-14T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,347973,77995,12117,2007-08-14,65878,0.18931928626646322,0.07251797919557278,0.5737704918032787,0.14035087719298245
2007-08-21T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,330204,65359,22367,2007-08-21,42992,0.130198301655946,-0.10813408131928076,0.3064516129032258,0.9655172413793104
2007-08-28T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,325767,66292,16289,2007-08-28,50003,0.15349314080308932,-0.003384288472079028,0.4126984126984127,0.4406779661016949
2007-09-04T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,339439,85525,11759,2007-09-04,73766,0.21731739723484927,0.03726763922426293,0.75,0.31666666666666665
2007-09-11T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,373686,109090,8575,2007-09-11,100515,0.2689825147316196,0.07966322846515639,0.9538461538461539,0.11475409836065574
2007-09-18T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,392748,125440,8362,2007-09-18,117078,0.2980995447462495,0.1679012430903035,1.0,0.016129032258064516
2007-09-25T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,440945,153984,9943,2007-09-25,144041,0.3266643232149134,0.17317118241182408,1.0,0.015873015873015872
2007-10-02T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,439865,165536,13596,2007-10-02,151940,0.3454241642322076,0.12810676699735835,1.0,0.078125
2007-10-09T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,458936,177069,8722,2007-10-09,168347,0.3668202102253909,0.0978376954937713,1.0,0.1076923076923077
2007-10-16T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,483872,191927,9649,2007-10-16,182278,0.37670706302493223,0.07860751827868273,1.0,0.18181818181818182
2007-10-23T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,489471,185137,12077,2007-10-23,173060,0.35356537976713637,0.02690105655222297,0.971830985915493,0.44776119402985076
2007-10-30T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,516163,194052,8156,2007-10-30,185896,0.3601497976414427,0.014725633409235106,0.9722222222222222,0.47058823529411764
2007-11-06T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,556856,198786,12371,2007-11-06,186415,0.334763385866364,-0.0320568243590269,0.9315068493150684,0.6376811594202898
2007-11-13T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,552546,185676,10739,2007-11-13,174937,0.31660169470053173,-0.0601053683244005,0.9054054054054054,0.7428571428571429
2007-11-20T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,512430,172412,11566,2007-11-20,160846,0.3138887262650508,-0.039676653502085546,0.8933333333333333,0.676056338028169
2007-11-27T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,520782,163138,11283,2007-11-27,151855,0.29159033914382604,-0.06855945849761669,0.868421052631579,0.7777777777777778
2007-12-04T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,486709,149675,5754,2007-12-04,143921,0.29570236013716616,-0.03906102572919784,0.8701298701298701,0.6575342465753424
2007-12-11T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,486198,155465,6109,2007-12-11,149356,0.3071917202456612,-0.009409974454870518,0.8846153846153846,0.5135135135135135
2007-12-18T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,495001,155660,9422,2007-12-18,146238,0.2954297062026137,-0.018459020062437104,0.8481012658227848,0.56
2007-12-24T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,517020,164604,8469,2007-12-24,156135,0.3019902518277823,0.010399912683956236,0.875,0.4605263157894737
2007-12-31T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,541854,181902,10649,2007-12-31,171253,0.3160500799108247,0.020347719773658512,0.9012345679012346,0.4025974025974026
2008-01-08T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,558309,191788,11019,2008-01-08,180769,0.3237794841208005,0.016587763875139272,0.9146341463414634,0.4230769230769231
2008-01-15T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,593953,197021,11137,2008-01-15,185884,0.3129607898268045,0.017531083624190757,0.8674698795180723,0.4177215189873418
2008-01-22T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,560173,193039,9618,2008-01-22,183421,0.3274363455575331,0.02544609372975082,0.9285714285714286,0.3875
2008-01-29T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,522142,191376,9652,2008-01-29,181724,0.34803559185049276,0.03198551193966809,0.9529411764705882,0.345679012345679
2008-02-05T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,495139,191024,9337,2008-02-05,181687,0.3669414043329247,0.04316192021212423,0.9883720930232558,0.3048780487804878
2008-02-12T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,475749,190428,12352,2008-02-12,178076,0.3743066196670934,0.06134582984028891,0.9885057471264368,0.25301204819277107
2008-02-19T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,489789,200191,12457,2008-02-19,187734,0.3832956640512547,0.05585931849372161,1.0,0.27380952380952384
2008-02-26T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,495102,197000,10695,2008-02-26,186305,0.3762961975512117,0.02826060570071892,0.9775280898876404,0.38823529411764707
2008-03-04T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,486992,188294,12567,2008-03-04,175727,0.36084165653645234,-0.006099747796472377,0.9333333333333333,0.5581395348837209
2008-03-11T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,482035,186110,10395,2008-03-11,175715,0.3645274720715301,-0.009779147595563309,0.9340659340659341,0.5747126436781609
2008-03-18T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,489055,179620,11055,2008-03-18,168565,0.3446749343120917,-0.03862072973916303,0.8695652173913043,0.7045454545454546
2008-03-25T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,452193,169444,14286,2008-03-25,155158,0.34312340084875265,-0.03317279670245904,0.8602150537634409,0.6629213483146067
2008-04-01T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,399393,146935,11584,2008-04-01,135351,0.338891768258332,-0.021949888278120333,0.851063829787234,0.6222222222222222
2008-04-08T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,407212,151135,15005,2008-04-08,136130,0.33429761401923325,-0.030229858052296832,0.8315789473684211,0.6483516483516484
2008-04-15T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,422699,156260,13481,2008-04-15,142779,0.33777936545863607,-0.0068955688534556026,0.84375,0.532608695652174
2008-04-22T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,424218,157492,14400,2008-04-22,143092,0.33730770500073076,-0.0058156958480218846,0.8350515463917526,0.5161290322580645
2008-04-29T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,429670,151602,19235,2008-04-29,132367,0.30806665580561826,-0.030825112452713743,0.7346938775510204,0.6595744680851063
2008-05-06T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,433741,149175,24848,2008-05-06,124327,0.2866388005745364,-0.04765881344469686,0.6666666666666666,0.7578947368421053
2008-05-13T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,439636,150407,31816,2008-05-13,118591,0.2697481552921053,-0.0680312101665308,0.63,0.8229166666666666
2008-05-20T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,453084,165800,18529,2008-05-20,147271,0.325041272699985,-0.012266432300745755,0.7920792079207921,0.5567010309278351
2008-05-27T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,430961,166394,20722,2008-05-27,145672,0.33801666508106304,0.029950009275444778,0.8529411764705882,0.32653061224489793
2008-06-03T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,398441,155935,22278,2008-06-03,133657,0.3354499160477963,0.04881111547325989,0.8252427184466019,0.26262626262626265
2008-06-10T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,396392,144056,29172,2008-06-10,114884,0.2898242144140144,0.02007605912190913,0.6538461538461539,0.4
2008-06-17T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,390471,137007,19823,2008-06-17,117184,0.3001093551121594,-0.02493191758782559,0.6952380952380952,0.6237623762376238
2008-06-24T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,401226,143673,23409,2008-06-24,120264,0.29974129293714763,-0.03827537214391541,0.6886792452830188,0.7156862745098039
2008-07-01T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,434024,173983,17352,2008-07-01,156631,0.3608809651079203,0.025431049060124,0.9345794392523364,0.3786407766990291
2008-07-08T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,443202,174230,17127,2008-07-08,157103,0.35447267837239,0.06464846395837559,0.9074074074074074,0.18269230769230768
2008-07-15T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,483920,184704,15798,2008-07-15,168906,0.3490370309142007,0.04892767580204127,0.8899082568807339,0.2571428571428571
2008-07-22T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,475606,177227,14225,2008-07-22,163002,0.34272486049377004,0.042983567556622415,0.8454545454545455,0.29245283018867924
2008-07-29T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,446013,158000,14757,2008-07-29,143243,0.3211632844782551,-0.039717680629665186,0.7387387387387387,0.7570093457943925
2008-08-05T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,408430,142508,13682,2008-08-05,128826,0.3154175746149891,-0.0390551037574009,0.7142857142857143,0.7314814814814815
2008-08-12T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,365611,105895,16226,2008-08-12,89669,0.24525793808173169,-0.103779092832469,0.5221238938053098,0.963302752293578
2008-08-19T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,372968,94403,20486,2008-08-19,73917,0.19818590334827652,-0.14453895714549353,0.3684210526315789,1.0
2008-08-26T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,380766,96269,29048,2008-08-26,67221,0.1765414979278612,-0.1446217865503939,0.28695652173913044,1.0
2008-09-02T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,382329,89713,36022,2008-09-02,53691,0.1404314085512739,-0.1749861660637152,0.19827586206896552,1.0
2008-09-09T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,392592,85376,41009,2008-09-09,44367,0.11301045360068468,-0.132247484481047,0.1111111111111111,0.9734513274336283
2008-09-16T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,393814,89779,43587,2008-09-16,46192,0.1172939509514644,-0.08089195239681211,0.13559322033898305,0.8947368421052632
2008-09-23T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,368254,96573,23508,2008-09-23,73065,0.19840925013713362,0.021867752209272423,0.3949579831932773,0.3739130434782609
2008-09-30T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,336598,88674,13550,2008-09-30,75124,0.2231861151878502,0.0827547066365763,0.4583333333333333,0.07758620689655173
2008-10-07T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,329480,87411,17386,2008-10-07,70025,0.21253186839868884,0.09952141479800417,0.4297520661157025,0.05982905982905983
2008-10-14T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,323496,84083,14296,2008-10-14,69787,0.21572755149986397,0.09843360054839957,0.4426229508196721,0.06779661016949153
2008-10-21T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,088691,319472,74401,18759,2008-10-21,55642,0.17416862823659038,-0.02424062190054324,0.2926829268292683,0.5966386554621849
