Origin,Target,Origin Price,Target Price,Actual Return,Actual Dir,MOM1 Dir,MOM3 Dir,MOM1 Hit,MOM3 Hit
2024-01,2024-02,2034.0,2023.0,-0.005408062930186808,-1,1,1,0,0
2024-02,2024-03,2023.0,2158.0,0.06673257538309452,1,-1,1,0,1
2024-03,2024-04,2158.0,2331.0,0.08016682113067652,1,1,1,1,1
2024-04,2024-05,2331.0,2351.0,0.008580008580008514,1,1,1,1,1
2024-05,2024-06,2351.0,2326.0,-0.01063377286261169,-1,1,1,0,0
2024-06,2024-07,2326.0,2398.0,0.03095442820292349,1,-1,1,0,1
2024-07,2024-08,2398.0,2470.0,0.030025020850708906,1,1,1,1,1
2024-08,2024-09,2470.0,2571.0,0.04089068825910935,1,1,1,1,1
2024-09,2024-10,2571.0,2690.0,0.04628549202644883,1,1,1,1,1
2024-10,2024-11,2690.0,2651.0,-0.014498141263940556,-1,1,1,0,0
2024-11,2024-12,2651.0,2648.0,-0.0011316484345530453,-1,-1,1,1,0
2024-12,2025-01,2648.0,2710.0,0.023413897280966767,1,-1,1,0,1
2025-01,2025-02,2710.0,2895.0,0.06826568265682664,1,1,1,1,1
2025-02,2025-03,2895.0,2983.0,0.030397236614853274,1,1,1,1,1
2025-03,2025-04,2983.0,3218.0,0.07877975192758968,1,1,1,1,1
2025-04,2025-05,3218.0,3309.0,0.02827843380981987,1,1,1,1,1
2025-05,2025-06,3309.0,3353.0,0.013297068600785833,1,1,1,1,1
2025-06,2025-07,3353.0,3340.0,-0.003877124962719969,-1,1,1,0,0
2025-07,2025-08,3340.0,3368.0,0.008383233532934131,1,-1,1,0,1
2025-08,2025-09,3368.0,3667.68,0.08897862232779086,1,1,1,1,1
2025-09,2025-10,3667.68,4058.33,0.10651147319286314,1,1,1,1,1
2025-10,2025-11,4058.33,4087.0,0.007064482188486432,1,1,1,1,1
2025-11,2025-12,4087.0,4309.0,0.05431857107903104,1,1,1,1,1
2025-12,2026-01,4309.0,4753.0,0.10304014852634014,1,1,1,1,1
2026-01,2026-02,4753.0,5020.0,0.056175047338522965,1,1,1,1,1
2026-02,2026-03,5020.0,4856.0,-0.03266932270916334,-1,1,1,0,0
2026-03,2026-04,4856.0,4721.0,-0.027800658978583193,-1,-1,1,1,0
2026-04,2026-05,4721.0,4587.0,-0.028383816987926247,-1,-1,-1,1,1
2026-05,2026-06,4587.0,4228.0,-0.07826466099847396,-1,-1,-1,1,1
2026-06,2026-07,4228.0,4073.0,-0.036660359508041584,-1,-1,-1,1,1
