Period,Signal,Description,N,Direction Accuracy,Balanced Accuracy,Up Recall,Down Recall,Up N,Down N
DEV 2010-2020,MOM1,1M momentum,130,0.5923076923076923,0.5917931688804554,0.6029411764705882,0.5806451612903226,68,62
DEV 2010-2020,MOM3,3M mean-return momentum (exact Stage4 direction rule),130,0.5230769230769231,0.519212523719165,0.6029411764705882,0.43548387096774194,68,62
DEV 2010-2020,MOM3_CUM,3M cumulative return,130,0.5307692307692308,0.5272770398481973,0.6029411764705882,0.45161290322580644,68,62
DEV 2010-2020,MOM6_CUM,6M cumulative return,130,0.5769230769230769,0.5713946869070209,0.6911764705882353,0.45161290322580644,68,62
DEV 2010-2020,MOM12_CUM,12M cumulative return,130,0.5461538461538461,0.5419829222011385,0.6323529411764706,0.45161290322580644,68,62
DEV 2010-2020,P_vs_SMA3,Price vs SMA3,130,0.5615384615384615,0.5609582542694497,0.5735294117647058,0.5483870967741935,68,62
DEV 2010-2020,P_vs_SMA6,Price vs SMA6,130,0.5615384615384615,0.5574003795066413,0.6470588235294118,0.46774193548387094,68,62
DEV 2010-2020,P_vs_SMA12,Price vs SMA12,130,0.5461538461538461,0.5412713472485768,0.6470588235294118,0.43548387096774194,68,62
DEV 2010-2020,SMA3_vs_SMA6,SMA3 vs SMA6,130,0.5384615384615384,0.5339184060721063,0.6323529411764706,0.43548387096774194,68,62
DEV 2010-2020,SMA6_vs_SMA12,SMA6 vs SMA12,130,0.5230769230769231,0.5185009487666035,0.6176470588235294,0.41935483870967744,68,62
VAL 2021-2023,MOM1,1M momentum,35,0.5428571428571428,0.542483660130719,0.5294117647058824,0.5555555555555556,17,18
VAL 2021-2023,MOM3,3M mean-return momentum (exact Stage4 direction rule),35,0.5142857142857142,0.5147058823529411,0.5294117647058824,0.5,17,18
VAL 2021-2023,MOM3_CUM,3M cumulative return,35,0.5142857142857142,0.5147058823529411,0.5294117647058824,0.5,17,18
VAL 2021-2023,MOM6_CUM,6M cumulative return,35,0.45714285714285713,0.45751633986928103,0.47058823529411764,0.4444444444444444,17,18
VAL 2021-2023,MOM12_CUM,12M cumulative return,35,0.4,0.4019607843137255,0.47058823529411764,0.3333333333333333,17,18
VAL 2021-2023,P_vs_SMA3,Price vs SMA3,35,0.4857142857142857,0.4852941176470588,0.47058823529411764,0.5,17,18
VAL 2021-2023,P_vs_SMA6,Price vs SMA6,35,0.45714285714285713,0.45751633986928103,0.47058823529411764,0.4444444444444444,17,18
VAL 2021-2023,P_vs_SMA12,Price vs SMA12,35,0.4,0.4019607843137255,0.47058823529411764,0.3333333333333333,17,18
VAL 2021-2023,SMA3_vs_SMA6,SMA3 vs SMA6,35,0.45714285714285713,0.45915032679738566,0.5294117647058824,0.3888888888888889,17,18
VAL 2021-2023,SMA6_vs_SMA12,SMA6 vs SMA12,35,0.42857142857142855,0.4297385620915033,0.47058823529411764,0.3888888888888889,17,18
LOCKED REPLAY 2024-2026-06,MOM1,1M momentum,30,0.7,0.65,0.8,0.5,20,10
LOCKED REPLAY 2024-2026-06,MOM3,3M mean-return momentum (exact Stage4 direction rule),30,0.7666666666666667,0.65,1.0,0.3,20,10
LOCKED REPLAY 2024-2026-06,MOM3_CUM,3M cumulative return,30,0.7666666666666667,0.65,1.0,0.3,20,10
LOCKED REPLAY 2024-2026-06,MOM6_CUM,6M cumulative return,30,0.7,0.55,1.0,0.1,20,10
LOCKED REPLAY 2024-2026-06,MOM12_CUM,12M cumulative return,30,0.6666666666666666,0.5,1.0,0.0,20,10
LOCKED REPLAY 2024-2026-06,P_vs_SMA3,Price vs SMA3,30,0.7,0.625,0.85,0.4,20,10
LOCKED REPLAY 2024-2026-06,P_vs_SMA6,Price vs SMA6,30,0.7333333333333333,0.6,1.0,0.2,20,10
LOCKED REPLAY 2024-2026-06,P_vs_SMA12,Price vs SMA12,30,0.7,0.55,1.0,0.1,20,10
LOCKED REPLAY 2024-2026-06,SMA3_vs_SMA6,SMA3 vs SMA6,30,0.7,0.55,1.0,0.1,20,10
LOCKED REPLAY 2024-2026-06,SMA6_vs_SMA12,SMA6 vs SMA12,30,0.6666666666666666,0.5,1.0,0.0,20,10
