target,actual_dir,need_override,trigger,trigger_date,mtd_dd,ret5,vix,vix5,vix_pct,usd5,ry5
2010-01,-1,1,True,2010-01-21,-0.050151975683890626,-0.04250196971023368,22.27,0.26318774815655144,0.17063492063492064,0.0117517448005382,-0.10999999999999988
2010-02,-1,1,False,,,,,,,,
2010-05,1,0,False,,,,,,,,
2010-06,1,0,False,,,,,,,,
2010-07,-1,1,False,,,,,,,,
2010-08,1,0,False,,,,,,,,
2010-09,1,0,False,,,,,,,,
2010-10,1,0,False,,,,,,,,
2010-11,1,0,True,2010-11-16,-0.0495263774080249,-0.045755032839903675,22.58,0.22252301028695176,0.5714285714285714,0.013398497980103619,0.30999999999999994
2010-12,1,0,False,,,,,,,,
2011-01,-1,1,False,,,,,,,,
2011-02,1,0,False,,,,,,,,
2011-03,1,0,False,,,,,,,,
2011-04,1,0,False,,,,,,,,
2011-05,1,0,False,,,,,,,,
2011-06,1,0,False,,,,,,,,
2011-07,1,0,False,,,,,,,,
2011-08,1,0,False,,,,,,,,
2011-09,1,0,True,2011-09-23,-0.13639258997994297,-0.10098751630333513,41.25,0.33150419625564886,0.9722222222222222,0.02894823074195263,-0.03
2011-10,-1,1,False,,,,,,,,
2011-11,1,0,True,2011-11-21,-0.06570847608701713,-0.05813176383374241,32.91,0.05413196668802045,0.8015873015873016,0.009765322732007364,0.030000000000000006
2012-03,-1,1,False,,,,,,,,
2012-04,-1,1,False,,,,,,,,
2012-09,1,0,False,,,,,,,,
2012-10,1,0,False,,,,,,,,
2012-11,-1,1,False,,,,,,,,
2012-12,-1,1,False,,,,,,,,
2013-10,-1,1,False,,,,,,,,
2013-11,-1,1,False,,,,,,,,
2014-03,1,0,False,,,,,,,,
2014-04,-1,1,False,,,,,,,,
2014-05,-1,1,False,,,,,,,,
2014-08,-1,1,False,,,,,,,,
2014-09,-1,1,False,,,,,,,,
2015-02,-1,1,True,2015-02-11,-0.04402530532793314,-0.04016801689625826,16.96,-0.07474086197490437,0.8253968253968254,0.009592021758839442,0.22
2015-03,-1,1,False,,,,,,,,
2015-07,-1,1,True,2015-07-20,-0.0628845890879256,-0.05297795895805979,12.25,-0.11870503597122306,0.09523809523809523,0.010312785530311341,-0.019999999999999907
2015-11,-1,1,True,2015-11-06,-0.03894957909041186,-0.044673479233367064,14.33,-0.049104180491041816,0.4246031746031746,0.014086104535155908,0.12
2016-03,1,0,False,,,,,,,,
2016-04,-1,1,False,,,,,,,,
2016-05,1,0,True,2016-05-24,-0.04991908570720638,-0.0403785242247684,14.42,-0.07385998715478481,0.25396825396825395,0.010842882181215208,0.16
2016-06,1,0,False,,,,,,,,
2016-07,1,0,False,,,,,,,,
2016-08,1,0,False,,,,,,,,
2016-09,-1,1,False,,,,,,,,
2016-10,-1,1,True,2016-10-04,-0.03313969444698561,-0.04421517499171013,13.63,0.04045801526717563,0.25396825396825395,0.0009453450198353419,0.030000000000000006
2017-03,-1,1,False,,,,,,,,
2017-04,1,0,False,,,,,,,,
2017-05,-1,1,False,,,,,,,,
2017-06,1,0,False,,,,,,,,
2017-07,-1,1,False,,,,,,,,
2017-09,1,0,False,,,,,,,,
2017-10,-1,1,False,,,,,,,,
2017-11,1,0,False,,,,,,,,
2018-03,-1,1,False,,,,,,,,
2018-04,1,0,False,,,,,,,,
2018-05,-1,1,False,,,,,,,,
2018-12,1,0,False,,,,,,,,
2019-01,1,0,False,,,,,,,,
2019-02,1,0,False,,,,,,,,
2019-03,-1,1,False,,,,,,,,
2019-04,-1,1,False,,,,,,,,
2019-07,1,0,False,,,,,,,,
2019-08,1,0,False,,,,,,,,
2019-09,1,0,False,,,,,,,,
2019-10,-1,1,False,,,,,,,,
2019-11,-1,1,False,,,,,,,,
2020-02,1,0,False,,,,,,,,
