dd,r5,sma,stress,stress_thr,period,n,needs,triggers,corrected,damaged,precision,recall,false_rate,utility
-0.03,-0.02,20,NONE,0.1,DEV,77,36,42,22,20,0.5238095238095238,0.6111111111111112,0.4878048780487805,2
-0.03,-0.02,20,NONE,0.1,VAL,9,6,6,4,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,2
-0.03,-0.02,20,NONE,0.1,TEST2023,8,3,4,3,1,0.75,1.0,0.2,2
-0.03,-0.02,20,NONE,0.1,LOCK,27,7,15,7,8,0.4666666666666667,1.0,0.4,-1
-0.03,-0.02,20,NONE,0.2,DEV,77,36,42,22,20,0.5238095238095238,0.6111111111111112,0.4878048780487805,2
-0.03,-0.02,20,NONE,0.2,VAL,9,6,6,4,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,2
-0.03,-0.02,20,NONE,0.2,TEST2023,8,3,4,3,1,0.75,1.0,0.2,2
-0.03,-0.02,20,NONE,0.2,LOCK,27,7,15,7,8,0.4666666666666667,1.0,0.4,-1
-0.03,-0.02,20,VIX,0.1,DEV,77,36,20,11,9,0.55,0.3055555555555556,0.21951219512195122,2
-0.03,-0.02,20,VIX,0.1,VAL,9,6,5,3,2,0.6,0.5,0.6666666666666666,1
-0.03,-0.02,20,VIX,0.1,TEST2023,8,3,1,1,0,1.0,0.3333333333333333,0.0,1
-0.03,-0.02,20,VIX,0.1,LOCK,27,7,7,3,4,0.42857142857142855,0.42857142857142855,0.2,-1
-0.03,-0.02,20,VIX,0.2,DEV,77,36,14,7,7,0.5,0.19444444444444445,0.17073170731707318,0
-0.03,-0.02,20,VIX,0.2,VAL,9,6,5,3,2,0.6,0.5,0.6666666666666666,1
-0.03,-0.02,20,VIX,0.2,TEST2023,8,3,0,0,0,,0.0,0.0,0
-0.03,-0.02,20,VIX,0.2,LOCK,27,7,7,3,4,0.42857142857142855,0.42857142857142855,0.2,-1
-0.03,-0.02,20,USD_OR_RY,0.1,DEV,77,36,41,21,20,0.5121951219512195,0.5833333333333334,0.4878048780487805,1
-0.03,-0.02,20,USD_OR_RY,0.1,VAL,9,6,6,4,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,2
-0.03,-0.02,20,USD_OR_RY,0.1,TEST2023,8,3,4,3,1,0.75,1.0,0.2,2
-0.03,-0.02,20,USD_OR_RY,0.1,LOCK,27,7,14,7,7,0.5,1.0,0.35,0
-0.03,-0.02,20,USD_OR_RY,0.2,DEV,77,36,41,21,20,0.5121951219512195,0.5833333333333334,0.4878048780487805,1
-0.03,-0.02,20,USD_OR_RY,0.2,VAL,9,6,6,4,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,2
-0.03,-0.02,20,USD_OR_RY,0.2,TEST2023,8,3,4,3,1,0.75,1.0,0.2,2
-0.03,-0.02,20,USD_OR_RY,0.2,LOCK,27,7,14,7,7,0.5,1.0,0.35,0
-0.03,-0.02,20,VIX_OR_MACRO,0.1,DEV,77,36,41,21,20,0.5121951219512195,0.5833333333333334,0.4878048780487805,1
-0.03,-0.02,20,VIX_OR_MACRO,0.1,VAL,9,6,6,4,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,2
-0.03,-0.02,20,VIX_OR_MACRO,0.1,TEST2023,8,3,4,3,1,0.75,1.0,0.2,2
-0.03,-0.02,20,VIX_OR_MACRO,0.1,LOCK,27,7,14,7,7,0.5,1.0,0.35,0
